model,strategy,file,base_task,status,ncloc,sqale_index,cognitive_complexity,complexity,code_smells,pass_val,fqs
GPT-3.5-Turbo,H,AccessGatewayFilter.py,AccessGatewayFilter,error,9.0,5.0,,5.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,AreaCalculator.py,AreaCalculator,error,14.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ArgumentParser.py,ArgumentParser,error,48.0,0.0,20.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ArrangementCalculator.py,ArrangementCalculator,error,31.0,0.0,9.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,AssessmentSystem.py,AssessmentSystem,Success,37.0,0.0,13.0,17.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,AutomaticGuitarSimulator.py,AutomaticGuitarSimulator,Fail,16.0,0.0,3.0,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,AvgPartition.py,AvgPartition,Success,16.0,5.0,1.0,4.0,1.0,1.0,0.96875
GPT-3.5-Turbo,H,BalancedBrackets.py,BalancedBrackets,Success,20.0,0.0,12.0,9.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BankAccount.py,BankAccount,Success,24.0,6.0,5.0,10.0,1.0,1.0,0.975
GPT-3.5-Turbo,H,BigNumCalculator.py,BigNumCalculator,Success,10.0,0.0,,3.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BinaryDataProcessor.py,BinaryDataProcessor,Success,21.0,0.0,2.0,7.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BitStatusUtil.py,BitStatusUtil,Success,15.0,0.0,4.0,7.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BlackjackGame.py,BlackjackGame,error,47.0,0.0,21.0,15.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,BookManagement.py,BookManagement,Fail,23.0,0.0,9.0,9.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,BookManagementDB.py,BookManagementDB,error,29.0,0.0,,7.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,BoyerMooreSearch.py,BoyerMooreSearch,error,30.0,8.0,15.0,12.0,4.0,0.0,0.0
GPT-3.5-Turbo,H,Calculator.py,Calculator,error,56.0,0.0,18.0,11.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,CalendarUtil.py,CalendarUtil,error,32.0,0.0,10.0,14.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,CamelCaseMap.py,CamelCaseMap,Success,19.0,0.0,,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,ChandrasekharSieve.py,ChandrasekharSieve,error,12.0,0.0,9.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,Chat.py,Chat,Fail,29.0,0.0,9.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ClassRegistrationSystem.py,ClassRegistrationSystem,error,40.0,6.0,26.0,17.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,Classroom.py,Classroom,Success,28.0,0.0,9.0,12.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,CombinationCalculator.py,CombinationCalculator,Fail,34.0,11.0,6.0,10.0,4.0,0.0,0.0
GPT-3.5-Turbo,H,ComplexCalculator.py,ComplexCalculator,Success,15.0,5.0,,5.0,1.0,1.0,0.9666666666666667
GPT-3.5-Turbo,H,CookiesUtil.py,CookiesUtil,error,19.0,5.0,1.0,4.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,CSVProcessor.py,CSVProcessor,Success,22.0,12.0,1.0,5.0,3.0,1.0,0.9454545454545454
GPT-3.5-Turbo,H,CurrencyConverter.py,CurrencyConverter,Success,28.0,0.0,6.0,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,DatabaseProcessor.py,DatabaseProcessor,PartialSuccess,33.0,0.0,1.0,6.0,0.0,0.8,0.8
GPT-3.5-Turbo,H,DataStatistics.py,DataStatistics,Success,16.0,0.0,2.0,5.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,DataStatistics2.py,DataStatistics2,error,2.0,0.0,,1.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,DataStatistics4.py,DataStatistics4,error,27.0,0.0,,4.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,DecryptionUtils.py,DecryptionUtils,error,45.0,0.0,24.0,17.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,DiscountStrategy.py,DiscountStrategy,Fail,37.0,15.0,9.0,12.0,3.0,0.0,0.0
