model,strategy,task,class_name,pass_value,status
GPT-4-Turbo,H_greedy,ClassEval_0,AccessGatewayFilter,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_1,AreaCalculator,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_10,BinaryDataProcessor,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_11,BitStatusUtil,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_12,BlackjackGame,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_13,BookManagement,0.8,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_14,BookManagementDB,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_15,BoyerMooreSearch,0.75,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_16,Calculator,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_17,CalendarUtil,0.8571428571428571,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_18,CamelCaseMap,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_19,ChandrasekharSieve,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_2,ArgumentParser,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_20,Chat,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_21,Classroom,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_22,ClassRegistrationSystem,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_23,CombinationCalculator,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_24,ComplexCalculator,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_25,CookiesUtil,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_26,CSVProcessor,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_27,CurrencyConverter,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_28,DatabaseProcessor,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_29,DataStatistics,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_3,ArrangementCalculator,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_30,DataStatistics2,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_31,DataStatistics4,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_32,DecryptionUtils,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_33,DiscountStrategy,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_34,DocFileHandler,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_35,EightPuzzle,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_36,EmailClient,0.8333333333333334,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_37,EncryptionUtils,0.75,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_38,ExcelProcessor,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_39,ExpressionCalculator,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_4,AssessmentSystem,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_40,FitnessTracker,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_41,GomokuGame,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_42,Hotel,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_43,HRManagementSystem,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_44,HtmlUtil,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_45,ImageProcessor,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_46,Interpolation,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_47,IPAddress,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_48,IpUtil,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_49,JobMarketplace,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_5,AutomaticGuitarSimulator,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_50,JSONProcessor,0.75,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_51,KappaCalculator,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_52,Lemmatization,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_53,LongestWord,0.5,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_54,MahjongConnect,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_55,Manacher,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_56,MetricsCalculator,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_57,MetricsCalculator2,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_58,MinesweeperGame,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_59,MovieBookingSystem,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_6,AvgPartition,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_60,MovieTicketDB,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_61,MusicPlayer,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_62,NLPDataProcessor,0.6666666666666666,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_63,NLPDataProcessor2,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_64,NumberConverter,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_65,NumberWordFormatter,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_66,NumericEntityUnescaper,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_67,Order,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_68,PageUtil,0.75,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_69,PDFHandler,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_7,BalancedBrackets,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_70,PersonRequest,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_71,PushBoxGame,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_72,RegexUtils,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_73,RPGCharacter,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_74,Server,0.6666666666666666,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_75,ShoppingCart,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_76,SignInSystem,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_77,Snake,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_78,SplitSentence,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_79,SQLGenerator,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_8,BankAccount,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_80,SQLQueryBuilder,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_81,Statistics3,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_82,StockPortfolioTracker,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_83,StudentDatabaseProcessor,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_84,TextFileProcessor,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_85,Thermostat,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_86,TicTacToe,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_87,TimeUtils,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_88,TriCalculator,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_89,TwentyFourPointGame,0.75,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_9,BigNumCalculator,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_90,URLHandler,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_91,UrlPath,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_92,UserLoginDB,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_93,VectorUtil,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_94,VendingMachine,0.6666666666666666,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_95,Warehouse,1.0,Success
GPT-4-Turbo,H_greedy,ClassEval_96,WeatherSystem,0.8,PartialSuccess
GPT-4-Turbo,H_greedy,ClassEval_97,Words2Numbers,0.0,error
GPT-4-Turbo,H_greedy,ClassEval_98,XMLProcessor,0.0,Fail
GPT-4-Turbo,H_greedy,ClassEval_99,ZipFileProcessor,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_0,AccessGatewayFilter,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_1,AreaCalculator,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_10,BinaryDataProcessor,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_11,BitStatusUtil,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_12,BlackjackGame,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_13,BookManagement,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_14,BookManagementDB,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_15,BoyerMooreSearch,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_16,Calculator,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_17,CalendarUtil,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_18,CamelCaseMap,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_19,ChandrasekharSieve,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_2,ArgumentParser,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_20,Chat,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_21,Classroom,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_22,ClassRegistrationSystem,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_23,CombinationCalculator,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_24,ComplexCalculator,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_25,CookiesUtil,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_26,CSVProcessor,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_27,CurrencyConverter,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_28,DatabaseProcessor,0.8,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_29,DataStatistics,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_3,ArrangementCalculator,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_30,DataStatistics2,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_31,DataStatistics4,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_32,DecryptionUtils,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_33,DiscountStrategy,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_34,DocFileHandler,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_35,EightPuzzle,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_36,EmailClient,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_37,EncryptionUtils,0.75,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_38,ExcelProcessor,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_39,ExpressionCalculator,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_4,AssessmentSystem,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_40,FitnessTracker,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_41,GomokuGame,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_42,Hotel,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_43,HRManagementSystem,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_44,HtmlUtil,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_45,ImageProcessor,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_46,Interpolation,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_47,IPAddress,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_48,IpUtil,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_49,JobMarketplace,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_5,AutomaticGuitarSimulator,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_50,JSONProcessor,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_51,KappaCalculator,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_52,Lemmatization,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_53,LongestWord,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_54,MahjongConnect,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_55,Manacher,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_56,MetricsCalculator,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_57,MetricsCalculator2,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_58,MinesweeperGame,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_59,MovieBookingSystem,0.75,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_6,AvgPartition,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_60,MovieTicketDB,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_61,MusicPlayer,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_62,NLPDataProcessor,0.6666666666666666,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_63,NLPDataProcessor2,0.3333333333333333,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_64,NumberConverter,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_65,NumberWordFormatter,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_66,NumericEntityUnescaper,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_67,Order,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_68,PageUtil,0.75,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_69,PDFHandler,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_7,BalancedBrackets,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_70,PersonRequest,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_71,PushBoxGame,0.3333333333333333,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_72,RegexUtils,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_73,RPGCharacter,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_74,Server,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_75,ShoppingCart,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_76,SignInSystem,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_77,Snake,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_78,SplitSentence,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_79,SQLGenerator,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_8,BankAccount,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_80,SQLQueryBuilder,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_81,Statistics3,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_82,StockPortfolioTracker,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_83,StudentDatabaseProcessor,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_84,TextFileProcessor,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_85,Thermostat,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_86,TicTacToe,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_87,TimeUtils,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_88,TriCalculator,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_89,TwentyFourPointGame,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_9,BigNumCalculator,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_90,URLHandler,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_91,UrlPath,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_92,UserLoginDB,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_93,VectorUtil,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_94,VendingMachine,0.0,Fail
GPT-3.5-Turbo,H_greedy,ClassEval_95,Warehouse,1.0,Success
GPT-3.5-Turbo,H_greedy,ClassEval_96,WeatherSystem,0.8,PartialSuccess
GPT-3.5-Turbo,H_greedy,ClassEval_97,Words2Numbers,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_98,XMLProcessor,0.0,error
GPT-3.5-Turbo,H_greedy,ClassEval_99,ZipFileProcessor,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_0,AccessGatewayFilter,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_1,AreaCalculator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_10,BinaryDataProcessor,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_11,BitStatusUtil,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_12,BlackjackGame,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_13,BookManagement,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_14,BookManagementDB,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_15,BoyerMooreSearch,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_16,Calculator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_17,CalendarUtil,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_18,CamelCaseMap,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_19,ChandrasekharSieve,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_2,ArgumentParser,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_20,Chat,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_21,Classroom,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_22,ClassRegistrationSystem,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_23,CombinationCalculator,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_24,ComplexCalculator,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_25,CookiesUtil,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_26,CSVProcessor,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_27,CurrencyConverter,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_28,DatabaseProcessor,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_29,DataStatistics,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_3,ArrangementCalculator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_30,DataStatistics2,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_31,DataStatistics4,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_32,DecryptionUtils,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_33,DiscountStrategy,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_34,DocFileHandler,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_35,EightPuzzle,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_36,EmailClient,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_37,EncryptionUtils,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_38,ExcelProcessor,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_39,ExpressionCalculator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_4,AssessmentSystem,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_40,FitnessTracker,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_41,GomokuGame,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_42,Hotel,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_43,HRManagementSystem,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_44,HtmlUtil,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_45,ImageProcessor,0.0,error
