file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilter.py,AccessGatewayFilter.py,9,66,5,,,1,1,5,,,,83.3,5
AreaCalculator.py,AreaCalculator.py,14,66,6,,,,,6,,,,76.3,
ArgumentParser.py,ArgumentParser.py,48,143,5,,,,,13,20,,,61.6,
ArrangementCalculator.py,ArrangementCalculator.py,31,89,6,,,,,13,9,,,62.2,
AssessmentSystem.py,AssessmentSystem.py,37,103,7,,,,,17,13,,,61.5,
AutomaticGuitarSimulator.py,AutomaticGuitarSimulator.py,16,45,3,,,,,5,3,,,61.9,
AvgPartition.py,AvgPartition.py,16,40,3,,,1,1,4,1,,,56.8,5
BalancedBrackets.py,BalancedBrackets.py,20,44,3,,,,,9,12,,,51.2,
BankAccount.py,BankAccount.py,24,59,5,,,1,1,10,5,,,55.6,6
BigNumCalculator.py,BigNumCalculator.py,10,43,3,,,,,3,,,,75.0,
BinaryDataProcessor.py,BinaryDataProcessor.py,21,61,5,,,,,7,2,,,62.5,
BitStatusUtil.py,BitStatusUtil.py,15,59,4,,,,,7,4,,,72.7,
BlackjackGame.py,BlackjackGame.py,47,93,4,,,,,15,21,,,47.2,
BookManagement.py,BookManagement.py,23,63,5,,,,,9,9,,,60.3,
BookManagementDB.py,BookManagementDB.py,29,84,7,,,,,7,,,,61.3,
BoyerMooreSearch.py,BoyerMooreSearch.py,30,65,4,,,4,4,12,15,,,50.8,8
Calculator.py,Calculator.py,56,93,4,,,,,11,18,,,37.1,
CalendarUtil.py,CalendarUtil.py,32,76,7,,,,,14,10,,,52.9,
CamelCaseMap.py,CamelCaseMap.py,19,98,8,,,,,8,,,,78.9,
ChandrasekharSieve.py,ChandrasekharSieve.py,12,19,1,,,,,6,9,,,25.0,
Chat.py,Chat.py,29,91,5,,,,,10,9,,,65.9,
ClassRegistrationSystem.py,ClassRegistrationSystem.py,40,77,6,,,1,1,17,26,,,42.9,6
Classroom.py,Classroom.py,28,74,5,,,,,12,9,,,58.8,
CombinationCalculator.py,CombinationCalculator.py,34,90,6,,,4,4,10,6,,,59.0,11
ComplexCalculator.py,ComplexCalculator.py,15,64,5,,,1,1,5,,,,74.1,5
CookiesUtil.py,CookiesUtil.py,19,54,4,,,1,1,4,1,,,61.2,5
CSVProcessor.py,CSVProcessor.py,22,61,4,,,3,3,5,1,,,60.7,12
