file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilter.py,AccessGatewayFilter.py,27,56,5,,,,,8,5,,,46.0,
AreaCalculator.py,AreaCalculator.py,14,51,6,,,,,6,,,,68.9,
ArgumentParser.py,ArgumentParser.py,40,44,5,,,1,1,12,18,,,7.0,6
ArrangementCalculator.py,ArrangementCalculator.py,23,64,6,,,,,9,4,,,59.6,
AssessmentSystem.py,AssessmentSystem.py,19,25,7,,,,,13,4,,,0.0,
AutomaticGuitarSimulator.py,AutomaticGuitarSimulator.py,15,36,3,,,,,7,3,,,54.5,
AvgPartition.py,AvgPartition.py,15,33,3,,,1,1,4,1,,,50.0,5
BalancedBrackets.py,BalancedBrackets.py,19,36,3,,,,,8,10,,,42.4,
BankAccount.py,BankAccount.py,20,50,5,,,,,8,3,,,55.6,
BigNumCalculator.py,BigNumCalculator.py,10,34,3,,,,,3,,,,67.7,
BinaryDataProcessor.py,BinaryDataProcessor.py,17,40,5,,,,,6,,,,51.4,
BitStatusUtil.py,BitStatusUtil.py,21,28,4,,,,,8,6,,,12.5,
BlackjackGame.py,BlackjackGame.py,40,43,4,,,,,12,16,,,0.0,
BookManagement.py,BookManagement.py,25,56,5,,,,,10,12,,,51.0,
BookManagementDB.py,BookManagementDB.py,42,52,7,,,,,7,,,,6.7,
BoyerMooreSearch.py,BoyerMooreSearch.py,24,31,4,,,5,5,10,10,,,11.1,10
Calculator.py,Calculator.py,40,68,4,,,,,14,16,,,35.5,
CalendarUtil.py,CalendarUtil.py,31,75,7,,,,,20,17,,,53.7,
CamelCaseMap.py,CamelCaseMap.py,19,65,8,,,,,8,,,,66.7,
ChandrasekharSieve.py,ChandrasekharSieve.py,15,33,3,,,,,7,6,,,51.6,
Chat.py,Chat.py,28,62,5,,,,,10,9,,,50.0,
ClassRegistrationSystem.py,ClassRegistrationSystem.py,26,31,6,,,1,1,11,7,,,0.0,5
Classroom.py,Classroom.py,25,56,5,,,,,12,8,,,50.0,
CombinationCalculator.py,CombinationCalculator.py,19,51,5,,,,,6,1,,,57.8,
ComplexCalculator.py,ComplexCalculator.py,15,47,5,,,1,1,5,,,,64.3,5
CookiesUtil.py,CookiesUtil.py,23,47,4,,,,,4,2,,,45.2,
CSVProcessor.py,CSVProcessor.py,24,32,4,,,3,3,4,1,,,11.1,12
CurrencyConverter.py,CurrencyConverter.py,25,59,5,,,,,9,4,,,53.7,
