file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilter.py,AccessGatewayFilter.py,25,56,5,,,4,4,11,9,,,50.0,10
AreaCalculator.py,AreaCalculator.py,9,61,6,,,,,6,,,,83.3,
ArgumentParser.py,ArgumentParser.py,9,72,5,,,,,5,,,,86.6,
ArrangementCalculator.py,ArrangementCalculator.py,25,66,6,,,,,10,6,,,57.6,
AssessmentSystem.py,AssessmentSystem.py,41,85,7,,,,,18,18,,,47.4,
AutomaticGuitarSimulator.py,AutomaticGuitarSimulator.py,5,35,3,,,,,3,,,,83.9,
AvgPartition.py,AvgPartition.py,13,31,3,,,1,1,4,1,,,53.6,5
BalancedBrackets.py,BalancedBrackets.py,19,43,3,,,,,7,10,,,52.5,
BankAccount.py,BankAccount.py,24,54,5,,,1,1,10,5,,,51.0,6
BigNumCalculator.py,BigNumCalculator.py,7,46,3,,,,,3,,,,83.7,
BinaryDataProcessor.py,BinaryDataProcessor.py,15,38,5,,,,,5,,,,54.5,
BitStatusUtil.py,BitStatusUtil.py,12,42,4,,,,,7,4,,,68.4,
BlackjackGame.py,BlackjackGame.py,9,55,4,,,,,4,,,,82.4,
BookManagement.py,BookManagement.py,7,47,5,,,,,5,,,,83.3,
BookManagementDB.py,BookManagementDB.py,12,68,7,,,,,7,,,,79.3,
BoyerMooreSearch.py,BoyerMooreSearch.py,7,45,4,,,3,3,4,,,,82.9,6
Calculator.py,Calculator.py,53,90,4,,,1,1,15,24,,,38.4,9
CalendarUtil.py,CalendarUtil.py,,84,,,,,,,,,,,
CamelCaseMap.py,CamelCaseMap.py,18,66,8,,,,,8,,,,69.0,
ChandrasekharSieve.py,ChandrasekharSieve.py,6,32,3,,,,,3,,,,79.3,
Chat.py,Chat.py,8,70,5,,,,,5,,,,87.5,
ClassRegistrationSystem.py,ClassRegistrationSystem.py,,66,,,,,,,,,,,
Classroom.py,Classroom.py,29,60,5,,,,,14,12,,,46.3,
CombinationCalculator.py,CombinationCalculator.py,24,83,6,,,3,3,8,4,,,68.4,6
ComplexCalculator.py,ComplexCalculator.py,11,60,5,,,1,1,5,,,,79.6,5
CookiesUtil.py,CookiesUtil.py,20,45,4,,,,,5,1,,,50.0,
CSVProcessor.py,CSVProcessor.py,7,47,4,,,2,2,4,,,,82.9,7
CurrencyConverter.py,CurrencyConverter.py,26,72,5,,,,,9,4,,,61.2,
DatabaseProcessor.py,DatabaseProcessor.py,9,58,5,,,,,5,,,,80.9,
DataStatistics.py,DataStatistics.py,15,39,3,,,,,5,2,,,57.1,
DataStatistics2.py,DataStatistics2.py,16,55,7,,,,,7,,,,66.0,
DataStatistics4.py,DataStatistics4.py,32,79,4,,,1,1,4,,,,54.3,5
DecryptionUtils.py,DecryptionUtils.py,16,56,4,,,,,7,8,,,69.2,
DiscountStrategy.py,DiscountStrategy.py,35,73,6,,,4,4,12,7,,,47.8,20
DocFileHandler.py,DocFileHandler.py,49,91,6,,,2,2,10,10,,,41.0,10
EightPuzzle.py,EightPuzzle.py,8,55,5,,,,,5,,,,84.0,
EmailClient.py,EmailClient.py,11,81,6,,,,,6,,,,85.1,
EncryptionUtils.py,EncryptionUtils.py,53,80,4,,,1,1,18,42,,,30.3,16
ExcelProcessor.py,ExcelProcessor.py,7,46,4,,,2,2,4,,,,81.6,7
ExpressionCalculator.py,ExpressionCalculator.py,80,164,10,,,1,1,23,35,,,47.7,9
FitnessTracker.py,FitnessTracker.py,13,47,4,,,2,2,4,,,,69.8,7
GomokuGame.py,GomokuGame.py,8,58,4,,,,,4,,,,85.2,
Hotel.py,Hotel.py,9,87,5,,,,,5,,,,89.0,
HRManagementSystem.py,HRManagementSystem.py,,81,,,,,,,,,,,
HtmlUtil.py,HtmlUtil.py,37,63,4,,,,,9,8,,,36.2,
ImageProcessor.py,ImageProcessor.py,9,58,6,,,,,6,,,,82.4,
Interpolation.py,Interpolation.py,9,33,3,,,1,1,3,,,,70.0,5
IPAddress.py,IPAddress.py,6,41,4,,,,,4,,,,82.4,
