model,strategy,file,base_task,status,ncloc,sqale_index,cognitive_complexity,complexity,code_smells,pass_val,fqs
GPT-3.5-Turbo,H,AccessGatewayFilterError.py,AccessGatewayFilter,Error,9.0,5.0,,5.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,AreaCalculatorError.py,AreaCalculator,Error,14.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ArgumentParserError.py,ArgumentParser,Error,48.0,0.0,20.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ArrangementCalculatorError.py,ArrangementCalculator,Error,31.0,0.0,9.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,AssessmentSystemSuccess.py,AssessmentSystem,Success,37.0,0.0,13.0,17.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulator,Fail,16.0,0.0,3.0,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,AvgPartitionSuccess.py,AvgPartition,Success,16.0,5.0,1.0,4.0,1.0,1.0,0.96875
GPT-3.5-Turbo,H,BalancedBracketsSuccess.py,BalancedBrackets,Success,20.0,0.0,12.0,9.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BankAccountSuccess.py,BankAccount,Success,24.0,6.0,5.0,10.0,1.0,1.0,0.975
GPT-3.5-Turbo,H,BigNumCalculatorSuccess.py,BigNumCalculator,Success,10.0,0.0,,3.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BinaryDataProcessorSuccess.py,BinaryDataProcessor,Success,21.0,0.0,2.0,7.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BitStatusUtilSuccess.py,BitStatusUtil,Success,15.0,0.0,4.0,7.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,BlackjackGameError.py,BlackjackGame,Error,47.0,0.0,21.0,15.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,BookManagementDBError.py,BookManagementDB,Error,29.0,0.0,,7.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,BookManagementFail.py,BookManagement,Fail,23.0,0.0,9.0,9.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,BoyerMooreSearchError.py,BoyerMooreSearch,Error,30.0,8.0,15.0,12.0,4.0,0.0,0.0
GPT-3.5-Turbo,H,CalculatorError.py,Calculator,Error,56.0,0.0,18.0,11.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,CalendarUtilError.py,CalendarUtil,Error,0.0,0.0,,0.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,CamelCaseMapSuccess.py,CamelCaseMap,Success,19.0,0.0,,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,ChandrasekharSieveError.py,ChandrasekharSieve,Error,12.0,0.0,9.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ChatFail.py,Chat,Fail,29.0,0.0,9.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ClassRegistrationSystemError.py,ClassRegistrationSystem,Error,40.0,6.0,26.0,17.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,ClassroomSuccess.py,Classroom,Success,28.0,0.0,9.0,12.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,CombinationCalculatorFail.py,CombinationCalculator,Fail,34.0,11.0,6.0,10.0,4.0,0.0,0.0
GPT-3.5-Turbo,H,ComplexCalculatorSuccess.py,ComplexCalculator,Success,15.0,5.0,,5.0,1.0,1.0,0.9666666666666668
GPT-3.5-Turbo,H,CookiesUtilError.py,CookiesUtil,Error,19.0,5.0,1.0,4.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,CSVProcessorSuccess.py,CSVProcessor,Success,22.0,12.0,1.0,5.0,3.0,1.0,0.9454545454545454
GPT-3.5-Turbo,H,CurrencyConverterSuccess.py,CurrencyConverter,Success,28.0,0.0,6.0,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,DatabaseProcessorPartialSuccess.py,DatabaseProcessor,PartialSuccess,33.0,0.0,1.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,DataStatistics2Error.py,DataStatistics2,Error,2.0,0.0,,1.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,DataStatistics4Error.py,DataStatistics4,Error,27.0,0.0,,4.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,DataStatisticsSuccess.py,DataStatistics,Success,16.0,0.0,2.0,5.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,DecryptionUtilsError.py,DecryptionUtils,Error,45.0,0.0,24.0,17.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,DiscountStrategyFail.py,DiscountStrategy,Fail,37.0,15.0,9.0,12.0,3.0,0.0,0.0
GPT-3.5-Turbo,H,DocFileHandlerError.py,DocFileHandler,Error,41.0,0.0,7.0,9.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,EightPuzzleError.py,EightPuzzle,Error,57.0,0.0,28.0,21.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,EmailClientError.py,EmailClient,Error,37.0,0.0,7.0,11.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,EncryptionUtilsPartialSuccess.py,EncryptionUtils,PartialSuccess,42.0,0.0,24.0,16.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ExcelProcessorError.py,ExcelProcessor,Error,33.0,12.0,10.0,9.0,3.0,0.0,0.0
GPT-3.5-Turbo,H,ExpressionCalculatorError.py,ExpressionCalculator,Error,57.0,0.0,24.0,17.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,FitnessTrackerSuccess.py,FitnessTracker,Success,41.0,7.0,15.0,9.0,2.0,1.0,0.9829268292682928
GPT-3.5-Turbo,H,GomokuGameFail.py,GomokuGame,Fail,29.0,0.0,16.0,15.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,HotelSuccess.py,Hotel,Success,37.0,0.0,24.0,15.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,HRManagementSystemFail.py,HRManagementSystem,Fail,28.0,0.0,8.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,HtmlUtilFail.py,HtmlUtil,Fail,31.0,2.0,2.0,6.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,ImageProcessorError.py,ImageProcessor,Error,19.0,0.0,4.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,InterpolationFail.py,Interpolation,Fail,65.0,24.0,36.0,17.0,8.0,0.0,0.0
GPT-3.5-Turbo,H,IPAddressSuccess.py,IPAddress,Success,28.0,0.0,13.0,12.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,IpUtilError.py,IpUtil,Error,23.0,0.0,3.0,3.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,JobMarketplaceError.py,JobMarketplace,Error,24.0,0.0,6.0,11.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,JSONProcessorSuccess.py,JSONProcessor,Success,29.0,10.0,9.0,7.0,2.0,1.0,0.9655172413793104
GPT-3.5-Turbo,H,KappaCalculatorFail.py,KappaCalculator,Fail,6.0,6.0,,2.0,3.0,0.0,0.0
GPT-3.5-Turbo,H,LemmatizationError.py,Lemmatization,Error,25.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,LongestWordError.py,LongestWord,Error,15.0,0.0,4.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MahjongConnectError.py,MahjongConnect,Error,36.0,14.0,16.0,22.0,4.0,0.0,0.0
GPT-3.5-Turbo,H,ManacherFail.py,Manacher,Fail,5.0,0.0,,3.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MetricsCalculator2Fail.py,MetricsCalculator2,Fail,50.0,27.0,32.0,15.0,5.0,0.0,0.0
GPT-3.5-Turbo,H,MetricsCalculatorFail.py,MetricsCalculator,Fail,38.0,0.0,14.0,16.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MinesweeperGameError.py,MinesweeperGame,Error,36.0,5.0,19.0,14.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,MovieBookingSystemPartialSuccess.py,MovieBookingSystem,PartialSuccess,30.0,0.0,15.0,11.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MovieTicketDBFail.py,MovieTicketDB,Fail,21.0,0.0,,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MusicPlayerFail.py,MusicPlayer,Fail,51.0,0.0,18.0,17.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,NLPDataProcessor2PartialSuccess.py,NLPDataProcessor2,PartialSuccess,19.0,0.0,2.0,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,NLPDataProcessorPartialSuccess.py,NLPDataProcessor,PartialSuccess,15.0,0.0,1.0,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,NumberConverterSuccess.py,NumberConverter,Success,25.0,0.0,,6.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,NumberWordFormatterFail.py,NumberWordFormatter,Fail,14.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,NumericEntityUnescaperSuccess.py,NumericEntityUnescaper,Success,9.0,5.0,1.0,4.0,1.0,1.0,0.9444444444444444
GPT-3.5-Turbo,H,OrderFail.py,Order,Fail,22.0,0.0,7.0,9.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,PageUtilPartialSuccess.py,PageUtil,PartialSuccess,35.0,0.0,,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,PDFHandlerError.py,PDFHandler,Error,21.0,0.0,4.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,PersonRequestError.py,PersonRequest,Error,18.0,26.0,5.0,10.0,7.0,0.0,0.0
GPT-3.5-Turbo,H,PushBoxGamePartialSuccess.py,PushBoxGame,PartialSuccess,54.0,0.0,22.0,15.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,RegexUtilsError.py,RegexUtils,Error,0.0,0.0,,0.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,RPGCharacterFail.py,RPGCharacter,Fail,27.0,0.0,2.0,8.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ServerFail.py,Server,Fail,29.0,0.0,9.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ShoppingCartSuccess.py,ShoppingCart,Success,17.0,0.0,4.0,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,SignInSystemSuccess.py,SignInSystem,Success,31.0,0.0,12.0,13.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,SnakeError.py,Snake,Error,42.0,6.0,6.0,8.0,3.0,0.0,0.0
GPT-3.5-Turbo,H,SplitSentenceFail.py,SplitSentence,Fail,0.0,0.0,,0.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,SQLGeneratorSuccess.py,SQLGenerator,Success,25.0,0.0,4.0,9.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,SQLQueryBuilderSuccess.py,SQLQueryBuilder,Success,38.0,20.0,10.0,11.0,3.0,1.0,0.9473684210526316
GPT-3.5-Turbo,H,Statistics3Error.py,Statistics3,Error,57.0,0.0,9.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,StockPortfolioTrackerError.py,StockPortfolioTracker,Error,54.0,0.0,8.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,StudentDatabaseProcessorFail.py,StudentDatabaseProcessor,Fail,31.0,0.0,,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,TextFileProcessorError.py,TextFileProcessor,Error,22.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ThermostatError.py,Thermostat,Error,38.0,0.0,11.0,14.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,TicTacToeSuccess.py,TicTacToe,Success,27.0,2.0,14.0,13.0,1.0,1.0,0.9925925925925926
GPT-3.5-Turbo,H,TimeUtilsSuccess.py,TimeUtils,Success,25.0,0.0,,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,TriCalculatorFail.py,TriCalculator,Fail,27.0,5.0,3.0,8.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,TwentyFourPointGameError.py,TwentyFourPointGame,Error,19.0,10.0,2.0,5.0,2.0,0.0,0.0
GPT-3.5-Turbo,H,URLHandlerFail.py,URLHandler,Fail,19.0,0.0,1.0,7.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,UrlPathError.py,UrlPath,Error,14.0,0.0,,4.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,UserLoginDBFail.py,UserLoginDB,Fail,26.0,0.0,2.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,VectorUtilFail.py,VectorUtil,Fail,16.0,0.0,,4.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,VendingMachineFail.py,VendingMachine,Fail,36.0,0.0,15.0,12.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,WarehouseSuccess.py,Warehouse,Success,32.0,0.0,12.0,14.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,WeatherSystemPartialSuccess.py,WeatherSystem,PartialSuccess,20.0,0.0,3.0,7.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,Words2NumbersError.py,Words2Numbers,Error,37.0,0.0,12.0,12.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,XMLProcessorError.py,XMLProcessor,Error,26.0,10.0,2.0,5.0,2.0,0.0,0.0
