model,strategy,file,base_task,status,ncloc,sqale_index,cognitive_complexity,complexity,code_smells,pass_val,fqs
ChatGLM,H,AccessGatewayFilterError.py,AccessGatewayFilter,Error,19.0,,3.0,7.0,,0.01,
ChatGLM,H,AreaCalculatorFail.py,AreaCalculator,Fail,14.0,,,6.0,,0.01,
ChatGLM,H,ArgumentParserError.py,ArgumentParser,Error,13.0,,3.0,7.0,,0.01,
ChatGLM,H,ArrangementCalculatorFail.py,ArrangementCalculator,Fail,14.0,,,7.0,,0.01,
ChatGLM,H,AssessmentSystemError.py,AssessmentSystem,Error,0.0,,,0.0,,0.01,
ChatGLM,H,AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulator,Error,,,,,,0.01,
ChatGLM,H,AvgPartitionError.py,AvgPartition,Error,16.0,15.0,1.0,4.0,3.0,0.01,0.0
ChatGLM,H,BalancedBracketsFail.py,BalancedBrackets,Fail,19.0,,9.0,10.0,,0.01,
ChatGLM,H,BankAccountFail.py,BankAccount,Fail,23.0,,5.0,8.0,,0.01,
ChatGLM,H,BigNumCalculatorError.py,BigNumCalculator,Error,10.0,10.0,,5.0,2.0,0.01,0.0
ChatGLM,H,BinaryDataProcessorFail.py,BinaryDataProcessor,Fail,8.0,,,5.0,,0.01,
ChatGLM,H,BitStatusUtilError.py,BitStatusUtil,Error,0.0,,,0.0,,0.01,
ChatGLM,H,BlackjackGameError.py,BlackjackGame,Error,,,,,,0.01,
ChatGLM,H,BookManagementDBError.py,BookManagementDB,Error,29.0,30.0,3.0,11.0,6.0,0.01,0.0
ChatGLM,H,BookManagementError.py,BookManagement,Error,16.0,,3.0,8.0,,0.01,
ChatGLM,H,BoyerMooreSearchError.py,BoyerMooreSearch,Error,,,,,,0.01,
ChatGLM,H,CalculatorError.py,Calculator,Error,24.0,,5.0,5.0,,0.01,
ChatGLM,H,CalendarUtilPartialSuccess.py,CalendarUtil,PartialSuccess,9.0,,,4.0,,0.01,
ChatGLM,H,CamelCaseMapError.py,CamelCaseMap,Error,18.0,,,8.0,,0.01,
ChatGLM,H,ChandrasekharSieveError.py,ChandrasekharSieve,Error,15.0,,3.0,5.0,,0.01,
ChatGLM,H,ChatError.py,Chat,Error,8.0,,,5.0,,0.01,
