model,strategy,n_tasks,n_success,n_fqs_valid,pass_rate,fqs_mean,fqs_mean_all
GroundTruth,GT,100,100,100,1.0,0.983628,0.983628
GPT-4-Turbo,H,100,37,100,0.37,0.365366,0.365366
GPT-4-Turbo,C,100,29,100,0.29,0.288675,0.288675
GPT-4-Turbo,I,100,29,100,0.29,0.286034,0.286034
GPT-3.5-Turbo,I,100,27,100,0.27,0.266757,0.266757
GPT-3.5-Turbo,H,100,26,100,0.26,0.256887,0.256887
GPT-3.5-Turbo,C,100,19,100,0.19,0.187868,0.187868
instruct-codegen-16B,I,100,11,100,0.11,0.107813,0.107813
WizardCoder-15B-V1.0,C,100,11,100,0.11,0.106774,0.106774
santacoder-1.1B,I,100,10,100,0.1,0.09976,0.09976
starcoder-instruct-15B,H,100,10,100,0.1,0.098625,0.098625
WizardCoder-15B-V1.0,H,100,10,100,0.1,0.097784,0.097784
codegeex2-6b,I,100,9,100,0.09,0.09,0.09
starcoder-instruct-15B,C,100,9,100,0.09,0.087747,0.087747
instruct-codegen-16B,H,100,7,100,0.07,0.068625,0.068625
starcoder-instruct-15B,I,100,7,100,0.07,0.067689,0.067689
WizardCoder-15B-V1.0,I,100,6,100,0.06,0.059615,0.059615
incoder,I,100,6,100,0.06,0.059492,0.059492
instruct-codegen-16B,C,100,6,100,0.06,0.05845,0.05845
incoder,C,100,4,100,0.04,0.039857,0.039857
codegeex2-6b,C,100,3,100,0.03,0.03,0.03
PolyCoder-2.7B,I,100,3,100,0.03,0.029875,0.029875
incoder,H,100,3,100,0.03,0.029531,0.029531
ChatGLM,H,100,2,100,0.02,0.02,0.02
santacoder-1.1B,C,100,2,100,0.02,0.02,0.02
Vicuna,H,100,2,100,0.02,0.02,0.02
Vicuna,C,100,2,100,0.02,0.02,0.02
PolyCoder-2.7B,C,100,2,100,0.02,0.019865,0.019865
Vicuna,I,100,2,100,0.02,0.019735,0.019735
santacoder-1.1B,H,100,2,100,0.02,0.019419,0.019419
ChatGLM,I,100,1,100,0.01,0.01,0.01
codegeex2-6b,H,100,1,100,0.01,0.01,0.01
PolyCoder-2.7B,H,100,1,100,0.01,0.01,0.01
ChatGLM,C,100,1,100,0.01,0.00964,0.00964
