model,task,pass@1_value
ChatGLM_C,AccessGatewayFilter,0.0
ChatGLM_C,AreaCalculator,0.0
ChatGLM_C,ArgumentParser,0.0
ChatGLM_C,ArrangementCalculator,0.0
ChatGLM_C,AssessmentSystem,0.0
ChatGLM_C,AutomaticGuitarSimulator,0.0
ChatGLM_C,AvgPartition,0.0
ChatGLM_C,BalancedBrackets,0.0
ChatGLM_C,BankAccount,0.0
ChatGLM_C,BigNumCalculator,0.0
ChatGLM_C,BinaryDataProcessor,0.0
ChatGLM_C,BitStatusUtil,0.0
ChatGLM_C,BlackjackGame,0.0
ChatGLM_C,BookManagement,0.0
ChatGLM_C,BookManagementDB,0.0
ChatGLM_C,BoyerMooreSearch,0.0
ChatGLM_C,Calculator,0.0
ChatGLM_C,CalendarUtil,0.0
ChatGLM_C,CamelCaseMap,0.0
ChatGLM_C,ChandrasekharSieve,0.0
ChatGLM_C,Chat,0.0
ChatGLM_C,Classroom,0.0
ChatGLM_C,ClassRegistrationSystem,0.0
ChatGLM_C,CombinationCalculator,0.0
ChatGLM_C,ComplexCalculator,0.0
ChatGLM_C,CookiesUtil,0.0
ChatGLM_C,CSVProcessor,0.0
ChatGLM_C,CurrencyConverter,0.0
ChatGLM_C,DatabaseProcessor,0.0
ChatGLM_C,DataStatistics,0.0
ChatGLM_C,DataStatistics2,0.0
ChatGLM_C,DataStatistics4,0.0
ChatGLM_C,DecryptionUtils,0.0
ChatGLM_C,DiscountStrategy,0.0
ChatGLM_C,DocFileHandler,0.0
ChatGLM_C,EightPuzzle,0.0
ChatGLM_C,EmailClient,0.0
ChatGLM_C,EncryptionUtils,0.0
ChatGLM_C,ExcelProcessor,0.0
ChatGLM_C,ExpressionCalculator,0.0
ChatGLM_C,FitnessTracker,0.0
ChatGLM_C,GomokuGame,0.0
ChatGLM_C,Hotel,1.0
ChatGLM_C,HRManagementSystem,0.0
ChatGLM_C,HtmlUtil,0.0
ChatGLM_C,ImageProcessor,0.0
ChatGLM_C,Interpolation,0.0
ChatGLM_C,IPAddress,0.0
ChatGLM_C,IpUtil,0.0
ChatGLM_C,JobMarketplace,0.0
ChatGLM_C,JSONProcessor,0.0
ChatGLM_C,KappaCalculator,0.0
ChatGLM_C,Lemmatization,0.0
ChatGLM_C,LongestWord,0.0
ChatGLM_C,MahjongConnect,0.0
ChatGLM_C,Manacher,0.0
ChatGLM_C,MetricsCalculator,0.0
ChatGLM_C,MetricsCalculator2,0.0
ChatGLM_C,MinesweeperGame,0.0
ChatGLM_C,MovieBookingSystem,0.0
ChatGLM_C,MovieTicketDB,0.0
ChatGLM_C,MusicPlayer,0.0
ChatGLM_C,NLPDataProcessor,0.0
ChatGLM_C,NLPDataProcessor2,0.0
ChatGLM_C,NumberConverter,0.0
ChatGLM_C,NumberWordFormatter,0.0
ChatGLM_C,NumericEntityUnescaper,0.0
ChatGLM_C,Order,0.0
ChatGLM_C,PageUtil,0.0
ChatGLM_C,PDFHandler,0.0
ChatGLM_C,PersonRequest,0.0
ChatGLM_C,PushBoxGame,0.0
ChatGLM_C,RegexUtils,0.0
ChatGLM_C,RPGCharacter,0.0
ChatGLM_C,Server,0.0
ChatGLM_C,ShoppingCart,0.0
ChatGLM_C,SignInSystem,0.0
ChatGLM_C,Snake,0.0
ChatGLM_C,SplitSentence,0.0
ChatGLM_C,SQLGenerator,0.0
ChatGLM_C,SQLQueryBuilder,0.0
ChatGLM_C,Statistics3,0.0
ChatGLM_C,StockPortfolioTracker,0.0
ChatGLM_C,StudentDatabaseProcessor,0.0
ChatGLM_C,TextFileProcessor,0.0
ChatGLM_C,Thermostat,0.0
ChatGLM_C,TicTacToe,0.0
ChatGLM_C,TimeUtils,0.0
ChatGLM_C,TriCalculator,0.0
ChatGLM_C,TwentyFourPointGame,0.0
ChatGLM_C,URLHandler,0.0
ChatGLM_C,UrlPath,0.0
ChatGLM_C,UserLoginDB,0.0
ChatGLM_C,VectorUtil,0.0
ChatGLM_C,VendingMachine,0.0
ChatGLM_C,Warehouse,0.0
ChatGLM_C,WeatherSystem,0.0
ChatGLM_C,Words2Numbers,0.0
ChatGLM_C,XMLProcessor,0.0
ChatGLM_C,ZipFileProcessor,0.0
ChatGLM_H,AccessGatewayFilter,0.0
ChatGLM_H,AreaCalculator,0.0
ChatGLM_H,ArgumentParser,0.0
ChatGLM_H,ArrangementCalculator,0.0
ChatGLM_H,AssessmentSystem,0.0
ChatGLM_H,AutomaticGuitarSimulator,0.0
ChatGLM_H,AvgPartition,0.0
ChatGLM_H,BalancedBrackets,0.0
ChatGLM_H,BankAccount,0.0
ChatGLM_H,BigNumCalculator,0.0
ChatGLM_H,BinaryDataProcessor,0.0
ChatGLM_H,BitStatusUtil,0.0
ChatGLM_H,BlackjackGame,0.0
ChatGLM_H,BookManagement,0.0
ChatGLM_H,BookManagementDB,0.0
ChatGLM_H,BoyerMooreSearch,0.0
ChatGLM_H,Calculator,0.0
ChatGLM_H,CalendarUtil,0.0
ChatGLM_H,CamelCaseMap,0.0
ChatGLM_H,ChandrasekharSieve,0.0
ChatGLM_H,Chat,0.0
ChatGLM_H,Classroom,0.0
ChatGLM_H,ClassRegistrationSystem,0.0
ChatGLM_H,CombinationCalculator,0.0
ChatGLM_H,ComplexCalculator,0.0
ChatGLM_H,CookiesUtil,0.0
ChatGLM_H,CSVProcessor,0.0
ChatGLM_H,CurrencyConverter,0.0
ChatGLM_H,DatabaseProcessor,0.0
ChatGLM_H,DataStatistics,0.0
ChatGLM_H,DataStatistics2,0.0
ChatGLM_H,DataStatistics4,0.0
