file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,16,39,3,,,1,1,7,6,,,54.3,5
AreaCalculatorError.py,AreaCalculatorError.py,18,69,6,,,,,6,,,,70.5,
ArgumentParserError.py,ArgumentParserError.py,,98,,,,,,,,,,,
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,28,77,6,,,2,2,11,9,,,60.0,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,37,71,7,,,,,16,16,,,39.3,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,16,43,3,,,1,1,6,5,,,59.0,5
AvgPartitionFail.py,AvgPartitionFail.py,16,32,3,,,1,1,4,2,,,42.9,5
BalancedBracketsFail.py,BalancedBracketsFail.py,24,36,3,,,,,12,13,,,25.0,
BankAccountError.py,BankAccountError.py,25,47,5,,,,,10,6,,,39.0,
BigNumCalculatorError.py,BigNumCalculatorError.py,24,59,3,1,,3,4,10,11,,,55.6,15
BinaryDataProcessorError.py,BinaryDataProcessorError.py,34,54,5,,,,,10,10,,,27.7,
BitStatusUtilError.py,BitStatusUtilError.py,,63,,,,,,,,,,,
BlackjackGameError.py,BlackjackGameError.py,,100,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,42,62,7,,,1,1,8,2,,,22.2,5
BookManagementFail.py,BookManagementFail.py,32,56,5,,,,,14,17,,,34.7,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,39,63,4,,,11,11,15,15,,,32.8,25
CalculatorError.py,CalculatorError.py,,239,,,,,,,,,,,
CalendarUtilError.py,CalendarUtilError.py,,95,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,,1773,,,,,,,,,,,
ChandrasekharSieveFail.py,ChandrasekharSieveFail.py,17,37,3,,,,,7,8,,,48.5,
ChatError.py,ChatError.py,22,56,4,,,,,7,6,,,55.1,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,,42,,,,,,,,,,,
ClassroomError.py,ClassroomError.py,36,51,5,,,,,16,18,,,18.2,
