file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,25,1026,5,,,1,1,8,8,,,59.0,5
AreaCalculatorFail.py,AreaCalculatorFail.py,19,72,6,,,,,6,,,,68.9,
ArgumentParserError.py,ArgumentParserError.py,,322,,,,,,,,,,,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,26,86,6,,,2,2,11,8,,,64.9,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,35,104,7,,,1,1,13,8,,,61.5,5
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,11,39,3,,,1,1,3,,,,67.6,5
AvgPartitionPartialSuccess.py,AvgPartitionPartialSuccess.py,16,41,3,,,1,1,3,,,,55.6,5
BalancedBracketsError.py,BalancedBracketsError.py,30,57,3,,,,,6,7,,,40.0,
BankAccountPartialSuccess.py,BankAccountPartialSuccess.py,22,61,5,,,,,7,5,,,55.1,
BigNumCalculatorError.py,BigNumCalculatorError.py,14,51,3,,,5,5,5,2,,,68.2,25
BinaryDataProcessorError.py,BinaryDataProcessorError.py,27,68,5,,,,,7,5,,,54.2,
BitStatusUtilError.py,BitStatusUtilError.py,21,71,4,1,,5,6,12,10,,,65.6,26
BlackjackGameError.py,BlackjackGameError.py,335,381,4,149,,1,150,9,162,78.2,2,10.4,146
BookManagementDBError.py,BookManagementDBError.py,38,94,7,,,,,8,1,,,53.1,
BookManagementError.py,BookManagementError.py,498,542,5,,,,,8,6,,,6.0,
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,293,331,4,,,5,5,7,7,,,9.6,10
CalculatorError.py,CalculatorError.py,32,70,4,,,,,7,5,,,48.4,
CalendarUtilError.py,CalendarUtilError.py,,1008,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,24,110,8,,,2,2,10,2,,,73.9,10
ChandrasekharSieveError.py,ChandrasekharSieveError.py,37,918,3,,,,,8,7,,,35.1,
ChatFail.py,ChatFail.py,28,93,5,,,,,9,6,,,65.4,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,31,92,6,,,,,11,7,,,61.3,
ClassroomError.py,ClassroomError.py,33,79,5,,,1,1,14,13,,,52.9,5
CombinationCalculatorError.py,CombinationCalculatorError.py,32,95,6,,,9,9,8,3,,,60.5,23
ComplexCalculatorError.py,ComplexCalculatorError.py,9,58,5,,,4,4,5,,,,81.6,20
CookiesUtilError.py,CookiesUtilError.py,19,56,4,,,,,4,,,,61.2,
CSVProcessorError.py,CSVProcessorError.py,34,72,4,,,2,2,6,2,,,47.7,7
CurrencyConverterFail.py,CurrencyConverterFail.py,28,77,5,,,1,1,7,3,,,57.6,5
DatabaseProcessorError.py,DatabaseProcessorError.py,15,63,5,,,,,5,,,,70.0,
DataStatistics2Fail.py,DataStatistics2Fail.py,26,86,7,,,2,2,9,2,,,63.9,10
DataStatistics4Error.py,DataStatistics4Error.py,10,54,4,,,4,4,4,,,,77.8,20
DataStatisticsFail.py,DataStatisticsFail.py,17,47,3,,,,,4,2,,,58.5,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,15,56,4,,,,,6,2,,,68.8,
DiscountStrategyFail.py,DiscountStrategyFail.py,178,255,6,,,6,6,7,1,61.2,2,26.1,30
DocFileHandlerError.py,DocFileHandlerError.py,,361,,,,,,,,,,,
EightPuzzleError.py,EightPuzzleError.py,39,87,5,,,,,19,20,,,50.0,
EmailClientError.py,EmailClientError.py,28,100,6,,,,,9,4,,,68.2,
EncryptionUtilsError.py,EncryptionUtilsError.py,247,286,4,1,,,1,6,2,76.6,2,11.5,
ExcelProcessorError.py,ExcelProcessorError.py,,300,,,,,,,,,,,
ExpressionCalculatorError.py,ExpressionCalculatorError.py,30,1003,7,1,,3,4,9,4,,,66.3,15
FitnessTrackerError.py,FitnessTrackerError.py,25,59,4,,,3,3,5,2,,,51.9,12
GomokuGameFail.py,GomokuGameFail.py,271,321,4,,,2,2,248,372,65.1,49,13.7,341
HotelSuccess.py,HotelSuccess.py,30,109,5,,,,,8,6,,,70.0,
HRManagementSystemError.py,HRManagementSystemError.py,,114,,,,,,,,,,,
HtmlUtilFail.py,HtmlUtilFail.py,36,89,4,,,1,1,7,3,,,56.1,2
ImageProcessorError.py,ImageProcessorError.py,15,68,6,,,,,6,,,,72.2,
InterpolationError.py,InterpolationError.py,,47,,,,,,,,,,,
IPAddressFail.py,IPAddressFail.py,25,58,4,,,,,8,7,,,50.0,
IpUtilFail.py,IpUtilFail.py,277,313,3,,,3,3,3,,,,9.5,15
JobMarketplaceError.py,JobMarketplaceError.py,28,108,7,,,,,11,6,,,70.5,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,26,65,3,,,,,4,4,,,55.9,
KappaCalculatorFail.py,KappaCalculatorFail.py,4,35,2,,,5,5,2,,,,87.1,16
LemmatizationError.py,LemmatizationError.py,421,456,4,,,1,1,4,,78.9,4,6.2,1
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,17,40,3,,,,,5,3,,,51.4,
MahjongConnectError.py,MahjongConnectError.py,,299,,,,,,,,,,,
ManacherError.py,ManacherError.py,20,49,3,,,,,7,5,,,53.5,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,8,41,3,,,2,2,3,,,,76.5,10
MetricsCalculatorFail.py,MetricsCalculatorFail.py,80,152,6,,,5,5,21,32,,,37.5,25
MinesweeperGameError.py,MinesweeperGameError.py,60,112,5,,,5,5,12,12,,,41.7,25
MovieBookingSystemFail.py,MovieBookingSystemFail.py,25,77,4,,,,,10,9,,,64.3,
MovieTicketDBError.py,MovieTicketDBError.py,30,71,5,,,,,5,,,,50.8,
MusicPlayerSuccess.py,MusicPlayerSuccess.py,43,147,9,,,,,15,10,,,65.3,
NLPDataProcessor2Fail.py,NLPDataProcessor2Fail.py,30,61,3,,,,,9,12,,,41.2,
NLPDataProcessorFail.py,NLPDataProcessorFail.py,13,40,3,,,,,5,1,,,61.8,
NumberConverterError.py,NumberConverterError.py,,253,,,,,,,,,,,
NumberWordFormatterError.py,NumberWordFormatterError.py,,618,,,,,,,,,,,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,11,34,3,,,2,2,5,2,,,60.7,10
OrderError.py,OrderError.py,31,82,4,,,,,9,7,,,57.5,
PageUtilFail.py,PageUtilFail.py,42,93,4,,,,,8,5,,,51.2,
PDFHandlerError.py,PDFHandlerError.py,19,45,3,,,,,6,4,,,51.3,
PersonRequestFail.py,PersonRequestFail.py,22,53,4,,,6,6,18,8,,,48.8,21
PushBoxGameError.py,PushBoxGameError.py,93,959,4,,,,,18,26,,,36.7,
RegexUtilsFail.py,RegexUtilsFail.py,35,137,10,,,,,11,1,,,70.1,
RPGCharacterError.py,RPGCharacterError.py,,1206,,,,,,,,,,,
ServerFail.py,ServerFail.py,32,92,6,,,,,10,9,,,56.8,
ShoppingCartFail.py,ShoppingCartFail.py,12,65,5,,,,,6,1,,,76.5,
SignInSystemError.py,SignInSystemError.py,28,97,6,,,,,11,9,,,65.9,
SnakeError.py,SnakeError.py,52,105,5,,,4,4,6,6,,,43.5,11
SplitSentenceFail.py,SplitSentenceFail.py,,7,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,26,90,7,,,,,10,3,,,65.8,
SQLQueryBuilderFail.py,SQLQueryBuilderFail.py,6,48,4,,,4,4,4,,,,84.6,20
Statistics3Error.py,Statistics3Error.py,45,123,7,,,11,11,13,10,,,58.7,55
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,56,147,8,2,,2,4,18,15,,,57.3,10
StudentDatabaseProcessorFail.py,StudentDatabaseProcessorFail.py,21,69,5,,,,,5,,,,63.8,
TextFileProcessorFail.py,TextFileProcessorFail.py,19,68,5,,,,,5,,,,66.7,
ThermostatError.py,ThermostatError.py,38,1006,8,1,,,1,12,6,,,59.1,
TicTacToeError.py,TicTacToeError.py,28,64,4,,,2,2,12,17,,,50.9,7
TimeUtilsError.py,TimeUtilsError.py,,362,,,,,,,,,,,
TriCalculatorError.py,TriCalculatorError.py,16,1019,6,,,1,1,7,1,,,69.8,5
TwentyFourPointGameError.py,TwentyFourPointGameError.py,21,61,5,,,2,2,7,2,,,58.8,10
URLHandlerFail.py,URLHandlerFail.py,23,73,6,,,,,8,4,,,62.3,
UrlPathFail.py,UrlPathFail.py,12,50,4,,,1,1,4,,,,71.4,5
UserLoginDBFail.py,UserLoginDBFail.py,19,72,5,,,,,5,,,,69.4,
VectorUtilError.py,VectorUtilError.py,12,62,4,,,4,4,5,1,,,76.5,20
VendingMachineFail.py,VendingMachineFail.py,27,103,6,,,,,8,4,,,69.3,
WarehouseError.py,WarehouseError.py,42,125,7,,,,,13,10,,,63.2,
WeatherSystemError.py,WeatherSystemError.py,24,76,5,3,,1,4,6,2,,,63.6,5
Words2NumbersError.py,Words2NumbersError.py,184,213,3,,,,,31,14,,,9.4,
XMLProcessorError.py,XMLProcessorError.py,25,79,5,,,1,1,6,1,,,64.3,5
ZipFileProcessorSuccess.py,ZipFileProcessorSuccess.py,23,65,5,,,,,6,1,,,58.9,
