file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,13,62,5,,,2,2,5,,,,75.0,10
AreaCalculatorFail.py,AreaCalculatorFail.py,19,75,6,,,,,6,,,,70.3,
ArgumentParserError.py,ArgumentParserError.py,37,104,5,1,,,1,10,11,,,61.1,
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,10,69,6,,,2,2,6,,,,83.6,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,51,123,7,,,3,3,19,18,,,53.6,15
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,209,239,3,,,2,2,3,,,,11.1,6
AvgPartitionFail.py,AvgPartitionFail.py,13,41,3,,,2,2,3,,,,63.9,10
BalancedBracketsFail.py,BalancedBracketsFail.py,30,58,3,,,,,7,7,,,43.4,
BankAccountSuccess.py,BankAccountSuccess.py,28,71,5,,,1,1,8,8,,,51.7,6
BigNumCalculatorError.py,BigNumCalculatorError.py,21,58,3,,,4,4,10,11,,,61.1,20
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,248,292,5,,,,,5,,79.1,2,12.4,
BitStatusUtilError.py,BitStatusUtilError.py,25,73,4,,,5,5,14,11,,,63.2,26
BlackjackGameError.py,BlackjackGameError.py,33,82,4,,,,,9,11,,,56.0,
BookManagementDBError.py,BookManagementDBError.py,50,109,7,,,,,7,,,,47.9,
BookManagementError.py,BookManagementError.py,29,73,5,,,,,9,9,,,54.7,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,30,71,4,,,4,4,11,9,,,53.1,8
CalculatorFail.py,CalculatorFail.py,246,286,4,,,1,1,4,,,,11.8,1
CalendarUtilError.py,CalendarUtilError.py,,103,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,31,116,8,,,2,2,11,6,,,69.6,11
ChandrasekharSieveError.py,ChandrasekharSieveError.py,39,69,3,,,,,7,6,,,37.1,
ChatFail.py,ChatFail.py,28,97,5,,,,,10,9,,,66.7,
ClassRegistrationSystemFail.py,ClassRegistrationSystemFail.py,33,100,6,,,,,11,10,,,61.2,
ClassroomError.py,ClassroomError.py,23,71,5,,,,,9,6,,,63.5,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,12,71,6,,,4,4,6,,,,81.3,11
ComplexCalculatorError.py,ComplexCalculatorError.py,8,57,5,,,4,4,5,,,,84.3,20
CookiesUtilError.py,CookiesUtilError.py,20,59,4,,,,,4,,,,62.3,
CSVProcessorError.py,CSVProcessorError.py,25,66,4,,,3,3,6,2,,,57.6,12
CurrencyConverterError.py,CurrencyConverterError.py,31,78,5,,,1,1,7,2,,,56.9,5
DatabaseProcessorError.py,DatabaseProcessorError.py,21,66,5,,,,,5,,,,64.4,
DataStatistics2Error.py,DataStatistics2Error.py,37,94,7,,,3,3,14,9,,,57.0,15
DataStatistics4Fail.py,DataStatistics4Fail.py,6,49,4,,,4,4,4,,,,86.4,20
DataStatisticsFail.py,DataStatisticsFail.py,17,48,3,,,,,4,2,,,61.4,
DecryptionUtilsError.py,DecryptionUtilsError.py,27,70,4,,,,,10,12,,,57.1,
DiscountStrategyFail.py,DiscountStrategyFail.py,15,92,6,,,6,6,7,1,,,81.5,30
DocFileHandlerError.py,DocFileHandlerError.py,,318,,,,,,,,,,,
EightPuzzleError.py,EightPuzzleError.py,46,97,5,,,3,3,19,39,,,47.7,21
EmailClientError.py,EmailClientError.py,30,101,6,,,,,10,4,,,67.7,
EncryptionUtilsError.py,EncryptionUtilsError.py,18,60,4,,,,,7,3,,,66.0,
ExcelProcessorError.py,ExcelProcessorError.py,30,67,4,,,2,2,6,2,,,50.8,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,233,308,7,,,217,217,8,1,,,21.0,1085
FitnessTrackerError.py,FitnessTrackerError.py,32,69,4,,,3,3,11,15,,,48.4,9
GomokuGameError.py,GomokuGameError.py,,117,,,,,,,,,,,
HotelSuccess.py,HotelSuccess.py,31,113,5,,,,,8,6,,,70.2,
HRManagementSystemError.py,HRManagementSystemError.py,,110,,,,,,,,,,,
HtmlUtilError.py,HtmlUtilError.py,,202,,,,,,,,,,,
ImageProcessorError.py,ImageProcessorError.py,14,72,6,,,,,6,,,,75.0,
InterpolationError.py,InterpolationError.py,,39,,,,,,,,,,,
IPAddressError.py,IPAddressError.py,24,58,4,,,,,9,8,,,53.8,
IpUtilError.py,IpUtilError.py,,292,,,,,,,,,,,
JobMarketplaceError.py,JobMarketplaceError.py,42,125,7,2,,,2,17,19,,,62.5,
JSONProcessorFail.py,JSONProcessorFail.py,23,69,3,,,,,7,4,,,61.0,
KappaCalculatorFail.py,KappaCalculatorFail.py,4,37,2,,,5,5,2,,,,88.2,16
LemmatizationError.py,LemmatizationError.py,216,254,4,,,,,4,,77.6,2,12.6,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,17,43,3,,,,,5,3,,,55.3,
MahjongConnectFail.py,MahjongConnectFail.py,50,148,7,,,2,2,38,21,,,63.0,4
ManacherError.py,ManacherError.py,20,51,3,,,,,5,4,,,56.5,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,7,41,3,,,2,2,3,,,,80.6,10
MetricsCalculatorError.py,MetricsCalculatorError.py,23,91,6,,,6,6,6,,,,68.9,30
MinesweeperGameError.py,MinesweeperGameError.py,56,108,5,,,3,3,29,38,,,45.1,15
MovieBookingSystemFail.py,MovieBookingSystemFail.py,25,78,4,,,,,10,9,,,65.8,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,37,78,5,,,,,5,,,,47.9,
MusicPlayerFail.py,MusicPlayerFail.py,42,151,9,,,,,15,11,,,66.7,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,18,46,3,,,,,4,1,,,57.1,
NLPDataProcessorFail.py,NLPDataProcessorFail.py,17,45,3,,,,,6,6,,,58.5,
NumberConverterFail.py,NumberConverterFail.py,7,60,6,,,6,6,6,,,,86.5,30
NumberWordFormatterError.py,NumberWordFormatterError.py,271,328,6,4,,3,7,131,139,14.0,2,14.5,109
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,6,32,3,,,2,2,4,1,,,76.9,10
OrderFail.py,OrderFail.py,32,85,4,,,,,9,8,,,58.4,
PageUtilError.py,PageUtilError.py,220,272,4,,,1,1,10,6,61.4,2,17.6,5
PDFHandlerError.py,PDFHandlerError.py,16,43,3,,,,,5,2,,,59.0,
PersonRequestFail.py,PersonRequestFail.py,17,53,4,,,7,7,8,4,,,58.5,26
PushBoxGameError.py,PushBoxGameError.py,51,125,4,,,,,16,19,,,52.8,
RegexUtilsFail.py,RegexUtilsFail.py,32,128,10,,,,,10,,,,72.6,
RPGCharacterError.py,RPGCharacterError.py,,105,,,,,,,,,,,
ServerFail.py,ServerFail.py,35,94,6,,,,,11,11,,,56.3,
