file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,,46,,,,,,,,,,,
AreaCalculatorFail.py,AreaCalculatorFail.py,13,44,6,,,,,6,,,,70.5,
ArgumentParserError.py,ArgumentParserError.py,9,72,5,,,,,5,,,,86.6,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,12,73,6,,,,,6,,,,81.0,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,9,75,7,,,,,7,,,,86.8,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,5,35,3,,,,,3,,,,83.9,
AvgPartitionPartialSuccess.py,AvgPartitionPartialSuccess.py,6,33,3,,,1,1,3,,,,79.3,5
BalancedBracketsError.py,BalancedBracketsError.py,8,34,3,,,,,3,,,,74.2,
BankAccountPartialSuccess.py,BankAccountPartialSuccess.py,7,42,5,,,,,5,,,,81.1,
BigNumCalculatorError.py,BigNumCalculatorError.py,7,43,3,,,,,3,,,,82.5,
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,8,48,5,,,,,5,,,,81.4,
BitStatusUtilError.py,BitStatusUtilError.py,9,56,4,,,,,4,,,,82.7,
BlackjackGameError.py,BlackjackGameError.py,,72,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,29,62,7,,,,,7,,,,53.2,
BookManagementFail.py,BookManagementFail.py,7,47,5,,,,,5,,,,83.3,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,7,45,4,,,3,3,4,,,,82.9,6
CalculatorError.py,CalculatorError.py,12,51,4,,,,,4,,,,73.3,
CalendarUtilError.py,CalendarUtilError.py,,30,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,11,94,8,1,,,1,8,,,,86.6,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,6,32,3,,,,,3,,,,79.3,
ChatError.py,ChatError.py,8,70,5,,,,,5,,,,87.5,
ClassRegistrationSystemFail.py,ClassRegistrationSystemFail.py,,66,,,,,,,,,,,
ClassroomSuccess.py,ClassroomSuccess.py,9,55,5,,,,,5,,,,81.6,
CombinationCalculatorError.py,CombinationCalculatorError.py,,60,,,,,,,,,,,
ComplexCalculatorFail.py,ComplexCalculatorFail.py,11,60,5,,,1,1,5,,,,79.6,5
CookiesUtilError.py,CookiesUtilError.py,,33,,,,,,,,,,,
CSVProcessorError.py,CSVProcessorError.py,6,45,4,,,2,2,4,,,,85.0,7
CurrencyConverterError.py,CurrencyConverterError.py,15,64,5,,,,,5,,,,73.2,
DatabaseProcessorFail.py,DatabaseProcessorFail.py,8,57,5,,,,,5,,,,82.6,
DataStatistics2Error.py,DataStatistics2Error.py,15,64,7,,,,,7,,,,76.6,
DataStatistics4Error.py,DataStatistics4Error.py,,47,,,,,,,,,,,
DataStatisticsFail.py,DataStatisticsFail.py,5,36,3,,,,,3,,,,84.4,
DecryptionUtilsError.py,DecryptionUtilsError.py,6,46,4,,,,,4,,,,85.7,
DiscountStrategyError.py,DiscountStrategyError.py,14,90,6,,,3,3,6,,,,82.5,15
DocFileHandlerError.py,DocFileHandlerError.py,11,53,6,,,,,6,,,,75.6,
EightPuzzleError.py,EightPuzzleError.py,8,55,5,,,,,5,,,,84.0,
EmailClientError.py,EmailClientError.py,11,81,6,,,,,6,,,,85.1,
EncryptionUtilsError.py,EncryptionUtilsError.py,6,45,4,,,,,4,,,,85.4,
ExcelProcessorError.py,ExcelProcessorError.py,37,81,4,,,2,2,13,15,,,54.3,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,13,87,7,,,,,7,,,,82.7,
FitnessTrackerError.py,FitnessTrackerError.py,13,47,4,,,2,2,4,,,,69.8,7
GomokuGameError.py,GomokuGameError.py,8,58,4,,,,,4,,,,85.2,
HotelSuccess.py,HotelSuccess.py,9,87,5,,,,,5,,,,89.0,
HRManagementSystemFail.py,HRManagementSystemFail.py,,80,,,,,,,,,,,
HtmlUtilError.py,HtmlUtilError.py,,68,,,,,,,,,,,
ImageProcessorError.py,ImageProcessorError.py,,49,,,,,,,,,,,
InterpolationError.py,InterpolationError.py,,37,,,,,,,,,,,
IPAddressFail.py,IPAddressFail.py,6,41,4,,,,,4,,,,82.4,
IpUtilError.py,IpUtilError.py,,45,,,,,,,,,,,
JobMarketplaceError.py,JobMarketplaceError.py,10,87,7,,,,,7,,,,87.5,
JSONProcessorError.py,JSONProcessorError.py,,39,,,,,,,,,,,
KappaCalculatorError.py,KappaCalculatorError.py,,53,,,,,,,,,,,
LemmatizationError.py,LemmatizationError.py,,22,,,,,,,,,,,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,14,37,3,,,,,7,5,,,60.0,
MahjongConnectError.py,MahjongConnectError.py,,69,,,,,,,,,,,
ManacherFail.py,ManacherFail.py,5,34,3,,,,,3,,,,83.9,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,7,36,3,,,1,1,3,,,,80.6,5
MetricsCalculatorError.py,MetricsCalculatorError.py,11,73,6,,,,,6,,,,82.3,
MinesweeperGameError.py,MinesweeperGameError.py,,55,,,,,,,,,,,
MovieBookingSystemError.py,MovieBookingSystemError.py,8,61,4,,,,,4,,,,85.7,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,23,52,5,,,,,5,,,,55.8,
MusicPlayerError.py,MusicPlayerError.py,13,106,9,,,,,9,,,,86.6,
NLPDataProcessor2Fail.py,NLPDataProcessor2Fail.py,5,34,3,,,,,3,,,,82.8,
NLPDataProcessorError.py,NLPDataProcessorError.py,4,30,3,,,,,3,,,,85.7,
NumberConverterFail.py,NumberConverterFail.py,13,65,6,,,,,6,,,,77.6,
NumberWordFormatterFail.py,NumberWordFormatterFail.py,14,69,6,,,,,6,,,,76.7,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,6,30,3,,,1,1,3,,,,76.9,5
OrderFail.py,OrderFail.py,8,59,4,,,,,4,,,,84.9,
PageUtilFail.py,PageUtilFail.py,9,62,4,,,,,4,,,,83.9,
PDFHandlerError.py,PDFHandlerError.py,9,37,4,,,,,4,,,,75.7,
PersonRequestSuccess.py,PersonRequestSuccess.py,8,38,4,,,4,4,4,,,,75.0,11
PushBoxGameFail.py,PushBoxGameFail.py,13,75,4,,,,,4,,,,81.4,
RegexUtilsError.py,RegexUtilsError.py,25,75,10,,,1,1,10,,,,66.7,5
RPGCharacterFail.py,RPGCharacterFail.py,13,72,6,,,,,6,,,,80.3,
ServerFail.py,ServerFail.py,10,64,6,,,,,6,,,,81.8,
ShoppingCartFail.py,ShoppingCartFail.py,7,58,5,,,,,5,,,,85.7,
SignInSystemSuccess.py,SignInSystemSuccess.py,8,71,6,,,,,6,,,,87.7,
SnakeFail.py,SnakeFail.py,20,47,4,,,3,3,4,,,,57.4,6
SplitSentenceFail.py,SplitSentenceFail.py,,9,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,9,70,7,,,,,7,,,,85.5,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,9,50,4,,,,,4,,,,80.0,
Statistics3Error.py,Statistics3Error.py,16,91,7,,,,,7,,,,80.7,
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,11,97,8,,,,,8,,,,87.6,
StudentDatabaseProcessorSuccess.py,StudentDatabaseProcessorSuccess.py,33,59,5,,,,,5,,,,44.1,
TextFileProcessorError.py,TextFileProcessorError.py,7,48,5,,,,,5,,,,85.4,
ThermostatFail.py,ThermostatFail.py,12,51,8,,,,,8,,,,76.5,
TicTacToeFail.py,TicTacToeFail.py,7,43,4,,,1,1,4,,,,82.1,2
TimeUtilsFail.py,TimeUtilsFail.py,11,70,8,,,,,8,,,,84.1,
TriCalculatorError.py,TriCalculatorError.py,9,58,6,,,1,1,6,,,,81.6,5
TwentyFourPointGamePartialSuccess.py,TwentyFourPointGamePartialSuccess.py,17,41,5,,,,,5,,,,54.1,
URLHandlerFail.py,URLHandlerFail.py,8,59,6,,,,,6,,,,83.7,
UrlPathError.py,UrlPathError.py,,39,,,,,,,,,,,
UserLoginDBError.py,UserLoginDBError.py,8,62,5,,,,,5,,,,85.2,
VectorUtilError.py,VectorUtilError.py,,53,,,,,,,,,,,
VendingMachineError.py,VendingMachineError.py,9,79,6,,,,,6,,,,87.7,
WarehouseFail.py,WarehouseFail.py,10,90,7,,,,,7,,,,88.2,
WeatherSystemFail.py,WeatherSystemFail.py,10,60,5,,,,,5,,,,81.8,
Words2NumbersError.py,Words2NumbersError.py,21,50,3,,,,,7,4,,,51.2,
XMLProcessorFail.py,XMLProcessorFail.py,21,47,5,,,,,6,1,,,55.3,
ZipFileProcessorError.py,ZipFileProcessorError.py,,61,,,,,,,,,,,
