file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,18,39,3,,,1,1,5,4,,,41.9,5
AreaCalculatorError.py,AreaCalculatorError.py,10,38,3,1,,,1,4,1,,,64.3,
ArgumentParserError.py,ArgumentParserError.py,29,79,4,1,,,1,10,11,,,59.7,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,18,64,6,,,2,2,9,5,,,68.4,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,28,81,6,,,,,14,12,,,61.1,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,17,39,3,,,,,7,6,,,51.4,
AvgPartitionPartialSuccess.py,AvgPartitionPartialSuccess.py,16,32,3,,,1,1,4,1,,,42.9,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,16,31,3,,,,,8,8,,,40.7,
BankAccountPartialSuccess.py,BankAccountPartialSuccess.py,20,50,5,,,,,8,3,,,52.4,
BigNumCalculatorError.py,BigNumCalculatorError.py,44,79,3,,,3,3,12,15,,,39.7,15
BinaryDataProcessorError.py,BinaryDataProcessorError.py,21,48,4,,,,,5,1,,,48.8,
BitStatusUtilError.py,BitStatusUtilError.py,19,52,4,,,4,4,13,9,,,59.6,20
BlackjackGameError.py,BlackjackGameError.py,44,80,4,,,,,11,15,,,41.3,
BookManagementDBError.py,BookManagementDBError.py,,44,,,,,,,,,,,
BookManagementError.py,BookManagementError.py,27,58,4,,,,,12,10,,,46.0,
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,32,52,4,,,4,4,14,17,,,31.9,8
CalculatorFail.py,CalculatorFail.py,44,70,4,,,,,10,12,,,32.3,
CalendarUtilPartialSuccess.py,CalendarUtilPartialSuccess.py,,70,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,11,59,5,1,,1,2,6,1,,,76.1,5
ChandrasekharSieveError.py,ChandrasekharSieveError.py,14,37,3,,,,,5,3,,,56.3,
ChatError.py,ChatError.py,20,43,3,,,,,6,4,,,42.9,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,16,47,5,,,1,1,7,2,,,59.0,5
ClassroomError.py,ClassroomError.py,8,21,2,,,,,3,1,,,50.0,
CombinationCalculatorError.py,CombinationCalculatorError.py,43,77,6,1,,8,9,17,12,,,38.6,25
ComplexCalculatorError.py,ComplexCalculatorError.py,12,42,5,,,4,4,5,,,,66.7,20
CookiesUtilError.py,CookiesUtilError.py,15,27,2,,,,,4,3,,,37.5,
CSVProcessorError.py,CSVProcessorError.py,10,21,2,,,1,1,3,1,,,37.5,5
CurrencyConverterSuccess.py,CurrencyConverterSuccess.py,27,59,5,,,,,8,4,,,49.1,
DatabaseProcessorError.py,DatabaseProcessorError.py,20,44,3,,,,,3,,,,42.9,
DataStatistics2Error.py,DataStatistics2Error.py,21,69,7,,,,,8,1,,,65.6,
DataStatistics4Error.py,DataStatistics4Error.py,,34,,,,,,,,,,,
DataStatisticsError.py,DataStatisticsError.py,23,48,3,,,,,8,8,,,47.7,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,30,52,4,,,,,10,10,,,36.2,
DiscountStrategyFail.py,DiscountStrategyFail.py,24,62,5,,,6,6,9,6,,,55.6,30
DocFileHandlerError.py,DocFileHandlerError.py,55,93,6,,,,,10,8,,,36.0,
EightPuzzleFail.py,EightPuzzleFail.py,50,88,5,,,,,13,15,,,39.0,
EmailClientError.py,EmailClientError.py,16,47,4,,,,,6,2,,,57.9,
EncryptionUtilsError.py,EncryptionUtilsError.py,43,62,4,,,4,4,13,18,,,21.8,20
ExcelProcessorError.py,ExcelProcessorError.py,34,71,4,,,3,3,8,6,,,48.5,12
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,229,,,,,,,,,,,
