file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,35,65,5,,,1,1,10,8,,,39.7,5
AreaCalculatorFail.py,AreaCalculatorFail.py,14,53,6,,,,,6,,,,68.9,
ArgumentParserFail.py,ArgumentParserFail.py,27,79,5,,,1,1,10,8,,,62.5,5
ArrangementCalculatorError.py,ArrangementCalculatorError.py,23,56,6,,,2,2,10,6,,,52.1,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,40,94,7,,,,,17,15,,,52.9,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,14,40,3,,,,,6,5,,,60.0,
AvgPartitionPartialSuccess.py,AvgPartitionPartialSuccess.py,15,35,3,,,1,1,4,1,,,50.0,5
BalancedBracketsError.py,BalancedBracketsError.py,18,37,3,,,1,1,7,8,,,43.8,5
BankAccountSuccess.py,BankAccountSuccess.py,25,57,5,,,1,1,10,5,,,50.0,6
BigNumCalculatorError.py,BigNumCalculatorError.py,54,80,3,,,3,3,17,27,,,28.0,15
BinaryDataProcessorSuccess.py,BinaryDataProcessorSuccess.py,15,40,5,,,,,6,,,,54.5,
BitStatusUtilError.py,BitStatusUtilError.py,24,61,4,,,6,6,18,14,,,56.4,32
BlackjackGameError.py,BlackjackGameError.py,38,76,4,,,,,11,13,,,45.7,
BookManagementDBError.py,BookManagementDBError.py,,73,,,,,,,,,,,
BookManagementFail.py,BookManagementFail.py,24,61,5,,,,,9,9,,,55.6,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,31,59,4,,,5,5,13,13,,,41.5,10
CalculatorFail.py,CalculatorFail.py,32,65,4,,,1,1,7,7,,,45.8,5
CalendarUtilError.py,CalendarUtilError.py,,70,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,15,74,7,,,,,8,1,,,76.9,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,14,40,3,,,,,5,3,,,58.8,
ChatFail.py,ChatFail.py,30,65,5,,,,,10,9,,,48.3,
ClassRegistrationSystemFail.py,ClassRegistrationSystemFail.py,37,73,6,,,1,1,14,16,,,43.1,5
ClassroomError.py,ClassroomError.py,11,31,3,,,,,5,2,,,57.7,
CombinationCalculatorError.py,CombinationCalculatorError.py,,41,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,12,46,5,,,4,4,5,,,,69.2,20
CookiesUtilError.py,CookiesUtilError.py,8,44,4,,,,,4,,,,78.9,
CSVProcessorFail.py,CSVProcessorFail.py,34,61,4,,,3,3,9,11,,,38.2,12
CurrencyConverterSuccess.py,CurrencyConverterSuccess.py,27,63,5,,,,,8,3,,,51.8,
DatabaseProcessorError.py,DatabaseProcessorError.py,,71,,,,,,,,,,,
DataStatistics2Fail.py,DataStatistics2Fail.py,18,77,7,,,,,7,,,,73.1,
DataStatistics4Error.py,DataStatistics4Error.py,6,46,4,,,4,4,4,,,,85.0,20
DataStatisticsSuccess.py,DataStatisticsSuccess.py,17,49,3,,,,,6,3,,,61.4,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,45,69,4,,,,,15,27,,,28.6,
DiscountStrategyError.py,DiscountStrategyError.py,29,81,6,,,6,6,11,8,,,60.3,30
DocFileHandlerError.py,DocFileHandlerError.py,,84,,,,,,,,,,,
EightPuzzleFail.py,EightPuzzleFail.py,100,139,5,,,1,1,31,63,,,24.2,31
EmailClientError.py,EmailClientError.py,23,68,6,,,,,10,5,,,61.7,
EncryptionUtilsError.py,EncryptionUtilsError.py,37,61,4,,,2,2,11,15,,,32.7,10
ExcelProcessorError.py,ExcelProcessorError.py,33,73,4,,,2,2,8,6,,,50.7,7
ExpressionCalculatorUnknown.py,ExpressionCalculatorUnknown.py,,74,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,25,49,3,,,2,2,6,9,,,40.5,7
GomokuGameError.py,GomokuGameError.py,43,80,4,,,1,1,25,37,,,41.9,14
HotelSuccess.py,HotelSuccess.py,20,64,4,,,,,7,4,,,64.3,
HRManagementSystemFail.py,HRManagementSystemFail.py,33,76,6,,,,,10,8,,,51.5,
HtmlUtilError.py,HtmlUtilError.py,31,58,4,,,1,1,6,2,,,40.4,2
ImageProcessorError.py,ImageProcessorError.py,15,65,6,,,,,6,,,,73.7,
InterpolationError.py,InterpolationError.py,32,78,3,,,3,3,9,8,,,56.2,15
IPAddressFail.py,IPAddressFail.py,26,55,4,,,,,10,10,,,45.8,
IpUtilError.py,IpUtilError.py,21,44,3,,,3,3,4,5,,,46.2,15
JobMarketplaceError.py,JobMarketplaceError.py,,68,,,,,,,,,,,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,23,49,3,,,,,6,6,,,47.7,
