file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,29,83,5,,,1,1,11,7,,,57.4,5
AreaCalculatorError.py,AreaCalculatorError.py,14,67,6,,,,,6,,,,76.7,
ArgumentParserError.py,ArgumentParserError.py,9,72,5,,,,,5,,,,86.6,
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,11,71,6,,,,,6,,,,82.3,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,9,75,7,,,,,7,,,,86.8,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,5,35,3,,,,,3,,,,83.9,
AvgPartitionFail.py,AvgPartitionFail.py,6,33,3,,,1,1,3,,,,79.3,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,8,34,3,,,,,3,,,,74.2,
BankAccountSuccess.py,BankAccountSuccess.py,7,42,5,,,,,5,,,,81.1,
BigNumCalculatorFail.py,BigNumCalculatorFail.py,7,43,3,,,,,3,,,,82.5,
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,8,48,5,,,,,5,,,,81.4,
BitStatusUtilError.py,BitStatusUtilError.py,9,56,4,,,,,4,,,,82.7,
BlackjackGameError.py,BlackjackGameError.py,,81,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,27,81,7,,,,,8,1,,,63.0,
BookManagementFail.py,BookManagementFail.py,7,47,5,,,,,5,,,,83.3,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,7,45,4,,,3,3,4,,,,82.9,6
CalculatorError.py,CalculatorError.py,12,51,4,,,,,4,,,,73.3,
CalendarUtilError.py,CalendarUtilError.py,,26,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,11,94,8,1,,,1,8,,,,86.6,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,6,32,3,,,,,3,,,,79.3,
ChatFail.py,ChatFail.py,23,91,5,,,,,10,5,,,70.9,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,,66,,,,,,,,,,,
ClassroomError.py,ClassroomError.py,27,72,5,,,,,13,11,,,59.7,
CombinationCalculatorError.py,CombinationCalculatorError.py,20,82,6,,,3,3,9,3,,,72.2,6
ComplexCalculatorFail.py,ComplexCalculatorFail.py,11,60,5,,,1,1,5,,,,79.6,5
CookiesUtilError.py,CookiesUtilError.py,15,52,4,,,,,4,,,,68.8,
CSVProcessorError.py,CSVProcessorError.py,22,61,4,,,3,3,5,1,,,60.7,12
CurrencyConverterError.py,CurrencyConverterError.py,15,64,5,,,,,5,,,,73.2,
DatabaseProcessorFail.py,DatabaseProcessorFail.py,25,83,5,,,,,6,2,,,60.3,
DataStatistics2Error.py,DataStatistics2Error.py,23,80,7,,,,,8,1,,,68.1,
DataStatistics4Fail.py,DataStatistics4Fail.py,9,58,4,,,,,4,,,,80.9,
DataStatisticsPartialSuccess.py,DataStatisticsPartialSuccess.py,16,53,3,,,,,5,2,,,62.8,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,6,46,4,,,,,4,,,,85.7,
DiscountStrategyFail.py,DiscountStrategyFail.py,14,90,6,,,3,3,6,,,,82.5,15
DocFileHandlerError.py,DocFileHandlerError.py,63,105,6,,,3,3,11,15,,,35.1,15
EightPuzzleError.py,EightPuzzleError.py,8,55,5,,,,,5,,,,84.0,
EmailClientFail.py,EmailClientFail.py,10,85,6,,,,,6,,,,86.3,
EncryptionUtilsError.py,EncryptionUtilsError.py,6,45,4,,,,,4,,,,85.4,
ExcelProcessorError.py,ExcelProcessorError.py,31,67,4,,,3,3,7,3,,,50.0,12
ExpressionCalculatorError.py,ExpressionCalculatorError.py,59,144,7,,,,,15,16,,,51.2,
FitnessTrackerFail.py,FitnessTrackerFail.py,13,47,4,,,2,2,4,,,,69.8,7
GomokuGameFail.py,GomokuGameFail.py,8,58,4,,,,,4,,,,85.2,
HotelError.py,HotelError.py,9,87,5,,,,,5,,,,89.0,
HRManagementSystemFail.py,HRManagementSystemFail.py,,80,,,,,,,,,,,
HtmlUtilError.py,HtmlUtilError.py,,54,,,,,,,,,,,
ImageProcessorError.py,ImageProcessorError.py,18,66,6,,,,,10,4,,,70.0,
InterpolationError.py,InterpolationError.py,,37,,,,,,,,,,,
IPAddressFail.py,IPAddressFail.py,6,41,4,,,,,4,,,,82.4,
IpUtilError.py,IpUtilError.py,19,68,4,,,,,6,4,,,68.9,
JobMarketplaceError.py,JobMarketplaceError.py,10,87,7,,,,,7,,,,87.5,
JSONProcessorFail.py,JSONProcessorFail.py,8,52,3,,,,,4,1,,,83.0,
KappaCalculatorFail.py,KappaCalculatorFail.py,7,48,3,,,3,3,3,,,,84.4,6
LemmatizationError.py,LemmatizationError.py,35,79,4,1,,,1,8,6,,,49.3,
LongestWordSuccess.py,LongestWordSuccess.py,13,44,3,,,,,6,4,,,61.8,
MahjongConnectError.py,MahjongConnectError.py,,67,,,,,,,,,,,
ManacherError.py,ManacherError.py,5,34,3,,,,,3,,,,83.9,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,7,44,3,,,1,1,3,,,,80.6,5
MetricsCalculatorFail.py,MetricsCalculatorFail.py,11,73,6,,,,,6,,,,82.3,
MinesweeperGameError.py,MinesweeperGameError.py,,82,,,,,,,,,,,
MovieBookingSystemFail.py,MovieBookingSystemFail.py,33,87,4,,,,,12,15,,,59.3,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,27,75,5,,,,,5,,,,56.5,
MusicPlayerSuccess.py,MusicPlayerSuccess.py,13,106,9,,,,,9,,,,86.6,
NLPDataProcessor2PartialSuccess.py,NLPDataProcessor2PartialSuccess.py,15,43,3,,,,,4,1,,,61.5,
NLPDataProcessorError.py,NLPDataProcessorError.py,4,30,3,,,,,3,,,,85.7,
NumberConverterFail.py,NumberConverterFail.py,13,65,6,,,,,6,,,,77.6,
NumberWordFormatterError.py,NumberWordFormatterError.py,14,69,6,,,,,6,,,,76.7,
NumericEntityUnescaperFail.py,NumericEntityUnescaperFail.py,9,32,3,,,1,1,4,1,,,69.0,5
OrderFail.py,OrderFail.py,8,59,4,,,,,4,,,,84.9,
PageUtilPartialSuccess.py,PageUtilPartialSuccess.py,9,62,4,,,,,4,,,,83.9,
PDFHandlerError.py,PDFHandlerError.py,6,37,3,,,,,3,,,,79.3,
PersonRequestSuccess.py,PersonRequestSuccess.py,8,38,4,,,4,4,4,,,,75.0,11
PushBoxGameFail.py,PushBoxGameFail.py,13,75,4,,,,,4,,,,81.4,
RegexUtilsError.py,RegexUtilsError.py,,57,,,,,,,,,,,
RPGCharacterFail.py,RPGCharacterFail.py,13,72,6,,,,,6,,,,80.3,
ServerFail.py,ServerFail.py,10,64,6,,,,,6,,,,81.8,
ShoppingCartError.py,ShoppingCartError.py,7,58,5,,,,,5,,,,85.7,
SignInSystemFail.py,SignInSystemFail.py,8,71,6,,,,,6,,,,87.7,
SnakeError.py,SnakeError.py,,63,,,,,,,,,,,
SplitSentenceError.py,SplitSentenceError.py,,8,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,9,70,7,,,,,7,,,,85.5,
SQLQueryBuilderFail.py,SQLQueryBuilderFail.py,9,50,4,,,,,4,,,,80.0,
Statistics3Error.py,Statistics3Error.py,,142,,,,,,,,,,,
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,11,97,8,,,,,8,,,,87.6,
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,15,61,5,,,,,6,1,,,72.7,
TextFileProcessorError.py,TextFileProcessorError.py,27,74,5,,,,,7,1,,,60.3,
ThermostatFail.py,ThermostatFail.py,18,85,8,,,,,9,1,,,76.3,
TicTacToeFail.py,TicTacToeFail.py,7,43,4,,,1,1,4,,,,82.1,2
TimeUtilsFail.py,TimeUtilsFail.py,24,92,8,,,,,8,,,,70.7,
TriCalculatorError.py,TriCalculatorError.py,8,60,6,,,1,1,6,,,,83.3,5
TwentyFourPointGameFail.py,TwentyFourPointGameFail.py,17,60,5,,,,,7,2,,,66.0,
URLHandlerFail.py,URLHandlerFail.py,8,59,6,,,,,6,,,,83.7,
UrlPathFail.py,UrlPathFail.py,15,64,5,,,,,6,2,,,74.6,
UserLoginDBError.py,UserLoginDBError.py,23,80,6,,,,,7,1,,,68.5,
VectorUtilError.py,VectorUtilError.py,,56,,,,,,,,,,,
VendingMachineFail.py,VendingMachineFail.py,9,79,6,,,,,6,,,,87.7,
WarehouseSuccess.py,WarehouseSuccess.py,10,90,7,,,,,7,,,,88.2,
WeatherSystemFail.py,WeatherSystemFail.py,10,60,5,,,,,5,,,,81.8,
Words2NumbersError.py,Words2NumbersError.py,21,50,3,,,,,7,4,,,51.2,
XMLProcessorFail.py,XMLProcessorFail.py,32,86,5,,,,,8,8,,,60.0,
ZipFileProcessorSuccess.py,ZipFileProcessorSuccess.py,32,77,5,,,,,8,6,,,52.9,
