file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,19,67,5,,,1,1,9,6,,,68.3,5
AreaCalculatorFail.py,AreaCalculatorFail.py,14,69,6,,,,,6,,,,76.7,
ArgumentParserFail.py,ArgumentParserFail.py,25,92,5,,,,,10,11,,,69.9,
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,19,76,6,,,2,2,9,4,,,72.1,10
AssessmentSystemFail.py,AssessmentSystemFail.py,32,102,7,,,,,16,13,,,65.6,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,5,36,3,,,,,3,,,,83.9,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,13,41,3,,,1,1,3,,,,63.9,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,24,51,3,,,,,10,14,,,47.8,
BankAccountFail.py,BankAccountFail.py,18,62,5,,,,,8,3,,,63.3,
BigNumCalculatorFail.py,BigNumCalculatorFail.py,10,39,3,,,3,3,3,,,,69.7,15
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,18,61,5,,,,,6,,,,66.0,
BitStatusUtilFail.py,BitStatusUtilFail.py,14,63,4,,,3,3,10,6,,,75.4,16
BlackjackGameFail.py,BlackjackGameFail.py,24,66,3,,,,,7,7,,,57.1,
BookManagementDBFail.py,BookManagementDBFail.py,36,94,7,,,,,7,,,,56.1,
BookManagementFail.py,BookManagementFail.py,21,55,5,,,1,1,8,7,,,55.3,5
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,21,61,4,,,3,3,10,5,,,61.8,6
CalculatorFail.py,CalculatorFail.py,38,72,4,,,,,6,4,,,39.7,
CalendarUtilFail.py,CalendarUtilFail.py,,63,,,,,,,,,,,
CamelCaseMapFail.py,CamelCaseMapFail.py,12,100,7,,,1,1,7,,,,84.2,5
ChandrasekharSieveFail.py,ChandrasekharSieveFail.py,17,47,3,,,1,1,7,6,,,57.5,5
ChatFail.py,ChatFail.py,27,104,5,,,,,10,9,,,68.6,
ClassRegistrationSystemFail.py,ClassRegistrationSystemFail.py,17,77,6,,,,,8,2,,,75.0,
ClassroomFail.py,ClassroomFail.py,19,62,4,,,,,8,5,,,62.0,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,23,85,6,,,5,5,9,3,,,69.3,16
ComplexCalculatorFail.py,ComplexCalculatorFail.py,12,61,5,,,4,4,5,,,,76.9,20
CookiesUtilFail.py,CookiesUtilFail.py,21,66,4,,,,,4,1,,,61.1,
CSVProcessorFail.py,CSVProcessorFail.py,23,69,4,,,4,4,4,1,,,59.6,17
CurrencyConverterFail.py,CurrencyConverterFail.py,24,66,5,,,,,7,2,,,57.1,
DatabaseProcessorFail.py,DatabaseProcessorFail.py,,72,,,,,,,,,,,
DataStatistics2Fail.py,DataStatistics2Fail.py,23,83,7,,,,,7,,,,68.1,
DataStatistics4Fail.py,DataStatistics4Fail.py,19,69,4,,,4,4,4,,,,66.7,20
DataStatisticsFail.py,DataStatisticsFail.py,17,52,3,,,,,5,2,,,61.4,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,42,84,4,,,1,1,14,23,,,46.2,5
DiscountStrategyFail.py,DiscountStrategyFail.py,17,93,6,,,6,6,8,2,,,79.8,30
DocFileHandlerFail.py,DocFileHandlerFail.py,68,115,6,,,3,3,13,20,,,33.3,15
EightPuzzleFail.py,EightPuzzleFail.py,,96,,,,,,,,,,,
EmailClientFail.py,EmailClientFail.py,11,81,6,,,,,6,,,,84.9,
EncryptionUtilsFail.py,EncryptionUtilsFail.py,44,89,4,,,,,16,26,,,44.3,
ExcelProcessorFail.py,ExcelProcessorFail.py,27,67,4,,,3,3,7,4,,,53.4,12
ExpressionCalculatorFail.py,ExpressionCalculatorFail.py,37,122,7,,,3,3,13,14,,,63.7,15
FitnessTrackerSuccess.py,FitnessTrackerSuccess.py,46,87,4,,,4,4,9,13,,,39.5,11
GomokuGameFail.py,GomokuGameFail.py,25,50,4,,,,,13,7,,,40.5,
HotelSuccess.py,HotelSuccess.py,38,96,3,1,,1,2,11,25,,,57.8,6
HRManagementSystemFail.py,HRManagementSystemFail.py,19,88,6,,,,,9,3,,,76.3,
HtmlUtilFail.py,HtmlUtilFail.py,32,89,4,,,1,1,7,4,,,61.0,2
ImageProcessorFail.py,ImageProcessorFail.py,17,70,6,,,,,9,3,,,69.1,
InterpolationFail.py,InterpolationFail.py,28,59,3,,,3,3,19,38,,,48.1,25
IPAddressFail.py,IPAddressFail.py,8,47,4,,,,,4,,,,77.8,
IpUtilFail.py,IpUtilFail.py,20,58,3,,,3,3,3,3,,,61.5,15
JobMarketplaceFail.py,JobMarketplaceFail.py,,84,,,,,,,,,,,
JSONProcessorFail.py,JSONProcessorFail.py,27,72,3,,,,,6,5,,,57.8,
KappaCalculatorFail.py,KappaCalculatorFail.py,13,47,2,,,6,6,5,6,,,69.8,21
LemmatizationFail.py,LemmatizationFail.py,20,63,4,,,,,7,,,,63.0,
LongestWordFail.py,LongestWordFail.py,16,45,3,,,1,1,6,6,,,56.8,5
MahjongConnectFail.py,MahjongConnectFail.py,31,81,4,,,3,3,20,13,,,53.0,9
ManacherFail.py,ManacherFail.py,21,52,3,,,,,9,8,,,55.3,
MetricsCalculator2Fail.py,MetricsCalculator2Fail.py,19,54,3,,,2,2,5,6,,,60.4,10
MetricsCalculatorFail.py,MetricsCalculatorFail.py,25,75,6,,,3,3,22,8,,,61.5,15
MinesweeperGameFail.py,MinesweeperGameFail.py,26,80,5,,,2,2,10,9,,,62.9,10
MovieBookingSystemFail.py,MovieBookingSystemFail.py,33,66,4,,,,,11,14,,,43.1,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,28,83,5,,,,,5,,,,54.8,
MusicPlayerFail.py,MusicPlayerFail.py,,148,,,,,,,,,,,
NLPDataProcessor2Fail.py,NLPDataProcessor2Fail.py,12,41,3,,,,,3,,,,66.7,
NLPDataProcessorFail.py,NLPDataProcessorFail.py,4,34,3,1,,,1,3,,,,85.7,
NumberConverterFail.py,NumberConverterFail.py,13,67,6,,,6,6,6,,,,77.6,30
NumberWordFormatterFail.py,NumberWordFormatterFail.py,52,106,6,,,,,14,13,,,42.2,
NumericEntityUnescaperFail.py,NumericEntityUnescaperFail.py,7,32,3,,,2,2,4,1,,,74.1,10
OrderFail.py,OrderFail.py,11,50,3,,,,,4,1,,,75.0,
PageUtilFail.py,PageUtilFail.py,28,81,4,,,,,4,,,,62.7,
PDFHandlerFail.py,PDFHandlerFail.py,,44,,,,,,,,,,,
PersonRequestSuccess.py,PersonRequestSuccess.py,17,48,4,,,7,7,10,5,,,58.5,26
PushBoxGameFail.py,PushBoxGameFail.py,23,90,4,,,,,7,8,,,72.6,
RegexUtilsFail.py,RegexUtilsFail.py,,90,,,,,,,,,,,
RPGCharacterFail.py,RPGCharacterFail.py,,90,,,,,,,,,,,
ServerFail.py,ServerFail.py,30,85,6,,,,,10,9,,,60.0,
ShoppingCartFail.py,ShoppingCartFail.py,,58,,,,,,,,,,,
SignInSystemSuccess.py,SignInSystemSuccess.py,28,107,6,,,,,13,9,,,68.5,
SnakeFail.py,SnakeFail.py,,73,,,,,,,,,,,
SplitSentenceFail.py,SplitSentenceFail.py,,11,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,6,44,4,,,,,4,,,,82.9,
SQLQueryBuilderFail.py,SQLQueryBuilderFail.py,2,22,1,,,1,1,1,,,,84.6,5
Statistics3Fail.py,Statistics3Fail.py,41,109,6,,,6,6,12,9,,,58.6,30
StockPortfolioTrackerFail.py,StockPortfolioTrackerFail.py,29,97,6,,,,,15,12,,,67.0,
StudentDatabaseProcessorFail.py,StudentDatabaseProcessorFail.py,8,58,5,,,,,5,,,,84.0,
TextFileProcessorFail.py,TextFileProcessorFail.py,19,76,5,,,,,6,,,,68.3,
ThermostatFail.py,ThermostatFail.py,39,115,8,,,,,15,13,,,61.0,
TicTacToeFail.py,TicTacToeFail.py,31,48,4,,,1,1,15,17,,,16.2,2
TimeUtilsFail.py,TimeUtilsFail.py,23,101,8,,,,,8,,,,72.0,
TriCalculatorFail.py,TriCalculatorFail.py,31,80,6,,,2,2,9,3,,,56.3,10
TwentyFourPointGameFail.py,TwentyFourPointGameFail.py,19,61,5,,,1,1,6,2,,,63.5,5
URLHandlerFail.py,URLHandlerFail.py,8,60,6,,,,,6,,,,83.7,
UrlPathFail.py,UrlPathFail.py,17,63,4,,,1,1,6,2,,,66.0,5
UserLoginDBFail.py,UserLoginDBFail.py,,66,,,,,,,,,,,
VectorUtilFail.py,VectorUtilFail.py,10,60,4,,,4,4,4,,,,80.8,20
VendingMachineFail.py,VendingMachineFail.py,23,95,6,,,,,9,6,,,73.3,
WarehouseFail.py,WarehouseFail.py,,98,,,,,,,,,,,
WeatherSystemFail.py,WeatherSystemFail.py,,71,,,,,,,,,,,
Words2NumbersFail.py,Words2NumbersFail.py,26,56,3,,,,,9,7,,,45.8,
XMLProcessorFail.py,XMLProcessorFail.py,22,88,5,,,1,1,7,4,,,68.6,5
ZipFileProcessorFail.py,ZipFileProcessorFail.py,36,79,5,,,,,7,7,,,50.0,
