file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,9,66,5,,,1,1,5,,,,83.3,5
AreaCalculatorError.py,AreaCalculatorError.py,14,66,6,,,,,6,,,,76.3,
ArgumentParserError.py,ArgumentParserError.py,48,143,5,,,,,13,20,,,61.6,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,31,89,6,,,,,13,9,,,62.2,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,37,103,7,,,,,17,13,,,61.5,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,16,45,3,,,,,5,3,,,61.9,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,16,40,3,,,1,1,4,1,,,56.8,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,20,44,3,,,,,9,12,,,51.2,
BankAccountSuccess.py,BankAccountSuccess.py,24,59,5,,,1,1,10,5,,,55.6,6
BigNumCalculatorSuccess.py,BigNumCalculatorSuccess.py,10,43,3,,,,,3,,,,75.0,
BinaryDataProcessorSuccess.py,BinaryDataProcessorSuccess.py,21,61,5,,,,,7,2,,,62.5,
BitStatusUtilSuccess.py,BitStatusUtilSuccess.py,15,59,4,,,,,7,4,,,72.7,
BlackjackGameError.py,BlackjackGameError.py,47,93,4,,,,,15,21,,,47.2,
BookManagementDBError.py,BookManagementDBError.py,29,84,7,,,,,7,,,,61.3,
BookManagementFail.py,BookManagementFail.py,23,63,5,,,,,9,9,,,60.3,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,30,65,4,,,4,4,12,15,,,50.8,8
CalculatorError.py,CalculatorError.py,56,93,4,,,,,11,18,,,37.1,
CalendarUtilError.py,CalendarUtilError.py,,79,,,,,,,,,,,
CamelCaseMapSuccess.py,CamelCaseMapSuccess.py,19,98,8,,,,,8,,,,78.9,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,12,19,1,,,,,6,9,,,25.0,
ChatFail.py,ChatFail.py,29,91,5,,,,,10,9,,,65.9,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,40,77,6,,,1,1,17,26,,,42.9,6
ClassroomSuccess.py,ClassroomSuccess.py,28,74,5,,,,,12,9,,,58.8,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,34,90,6,,,4,4,10,6,,,59.0,11
ComplexCalculatorSuccess.py,ComplexCalculatorSuccess.py,15,64,5,,,1,1,5,,,,74.1,5
CookiesUtilError.py,CookiesUtilError.py,19,54,4,,,1,1,4,1,,,61.2,5
CSVProcessorSuccess.py,CSVProcessorSuccess.py,22,61,4,,,3,3,5,1,,,60.7,12
CurrencyConverterSuccess.py,CurrencyConverterSuccess.py,28,74,5,,,,,8,6,,,59.4,
DatabaseProcessorPartialSuccess.py,DatabaseProcessorPartialSuccess.py,33,82,5,,,,,6,1,,,53.5,
DataStatistics2Error.py,DataStatistics2Error.py,2,6,1,,,,,1,,,,66.7,
DataStatistics4Error.py,DataStatistics4Error.py,27,96,4,,,,,4,,,,64.5,
DataStatisticsSuccess.py,DataStatisticsSuccess.py,16,47,3,,,,,5,2,,,62.8,
DecryptionUtilsError.py,DecryptionUtilsError.py,45,82,4,,,,,17,24,,,42.3,
DiscountStrategyFail.py,DiscountStrategyFail.py,37,109,6,,,3,3,12,9,,,64.1,15
DocFileHandlerError.py,DocFileHandlerError.py,41,83,6,,,,,9,7,,,45.3,
EightPuzzleError.py,EightPuzzleError.py,57,110,6,,,,,21,28,,,45.7,
EmailClientError.py,EmailClientError.py,37,112,6,,,,,11,7,,,63.0,
EncryptionUtilsPartialSuccess.py,EncryptionUtilsPartialSuccess.py,42,78,4,,,,,16,24,,,43.2,
ExcelProcessorError.py,ExcelProcessorError.py,33,59,4,,,3,3,9,10,,,37.7,12
ExpressionCalculatorError.py,ExpressionCalculatorError.py,57,127,7,,,,,17,24,,,52.1,
FitnessTrackerSuccess.py,FitnessTrackerSuccess.py,41,76,4,,,2,2,9,15,,,42.3,7
GomokuGameFail.py,GomokuGameFail.py,29,79,4,,,,,15,16,,,61.8,
HotelSuccess.py,HotelSuccess.py,37,115,5,,,,,15,24,,,66.4,
HRManagementSystemFail.py,HRManagementSystemFail.py,28,101,6,,,,,10,8,,,70.5,
HtmlUtilFail.py,HtmlUtilFail.py,31,85,4,,,1,1,6,2,,,61.3,2
ImageProcessorError.py,ImageProcessorError.py,19,68,6,,,,,10,4,,,68.9,
InterpolationFail.py,InterpolationFail.py,65,95,3,,,8,8,17,36,,,29.3,24
IPAddressSuccess.py,IPAddressSuccess.py,28,63,4,,,,,12,13,,,50.0,
IpUtilError.py,IpUtilError.py,23,63,3,,,,,3,3,,,58.2,
JobMarketplaceError.py,JobMarketplaceError.py,24,101,7,,,,,11,6,,,74.5,
JSONProcessorSuccess.py,JSONProcessorSuccess.py,29,69,3,,,2,2,7,9,,,55.4,10
KappaCalculatorFail.py,KappaCalculatorFail.py,6,43,2,,,3,3,2,,,,83.8,6
LemmatizationError.py,LemmatizationError.py,25,83,4,,,,,6,,,,63.2,
LongestWordError.py,LongestWordError.py,15,45,3,,,,,6,4,,,63.4,
MahjongConnectError.py,MahjongConnectError.py,36,119,6,,,4,4,22,16,,,67.9,14
ManacherFail.py,ManacherFail.py,5,34,3,,,,,3,,,,83.3,
MetricsCalculator2Fail.py,MetricsCalculator2Fail.py,50,86,3,,,5,5,15,32,,,36.7,27
MetricsCalculatorFail.py,MetricsCalculatorFail.py,38,100,6,,,,,16,14,,,57.3,
MinesweeperGameError.py,MinesweeperGameError.py,36,88,5,,,1,1,14,19,,,56.1,5
MovieBookingSystemPartialSuccess.py,MovieBookingSystemPartialSuccess.py,30,83,4,,,,,11,15,,,61.5,
MovieTicketDBFail.py,MovieTicketDBFail.py,21,57,5,,,,,5,,,,58.0,
MusicPlayerFail.py,MusicPlayerFail.py,51,144,9,,,,,17,18,,,62.2,
NLPDataProcessor2PartialSuccess.py,NLPDataProcessor2PartialSuccess.py,19,47,3,,,,,5,2,,,55.8,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,15,42,3,,,,,5,1,,,61.5,
NumberConverterSuccess.py,NumberConverterSuccess.py,25,76,6,,,,,6,,,,64.3,
NumberWordFormatterFail.py,NumberWordFormatterFail.py,14,71,6,,,,,6,,,,78.1,
NumericEntityUnescaperSuccess.py,NumericEntityUnescaperSuccess.py,9,30,3,,,1,1,4,1,,,66.7,5
OrderFail.py,OrderFail.py,22,73,4,,,,,9,7,,,67.2,
PageUtilPartialSuccess.py,PageUtilPartialSuccess.py,35,84,4,,,,,5,,,,56.3,
PDFHandlerError.py,PDFHandlerError.py,21,48,3,,,,,6,4,,,52.3,
PersonRequestError.py,PersonRequestError.py,18,48,4,,,7,7,10,5,,,57.1,26
PushBoxGamePartialSuccess.py,PushBoxGamePartialSuccess.py,54,119,4,,,,,15,22,,,51.4,
RegexUtilsError.py,RegexUtilsError.py,0,1,0,,,,,0,,,,,
RPGCharacterFail.py,RPGCharacterFail.py,27,66,6,,,,,8,2,,,55.0,
ServerFail.py,ServerFail.py,29,86,6,,,,,10,9,,,60.8,
ShoppingCartSuccess.py,ShoppingCartSuccess.py,17,68,5,,,,,8,4,,,71.2,
SignInSystemSuccess.py,SignInSystemSuccess.py,31,94,6,,,,,13,12,,,64.8,
SnakeError.py,SnakeError.py,42,96,5,,,3,3,8,6,,,50.6,6
SplitSentenceFail.py,SplitSentenceFail.py,,10,,,,,,,,,,,
SQLGeneratorSuccess.py,SQLGeneratorSuccess.py,25,72,7,,,,,9,4,,,61.5,
SQLQueryBuilderSuccess.py,SQLQueryBuilderSuccess.py,38,79,4,,,3,3,11,10,,,48.6,20
Statistics3Error.py,Statistics3Error.py,57,132,7,,,,,13,9,,,54.0,
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,54,102,8,,,,,13,8,,,41.3,
StudentDatabaseProcessorFail.py,StudentDatabaseProcessorFail.py,31,77,5,,,,,5,,,,56.3,
TextFileProcessorError.py,TextFileProcessorError.py,22,69,5,,,,,6,,,,65.1,
ThermostatError.py,ThermostatError.py,38,105,8,,,,,14,11,,,60.4,
