file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,32,67,5,,,1,1,8,5,,,46.7,5
AreaCalculatorSuccess.py,AreaCalculatorSuccess.py,19,54,6,,,,,6,,,,61.2,
ArgumentParserError.py,ArgumentParserError.py,40,87,5,,,1,1,13,21,,,53.5,9
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,29,67,6,,,,,11,7,,,53.2,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,48,86,7,,,,,19,22,,,41.5,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,16,33,3,,,,,7,3,,,48.4,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,16,33,3,,,1,1,6,3,,,42.9,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,19,32,3,,,,,9,11,,,36.7,
BankAccountPartialSuccess.py,BankAccountPartialSuccess.py,25,49,5,,,,,8,7,,,46.8,
BigNumCalculatorSuccess.py,BigNumCalculatorSuccess.py,19,56,3,,,,,3,,,,61.2,
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,28,60,5,,,,,7,1,,,47.2,
BitStatusUtilSuccess.py,BitStatusUtilSuccess.py,25,59,4,,,,,15,13,,,56.1,
BlackjackGameFail.py,BlackjackGameFail.py,40,68,4,,,,,12,16,,,35.5,
BookManagementDBError.py,BookManagementDBError.py,46,82,7,,,,,7,3,,,41.0,
BookManagementPartialSuccess.py,BookManagementPartialSuccess.py,25,50,5,,,,,9,10,,,47.9,
BoyerMooreSearchSuccess.py,BoyerMooreSearchSuccess.py,30,61,4,,,3,3,14,17,,,44.4,6
CalculatorSuccess.py,CalculatorSuccess.py,48,70,4,,,,,15,20,,,28.4,
CalendarUtilError.py,CalendarUtilError.py,,85,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,29,65,8,,,,,10,4,,,52.5,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,13,28,3,,,,,6,3,,,50.0,
ChatFail.py,ChatFail.py,24,51,5,,,,,9,7,,,51.0,
ClassRegistrationSystemSuccess.py,ClassRegistrationSystemSuccess.py,37,76,6,,,,,16,19,,,47.9,
ClassroomPartialSuccess.py,ClassroomPartialSuccess.py,30,52,5,,,,,16,12,,,36.2,
CombinationCalculatorError.py,CombinationCalculatorError.py,34,96,7,,,8,8,12,6,,,61.8,31
ComplexCalculatorSuccess.py,ComplexCalculatorSuccess.py,18,58,5,,,1,1,6,2,,,66.7,5
CookiesUtilError.py,CookiesUtilError.py,20,41,4,,,,,4,1,,,48.7,
CSVProcessorSuccess.py,CSVProcessorSuccess.py,30,43,4,,,2,2,4,2,,,26.8,7
CurrencyConverterSuccess.py,CurrencyConverterSuccess.py,32,65,5,,,,,10,7,,,46.7,
DatabaseProcessorSuccess.py,DatabaseProcessorSuccess.py,44,93,5,,,,,7,3,,,44.3,
DataStatistics2Error.py,DataStatistics2Error.py,16,57,7,,,,,7,,,,68.0,
DataStatistics4Error.py,DataStatistics4Error.py,18,45,4,,,,,5,1,,,57.1,
DataStatisticsSuccess.py,DataStatisticsSuccess.py,22,44,3,,,,,6,4,,,48.8,
