file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,19,43,3,,,1,1,5,4,,,47.2,5
AreaCalculatorError.py,AreaCalculatorError.py,7,24,2,,,,,2,,,,61.1,
ArgumentParserError.py,ArgumentParserError.py,35,78,4,1,,1,2,12,20,,,50.7,9
ArrangementCalculatorError.py,ArrangementCalculatorError.py,16,57,5,,,2,2,7,3,,,66.7,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,16,44,3,,,,,6,5,,,51.5,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,3,11,1,,,,,1,,,,70.0,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,13,33,3,,,1,1,4,1,,,53.6,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,21,43,3,,,,,7,11,,,44.7,
BankAccountError.py,BankAccountError.py,17,43,4,,,,,7,3,,,54.1,
BigNumCalculatorError.py,BigNumCalculatorError.py,19,29,1,,,1,1,5,7,,,26.9,5
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,19,44,5,,,,,5,,,,48.6,
BitStatusUtilError.py,BitStatusUtilError.py,11,36,2,,,2,2,8,8,,,60.7,10
BlackjackGameError.py,BlackjackGameError.py,43,83,4,,,,,11,15,,,42.7,
BookManagementDBError.py,BookManagementDBError.py,16,43,3,,,,,3,,,,52.9,
BookManagementError.py,BookManagementError.py,16,38,3,,,,,6,7,,,51.5,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,31,59,4,,,3,3,13,14,,,41.5,6
CalculatorError.py,CalculatorError.py,28,49,3,,,,,4,5,,,36.4,
CalendarUtilError.py,CalendarUtilError.py,,52,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,9,33,3,,,,,3,,,,65.4,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,12,30,2,,,,,6,6,,,53.8,
ChatError.py,ChatError.py,22,51,4,,,,,8,7,,,51.1,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,11,26,2,,,,,3,2,,,50.0,
ClassroomError.py,ClassroomError.py,17,32,2,,,,,4,3,,,39.3,
CombinationCalculatorError.py,CombinationCalculatorError.py,16,49,5,,,2,2,6,1,,,61.9,10
ComplexCalculatorError.py,ComplexCalculatorError.py,10,46,4,,,3,3,4,,,,75.0,15
CookiesUtilError.py,CookiesUtilError.py,11,26,2,,,,,3,1,,,50.0,
CSVProcessorError.py,CSVProcessorError.py,23,41,3,,,4,4,3,1,,,32.4,17
CurrencyConverterError.py,CurrencyConverterError.py,22,53,4,,,,,6,2,,,51.1,
DatabaseProcessorError.py,DatabaseProcessorError.py,24,57,4,,,,,5,1,,,48.9,
DataStatistics2Error.py,DataStatistics2Error.py,8,30,3,,,,,3,,,,65.2,
DataStatistics4Error.py,DataStatistics4Error.py,10,27,1,,,2,2,1,,,,50.0,10
DataStatisticsError.py,DataStatisticsError.py,7,18,1,,,,,1,,,,53.3,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,47,81,4,1,,,1,14,26,,,37.3,
DiscountStrategyError.py,DiscountStrategyError.py,15,41,3,,,,,5,2,,,58.3,
DocFileHandlerError.py,DocFileHandlerError.py,31,68,5,,,,,8,4,,,48.3,
EightPuzzleError.py,EightPuzzleError.py,48,78,4,,,5,5,20,30,,,33.3,25
EmailClientError.py,EmailClientError.py,30,66,5,,,,,11,9,,,47.4,
EncryptionUtilsError.py,EncryptionUtilsError.py,31,54,3,,,,,10,20,,,36.7,
ExcelProcessorError.py,ExcelProcessorError.py,24,50,4,,,2,2,7,3,,,45.5,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,43,78,4,,,1,1,14,19,,,34.8,5
FitnessTrackerError.py,FitnessTrackerError.py,26,42,2,,,1,1,5,10,,,27.8,2
GomokuGameError.py,GomokuGameError.py,16,35,2,,,,,8,5,,,48.4,
HotelSuccess.py,HotelSuccess.py,38,72,4,,,,,14,12,,,42.4,
HRManagementSystemError.py,HRManagementSystemError.py,14,43,3,,,,,5,4,,,58.8,
HtmlUtilError.py,HtmlUtilError.py,18,33,2,,,1,1,2,,,,37.9,2
ImageProcessorError.py,ImageProcessorError.py,12,38,4,,,,,6,2,,,60.0,
InterpolationError.py,InterpolationError.py,12,26,2,,,1,1,4,3,,,45.5,5
IPAddressError.py,IPAddressError.py,18,39,3,,,,,9,9,,,45.5,
IpUtilError.py,IpUtilError.py,8,27,1,,,1,1,1,1,,,60.0,5
JobMarketplaceError.py,JobMarketplaceError.py,12,36,3,,,,,5,3,,,52.0,
JSONProcessorError.py,JSONProcessorError.py,13,25,1,,,,,2,2,,,40.9,
KappaCalculatorError.py,KappaCalculatorError.py,9,21,1,,,4,4,1,,,,50.0,14
LemmatizationError.py,LemmatizationError.py,19,49,3,,,,,3,,,,56.8,
LongestWordError.py,LongestWordError.py,7,21,2,,,,,2,,,,58.8,
MahjongConnectError.py,MahjongConnectError.py,33,104,5,,,2,2,18,15,,,65.3,4
ManacherFail.py,ManacherFail.py,34,67,3,,,,,8,9,,,44.3,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,22,43,2,,,1,1,5,8,,,40.5,5
MetricsCalculatorError.py,MetricsCalculatorError.py,20,44,3,,,,,8,9,,,47.4,
MinesweeperGameError.py,MinesweeperGameError.py,34,64,4,,,3,3,14,20,,,39.3,15
MovieBookingSystemPartialSuccess.py,MovieBookingSystemPartialSuccess.py,29,54,4,,,,,11,15,,,38.3,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,29,66,5,,,,,5,,,,50.0,
MusicPlayerSuccess.py,MusicPlayerSuccess.py,18,52,4,,,,,6,2,,,50.0,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,12,27,1,,,,,2,1,,,40.0,
NLPDataProcessorError.py,NLPDataProcessorError.py,9,23,1,,,,,4,6,,,50.0,
NumberConverterError.py,NumberConverterError.py,31,64,4,,,4,4,10,6,,,42.6,20
NumberWordFormatterError.py,NumberWordFormatterError.py,65,100,5,,,,,13,22,,,28.6,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,6,20,2,,,1,1,2,,,,62.5,5
OrderError.py,OrderError.py,23,51,3,,,,,8,13,,,48.9,
PageUtilError.py,PageUtilError.py,10,27,2,,,,,2,,,,56.5,
PDFHandlerError.py,PDFHandlerError.py,15,32,2,,,,,4,3,,,42.3,
PersonRequestError.py,PersonRequestError.py,13,38,3,,,4,4,6,3,,,59.4,14
PushBoxGamePartialSuccess.py,PushBoxGamePartialSuccess.py,58,108,4,,,1,1,21,33,,,43.1,12
RegexUtilsError.py,RegexUtilsError.py,11,54,4,,,,,4,,,,70.3,
RPGCharacterError.py,RPGCharacterError.py,19,47,3,,,,,6,4,,,52.5,
ServerError.py,ServerError.py,19,45,4,,,,,6,4,,,45.7,
ShoppingCartError.py,ShoppingCartError.py,11,36,3,,,,,4,2,,,60.7,
SignInSystemError.py,SignInSystemError.py,20,49,4,,,,,8,7,,,51.2,
SnakeError.py,SnakeError.py,30,62,3,,,3,3,8,7,,,44.4,6
SplitSentenceError.py,SplitSentenceError.py,,11,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,6,28,2,,,,,2,,,,66.7,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,9,22,1,,,1,1,3,3,,,52.6,5
Statistics3Error.py,Statistics3Error.py,8,21,1,,,1,1,2,2,,,55.6,5
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,21,58,5,,,,,7,3,,,53.3,
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,18,39,3,,,,,3,,,,47.1,
TextFileProcessorError.py,TextFileProcessorError.py,18,46,4,,,,,4,,,,52.6,
ThermostatError.py,ThermostatError.py,33,67,5,,,1,1,11,11,,,38.9,5
TicTacToeFail.py,TicTacToeFail.py,29,60,4,,,1,1,13,12,,,46.3,2
TimeUtilsError.py,TimeUtilsError.py,16,47,4,,,,,4,,,,54.3,
TriCalculatorError.py,TriCalculatorError.py,25,52,4,,,1,1,7,5,,,43.2,5
TwentyFourPointGamePartialSuccess.py,TwentyFourPointGamePartialSuccess.py,21,49,5,,,2,2,5,2,,,48.8,10
URLHandlerError.py,URLHandlerError.py,13,39,4,,,,,4,,,,58.1,
UrlPathError.py,UrlPathError.py,16,46,4,,,1,1,6,2,,,60.0,5
UserLoginDBFail.py,UserLoginDBFail.py,21,53,4,,,,,6,2,,,53.3,
VectorUtilError.py,VectorUtilError.py,18,52,4,,,4,4,6,2,,,60.0,20
VendingMachineFail.py,VendingMachineFail.py,37,78,6,,,,,11,11,,,47.1,
WarehouseError.py,WarehouseError.py,32,72,4,,,,,10,14,,,48.4,
WeatherSystemError.py,WeatherSystemError.py,18,43,3,,,,,5,4,,,47.1,
Words2NumbersError.py,Words2NumbersError.py,36,54,2,,,2,2,12,20,,,23.4,26
XMLProcessorError.py,XMLProcessorError.py,17,46,4,,,,,4,1,,,55.3,
ZipFileProcessorError.py,ZipFileProcessorError.py,32,62,4,,,1,1,6,5,,,40.7,5
