file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,7,23,2,,,1,1,2,,,,63.2,5
AccessGatewayFilterUnknown.py,AccessGatewayFilterUnknown.py,13,62,5,,,2,2,5,,,,75.0,10
AreaCalculatorFail.py,AreaCalculatorFail.py,7,24,2,,,,,2,,,,66.7,
AreaCalculatorUnknown.py,AreaCalculatorUnknown.py,19,75,6,,,,,6,,,,70.3,
ArgumentParserError.py,ArgumentParserError.py,17,46,2,1,,,1,4,5,97.8,1,60.5,
ArgumentParserUnknown.py,ArgumentParserUnknown.py,37,104,5,1,,,1,10,11,43.3,1,61.1,
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,6,26,2,,,,,2,,,,73.9,
ArrangementCalculatorUnknown.py,ArrangementCalculatorUnknown.py,10,69,6,,,2,2,6,,,,83.6,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,6,24,2,,,,,2,,,,71.4,
AssessmentSystemUnknown.py,AssessmentSystemUnknown.py,51,123,7,,,3,3,19,18,,,53.6,15
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,208,227,2,,,2,2,2,,99.6,1,7.1,6
AutomaticGuitarSimulatorUnknown.py,AutomaticGuitarSimulatorUnknown.py,209,239,3,,,2,2,3,,94.6,1,11.1,6
AvgPartitionFail.py,AvgPartitionFail.py,8,25,2,,,1,1,2,,,,63.6,5
AvgPartitionUnknown.py,AvgPartitionUnknown.py,13,41,3,,,2,2,3,,,,63.9,10
BalancedBracketsFail.py,BalancedBracketsFail.py,13,31,2,,,,,4,2,,,53.6,
BalancedBracketsUnknown.py,BalancedBracketsUnknown.py,30,58,3,,,,,7,7,,,43.4,
BankAccountSuccess.py,BankAccountSuccess.py,9,24,2,,,,,3,2,,,55.0,
BankAccountUnknown.py,BankAccountUnknown.py,28,71,5,,,1,1,8,8,,,51.7,6
BigNumCalculatorError.py,BigNumCalculatorError.py,9,24,1,,,2,2,4,5,,,59.1,10
BigNumCalculatorUnknown.py,BigNumCalculatorUnknown.py,21,58,3,,,4,4,10,11,,,61.1,20
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,9,26,2,,,,,2,,,,60.9,
BinaryDataProcessorUnknown.py,BinaryDataProcessorUnknown.py,248,292,5,,,,,5,,79.1,2,12.4,
BitStatusUtilError.py,BitStatusUtilError.py,7,22,1,,,1,1,3,2,,,65.0,5
BitStatusUtilUnknown.py,BitStatusUtilUnknown.py,25,73,4,,,5,5,14,11,,,63.2,26
BlackjackGameError.py,BlackjackGameError.py,14,37,2,,,,,4,3,97.3,1,58.8,
BlackjackGameUnknown.py,BlackjackGameUnknown.py,33,82,4,,,,,9,11,43.9,1,56.0,
BookManagementDBError.py,BookManagementDBError.py,18,34,2,,,,,2,,,,41.9,
BookManagementDBUnknown.py,BookManagementDBUnknown.py,50,109,7,,,,,7,,,,47.9,
BookManagementError.py,BookManagementError.py,9,23,2,,,,,3,2,,,55.0,
BookManagementUnknown.py,BookManagementUnknown.py,29,73,5,,,,,9,9,,,54.7,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,11,31,2,,,2,2,4,2,,,60.7,4
BoyerMooreSearchUnknown.py,BoyerMooreSearchUnknown.py,30,71,4,,,4,4,11,9,,,53.1,8
CalculatorFail.py,CalculatorFail.py,244,261,2,,,1,1,2,,99.6,1,5.4,1
CalculatorUnknown.py,CalculatorUnknown.py,246,286,4,,,1,1,4,,90.9,1,11.8,1
CalendarUtilError.py,CalendarUtilError.py,,23,,,,,,,,,,,
CalendarUtilUnknown.py,CalendarUtilUnknown.py,,103,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,9,27,2,,,,,3,2,,,62.5,
CamelCaseMapUnknown.py,CamelCaseMapUnknown.py,31,116,8,,,2,2,11,6,,,69.6,11
ChandrasekharSieveError.py,ChandrasekharSieveError.py,34,54,2,,,,,5,5,98.1,1,30.6,
ChandrasekharSieveUnknown.py,ChandrasekharSieveUnknown.py,39,69,3,,,,,7,6,76.8,1,37.1,
ChatFail.py,ChatFail.py,10,32,2,,,,,3,2,,,64.3,
ChatUnknown.py,ChatUnknown.py,28,97,5,,,,,10,9,,,66.7,
ClassRegistrationSystemFail.py,ClassRegistrationSystemFail.py,11,26,2,,,,,3,2,,,50.0,
ClassRegistrationSystemUnknown.py,ClassRegistrationSystemUnknown.py,33,100,6,,,,,11,10,,,61.2,
ClassroomError.py,ClassroomError.py,8,24,2,,,,,2,,,,61.9,
ClassroomUnknown.py,ClassroomUnknown.py,23,71,5,,,,,9,6,,,63.5,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,8,25,2,,,,,2,,,,63.6,
CombinationCalculatorUnknown.py,CombinationCalculatorUnknown.py,12,71,6,,,4,4,6,,,,81.3,11
ComplexCalculatorError.py,ComplexCalculatorError.py,5,21,2,,,1,1,2,,,,72.2,5
ComplexCalculatorUnknown.py,ComplexCalculatorUnknown.py,8,57,5,,,4,4,5,,,,84.3,20
CookiesUtilError.py,CookiesUtilError.py,10,29,2,,,,,2,,,,61.5,
CookiesUtilUnknown.py,CookiesUtilUnknown.py,20,59,4,,,,,4,,,,62.3,
CSVProcessorError.py,CSVProcessorError.py,13,27,2,,,1,1,3,1,,,45.8,5
CSVProcessorUnknown.py,CSVProcessorUnknown.py,25,66,4,,,3,3,6,2,,,57.6,12
CurrencyConverterError.py,CurrencyConverterError.py,15,34,2,,,1,1,2,,,,51.6,5
CurrencyConverterUnknown.py,CurrencyConverterUnknown.py,31,78,5,,,1,1,7,2,,,56.9,5
DatabaseProcessorError.py,DatabaseProcessorError.py,9,27,2,,,,,2,,,,60.9,
DatabaseProcessorUnknown.py,DatabaseProcessorUnknown.py,21,66,5,,,,,5,,,,64.4,
DataStatistics2Error.py,DataStatistics2Error.py,9,26,2,,,1,1,3,1,,,60.9,5
DataStatistics2Unknown.py,DataStatistics2Unknown.py,37,94,7,,,3,3,14,9,,,57.0,15
DataStatistics4Fail.py,DataStatistics4Fail.py,3,17,1,,,1,1,1,,,,80.0,5
DataStatistics4Unknown.py,DataStatistics4Unknown.py,6,49,4,,,4,4,4,,,,86.4,20
DataStatisticsFail.py,DataStatisticsFail.py,5,18,1,,,,,1,,,,68.8,
