file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,99,251,5,8,,109,117,7,7,21.9,2,59.3,5
AreaCalculatorError.py,AreaCalculatorError.py,14,67,6,,,,,6,,,,75.0,
ArgumentParserError.py,ArgumentParserError.py,31,95,5,,,,,12,14,,,64.0,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,25,84,6,2,,2,4,10,6,,,65.8,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,25,94,7,,,,,12,6,,,69.1,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,8,37,3,,,1,1,3,,,,75.0,
AvgPartitionFail.py,AvgPartitionFail.py,18,43,3,,,1,1,5,3,,,52.6,5
BalancedBracketsFail.py,BalancedBracketsFail.py,20,45,3,,,1,1,7,9,,,50.0,10
BankAccountPartialSuccess.py,BankAccountPartialSuccess.py,24,60,5,,,,,9,5,,,52.9,
BigNumCalculatorError.py,BigNumCalculatorError.py,7,43,3,,,3,3,3,,,,81.1,15
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,13,54,5,,,,,5,,,,71.1,
BitStatusUtilError.py,BitStatusUtilError.py,23,71,4,,,4,4,11,9,,,63.5,20
BlackjackGameError.py,BlackjackGameError.py,34,80,4,,,,,13,17,,,53.4,
BookManagementDBError.py,BookManagementDBError.py,33,89,7,,,,,7,,,,56.6,
BookManagementFail.py,BookManagementFail.py,23,64,5,,,,,9,9,,,58.2,
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,22,60,4,,,3,3,11,10,,,58.5,6
CalculatorError.py,CalculatorError.py,50,87,4,,,1,1,13,30,,,37.5,11
CalendarUtilError.py,CalendarUtilError.py,,104,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,18,101,8,,,1,1,9,1,,,79.1,5
ChandrasekharSieveError.py,ChandrasekharSieveError.py,12,37,3,,,,,5,3,,,62.5,
ChatFail.py,ChatFail.py,25,87,5,,,,,9,7,,,67.9,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,26,85,6,,,,,11,6,,,64.9,
ClassroomError.py,ClassroomError.py,22,68,5,,,,,11,8,,,62.7,
CombinationCalculatorError.py,CombinationCalculatorError.py,,84,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,12,61,5,,,4,4,5,,,,76.9,20
CookiesUtilError.py,CookiesUtilError.py,23,60,4,,,,,5,3,,,56.6,
CSVProcessorError.py,CSVProcessorError.py,28,66,4,,,2,2,6,2,,,52.5,7
CurrencyConverterFail.py,CurrencyConverterFail.py,31,78,5,,,,,9,6,,,55.1,
DatabaseProcessorFail.py,DatabaseProcessorFail.py,25,70,5,,,,,5,,,,58.3,
DataStatistics2Fail.py,DataStatistics2Fail.py,16,75,7,,,,,7,,,,74.2,
DataStatistics4Fail.py,DataStatistics4Fail.py,20,63,4,,,5,5,5,1,,,63.6,25
DataStatisticsFail.py,DataStatisticsFail.py,8,38,3,,,,,3,,,,75.0,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,9,50,4,,,1,1,4,,,,79.1,
DiscountStrategyFail.py,DiscountStrategyFail.py,32,106,6,,,6,6,13,11,,,66.3,30
DocFileHandlerError.py,DocFileHandlerError.py,35,77,6,,,,,8,5,,,47.0,
EightPuzzleError.py,EightPuzzleError.py,46,94,5,,,,,15,24,,,45.9,
EmailClientError.py,EmailClientError.py,26,97,6,,,,,11,7,,,69.8,
EncryptionUtilsFail.py,EncryptionUtilsFail.py,27,66,4,1,,,1,10,12,,,54.2,
ExcelProcessorError.py,ExcelProcessorError.py,28,67,4,,,2,2,5,2,,,53.3,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,269,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,36,70,4,,,4,4,11,14,,,42.9,9
GomokuGameFail.py,GomokuGameFail.py,31,81,4,,,,,27,20,,,58.1,
HotelSuccess.py,HotelSuccess.py,31,110,5,,,,,12,7,,,69.3,
HRManagementSystemError.py,HRManagementSystemError.py,,104,,,,,,,,,,,
HtmlUtilError.py,HtmlUtilError.py,107,159,4,,,1,1,5,1,,,30.1,2
ImageProcessorError.py,ImageProcessorError.py,18,68,6,,,,,9,3,,,68.4,
InterpolationError.py,InterpolationError.py,,40,,,,,,,,,,,
IPAddressFail.py,IPAddressFail.py,25,58,4,,,,,12,12,,,50.0,
IpUtilFail.py,IpUtilFail.py,23,58,3,,,4,4,3,3,,,55.8,20
JobMarketplaceError.py,JobMarketplaceError.py,28,108,7,,,,,13,9,,,70.5,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,31,70,3,,,,,6,8,,,51.6,
KappaCalculatorError.py,KappaCalculatorError.py,,260,,,,,,,,,,,
LemmatizationError.py,LemmatizationError.py,24,62,4,,,,,5,1,,,56.4,
LongestWordError.py,LongestWordError.py,,153,,,,,,,,,,,
MahjongConnectFail.py,MahjongConnectFail.py,32,115,6,,,3,3,21,12,,,69.2,9
ManacherError.py,ManacherError.py,33,61,3,,,,,9,18,,,41.1,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,12,43,3,,,2,2,4,2,,,68.4,10
MetricsCalculatorError.py,MetricsCalculatorError.py,60,120,6,,,2,2,23,26,,,44.4,10
MinesweeperGameError.py,MinesweeperGameError.py,37,89,5,,,3,3,16,17,,,53.8,15
MovieBookingSystemFail.py,MovieBookingSystemFail.py,17,69,4,,,,,7,7,,,72.6,
MovieTicketDBError.py,MovieTicketDBError.py,23,64,5,,,,,5,,,,57.4,
MusicPlayerFail.py,MusicPlayerFail.py,51,149,9,,,,,17,16,,,61.4,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,23,56,3,,,,,4,1,,,54.0,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,12,39,3,,,,,4,,,,63.6,
NumberConverterFail.py,NumberConverterFail.py,13,67,6,,,6,6,6,,,,76.4,30
NumberWordFormatterError.py,NumberWordFormatterError.py,,311,,,,,,,,,,,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,7,29,3,,,2,2,15,1,,,70.8,10
OrderError.py,OrderError.py,23,73,4,,,,,7,5,,,64.6,
PageUtilError.py,PageUtilError.py,34,87,4,,,,,8,5,,,56.4,
PDFHandlerError.py,PDFHandlerError.py,16,41,3,,,,,5,2,,,55.6,
PersonRequestPartialSuccess.py,PersonRequestPartialSuccess.py,11,40,4,,,4,4,4,,,,65.6,11
PushBoxGamePartialSuccess.py,PushBoxGamePartialSuccess.py,52,113,4,,,,,15,19,,,50.9,
RegexUtilsError.py,RegexUtilsError.py,39,141,10,,,,,15,10,,,67.8,
RPGCharacterError.py,RPGCharacterError.py,,169,,,,,,,,,,,
ServerFail.py,ServerFail.py,36,91,6,,,,,11,11,,,53.8,
ShoppingCartError.py,ShoppingCartError.py,,63,,,,,,,,,,,
SignInSystemFail.py,SignInSystemFail.py,24,89,6,,,,,11,7,,,69.2,
SnakeFail.py,SnakeFail.py,43,93,5,,,3,3,7,7,,,48.2,6
SplitSentenceFail.py,SplitSentenceFail.py,,7,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,19,82,7,,,,,9,2,,,72.5,
SQLQueryBuilderFail.py,SQLQueryBuilderFail.py,33,74,4,,,5,5,11,7,,,50.0,26
Statistics3Error.py,Statistics3Error.py,71,148,7,1,,56,57,8,1,,,47.4,280
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,36,126,8,,,,,12,6,,,67.6,
StudentDatabaseProcessorFail.py,StudentDatabaseProcessorFail.py,33,79,5,,,,,5,,,,52.9,
TextFileProcessorError.py,TextFileProcessorError.py,221,268,5,,,,,5,,74.3,2,14.7,
ThermostatFail.py,ThermostatFail.py,41,111,8,,,,,13,12,,,57.3,
TicTacToeFail.py,TicTacToeFail.py,31,70,4,,,1,1,16,18,,,50.8,2
TimeUtilsError.py,TimeUtilsError.py,22,92,8,,,,,8,,,,71.4,
TriCalculatorError.py,TriCalculatorError.py,24,72,6,,,1,1,8,6,,,60.7,5
TwentyFourPointGameFail.py,TwentyFourPointGameFail.py,18,58,5,,,1,1,7,3,,,62.5,5
URLHandlerFail.py,URLHandlerFail.py,27,76,6,,,,,10,9,,,58.5,
UrlPathFail.py,UrlPathFail.py,,327,,,,,,,,,,,
UserLoginDBFail.py,UserLoginDBFail.py,23,75,5,,,,,7,3,,,65.2,
VectorUtilError.py,VectorUtilError.py,17,64,4,,,4,4,5,1,,,69.6,20
VendingMachineError.py,VendingMachineError.py,34,106,6,,,,,11,12,,,64.2,
WarehouseError.py,WarehouseError.py,37,120,7,,,,,14,12,,,66.1,
WeatherSystemFail.py,WeatherSystemFail.py,23,74,5,,,,,6,2,,,64.6,
Words2NumbersError.py,Words2NumbersError.py,41,68,3,,,,,16,14,,,31.7,
XMLProcessorError.py,XMLProcessorError.py,27,81,5,,,1,1,6,2,,,62.5,5
ZipFileProcessorError.py,ZipFileProcessorError.py,37,79,5,,,,,6,5,,,47.1,
