file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,27,74,5,,,1,1,12,8,,,57.1,5
AreaCalculatorError.py,AreaCalculatorError.py,13,63,6,,,,,6,,,,76.4,
ArgumentParserError.py,ArgumentParserError.py,29,91,5,,,,,10,10,,,65.5,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,13,50,4,,,,,5,1,,,69.8,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,15,47,3,,,,,7,7,,,57.1,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,5,34,3,,,,,3,,,,83.3,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,14,38,3,,,1,1,3,,,,58.8,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,19,43,3,,,,,9,11,,,51.3,
BankAccountSuccess.py,BankAccountSuccess.py,20,54,5,,,,,8,3,,,58.3,
BigNumCalculatorError.py,BigNumCalculatorError.py,6,40,3,,,3,3,3,,,,83.3,15
BinaryDataProcessorError.py,BinaryDataProcessorError.py,18,56,5,,,,,6,,,,64.0,
BitStatusUtilError.py,BitStatusUtilError.py,7,43,3,,,3,3,6,4,,,81.1,15
BlackjackGameFail.py,BlackjackGameFail.py,43,89,4,,,,,12,16,,,47.6,
BookManagementDBError.py,BookManagementDBError.py,24,72,6,,,,,6,,,,60.0,
BookManagementFail.py,BookManagementFail.py,20,58,5,,,,,8,7,,,61.5,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,31,69,4,,,6,6,12,13,,,50.0,12
CalculatorError.py,CalculatorError.py,36,71,4,,,1,1,11,19,,,45.5,9
CalendarUtilError.py,CalendarUtilError.py,,58,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,15,95,8,1,,1,2,8,,,,82.6,5
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,16,42,3,,,,,7,6,,,55.6,
ChatError.py,ChatError.py,20,69,4,,,,,8,6,,,67.7,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,21,48,6,,,1,1,9,4,,,48.8,5
ClassroomError.py,ClassroomError.py,10,42,3,1,,,1,3,,,,70.6,
CombinationCalculatorError.py,CombinationCalculatorError.py,,73,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,11,57,5,,,4,4,5,,,,78.4,20
CookiesUtilError.py,CookiesUtilError.py,12,37,3,,,,,3,,,,63.6,
CSVProcessorFail.py,CSVProcessorFail.py,20,58,4,,,3,3,5,1,,,60.8,12
CurrencyConverterFail.py,CurrencyConverterFail.py,28,63,5,,,,,10,5,,,50.9,
DatabaseProcessorError.py,DatabaseProcessorError.py,24,61,4,,,,,6,2,,,52.9,
DataStatistics2Error.py,DataStatistics2Error.py,16,71,7,,,,,7,,,,74.2,
DataStatistics4Fail.py,DataStatistics4Fail.py,17,58,4,,,4,4,4,,,,67.3,20
DataStatisticsPartialSuccess.py,DataStatisticsPartialSuccess.py,17,46,3,,,,,5,2,,,58.5,
DecryptionUtilsError.py,DecryptionUtilsError.py,31,69,4,,,1,1,10,12,,,51.6,5
DiscountStrategyFail.py,DiscountStrategyFail.py,31,102,6,,,7,7,11,8,,,67.7,35
DocFileHandlerError.py,DocFileHandlerError.py,34,63,4,,,,,6,4,,,39.3,
EightPuzzleError.py,EightPuzzleError.py,59,92,5,,,1,1,21,32,,,25.3,8
EmailClientError.py,EmailClientError.py,34,101,6,,,,,11,6,,,63.8,
EncryptionUtilsError.py,EncryptionUtilsError.py,35,75,4,,,,,12,16,,,47.8,
ExcelProcessorError.py,ExcelProcessorError.py,20,40,3,,,2,2,7,7,,,39.4,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,34,87,4,1,,1,2,7,10,,,54.1,5
FitnessTrackerError.py,FitnessTrackerError.py,49,83,4,,,2,2,10,18,,,35.5,7
GomokuGameFail.py,GomokuGameFail.py,35,88,4,,,,,19,20,,,55.1,
HotelSuccess.py,HotelSuccess.py,30,91,4,,,2,2,10,18,,,64.3,11
HRManagementSystemError.py,HRManagementSystemError.py,24,84,6,,,,,8,4,,,68.8,
HtmlUtilError.py,HtmlUtilError.py,18,68,3,,,,,3,,,,71.0,
ImageProcessorError.py,ImageProcessorError.py,17,51,5,,,,,7,3,,,60.5,
InterpolationError.py,InterpolationError.py,18,38,3,,,3,3,7,4,,,43.8,15
IPAddressError.py,IPAddressError.py,17,48,4,,,,,6,3,,,59.5,
IpUtilError.py,IpUtilError.py,20,53,3,,,3,3,3,3,,,59.2,15
JobMarketplaceError.py,JobMarketplaceError.py,23,64,7,,,1,1,12,9,,,58.9,5
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,32,72,3,,,,,6,8,,,52.2,
KappaCalculatorError.py,KappaCalculatorError.py,7,38,2,,,5,5,2,,,,79.4,16
LemmatizationError.py,LemmatizationError.py,17,54,4,,,,,5,,,,64.6,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,16,38,3,,,1,1,6,6,,,52.9,5
MahjongConnectError.py,MahjongConnectError.py,35,116,6,,,2,2,22,17,,,67.3,4
ManacherError.py,ManacherError.py,24,52,3,,,,,9,8,,,48.9,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,18,36,2,,,1,1,6,10,,,41.9,5
MetricsCalculatorError.py,MetricsCalculatorError.py,17,65,6,1,,1,2,10,2,,,70.2,5
MinesweeperGameError.py,MinesweeperGameError.py,36,78,4,,,1,1,13,24,,,49.3,7
MovieBookingSystemPartialSuccess.py,MovieBookingSystemPartialSuccess.py,26,77,4,,,,,11,14,,,63.4,
MovieTicketDBError.py,MovieTicketDBError.py,18,54,4,,,,,4,,,,60.0,
MusicPlayerSuccess.py,MusicPlayerSuccess.py,30,97,6,,,,,11,8,,,63.4,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,12,30,3,,,,,3,,,,53.8,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,14,39,3,,,,,5,1,,,60.0,
NumberConverterFail.py,NumberConverterFail.py,14,56,6,,,6,6,6,,,,71.4,30
NumberWordFormatterError.py,NumberWordFormatterError.py,49,101,6,,,,,12,10,,,41.7,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,30,51,3,1,,3,4,12,27,,,36.2,26
OrderFail.py,OrderFail.py,12,60,4,,,,,5,1,,,77.8,
PageUtilError.py,PageUtilError.py,26,75,4,,,,,4,,,,62.9,
PDFHandlerError.py,PDFHandlerError.py,9,33,3,,,,,3,,,,69.0,
PersonRequestSuccess.py,PersonRequestSuccess.py,17,44,4,,,7,7,10,5,,,55.3,26
PushBoxGamePartialSuccess.py,PushBoxGamePartialSuccess.py,45,108,4,,,2,2,15,31,,,55.0,18
RegexUtilsError.py,RegexUtilsError.py,11,58,4,,,,,4,,,,73.2,
RPGCharacterError.py,RPGCharacterError.py,29,79,6,,,,,7,2,,,59.7,
ServerError.py,ServerError.py,,65,,,,,,,,,,,
ShoppingCartSuccess.py,ShoppingCartSuccess.py,,70,,,,,,,,,,,
SignInSystemError.py,SignInSystemError.py,26,95,6,,,,,12,8,,,69.8,
SnakeError.py,SnakeError.py,23,70,5,,,3,3,7,3,,,63.5,6
SplitSentenceError.py,SplitSentenceError.py,,7,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,9,29,2,,,,,3,1,,,55.0,
SQLQueryBuilderFail.py,SQLQueryBuilderFail.py,8,23,1,,,1,1,2,1,,,50.0,5
Statistics3Error.py,Statistics3Error.py,50,127,7,,,7,7,13,10,,,56.1,35
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,16,63,5,,,,,6,1,,,68.6,
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,18,56,5,,,,,5,,,,62.5,
TextFileProcessorError.py,TextFileProcessorError.py,19,63,5,,,,,6,,,,66.7,
ThermostatError.py,ThermostatError.py,39,100,7,,,,,13,12,,,56.7,
TicTacToeError.py,TicTacToeError.py,,72,,,,,,,,,,,
TimeUtilsError.py,TimeUtilsError.py,20,70,6,,,,,6,,,,63.6,
TriCalculatorError.py,TriCalculatorError.py,17,62,6,,,1,1,9,3,,,68.5,5
TwentyFourPointGameFail.py,TwentyFourPointGameFail.py,16,54,5,,,1,1,6,1,,,66.0,5
URLHandlerError.py,URLHandlerError.py,16,61,6,,,,,6,,,,70.4,
UrlPathError.py,UrlPathError.py,,38,,,,,,,,,,,
UserLoginDBFail.py,UserLoginDBFail.py,16,59,4,,,,,5,1,,,68.0,
VectorUtilError.py,VectorUtilError.py,13,39,2,,,2,2,3,1,,,59.4,10
VendingMachineError.py,VendingMachineError.py,21,77,5,,,,,8,4,,,69.6,
WarehouseError.py,WarehouseError.py,29,104,6,,,,,12,10,,,69.1,
WeatherSystemPartialSuccess.py,WeatherSystemPartialSuccess.py,24,72,5,,,,,8,7,,,63.6,
Words2NumbersError.py,Words2NumbersError.py,26,53,3,,,,,9,7,,,42.2,
XMLProcessorError.py,XMLProcessorError.py,18,61,4,,,,,6,2,,,66.0,
ZipFileProcessorError.py,ZipFileProcessorError.py,23,64,5,,,1,1,7,3,,,60.3,5
