file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,19,67,5,,,1,1,9,6,,,68.3,5
AreaCalculatorFail.py,AreaCalculatorFail.py,14,69,6,,,,,6,,,,76.7,
ArgumentParserError.py,ArgumentParserError.py,25,92,5,,,,,10,11,,,69.9,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,19,76,6,,,2,2,9,4,,,72.1,10
AssessmentSystemError.py,AssessmentSystemError.py,32,102,7,,,,,16,13,,,65.6,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,5,36,3,,,,,3,,,,83.9,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,13,41,3,,,1,1,3,,,,63.9,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,24,51,3,,,,,10,14,,,47.8,
BankAccountError.py,BankAccountError.py,18,62,5,,,,,8,3,,,63.3,
BigNumCalculatorError.py,BigNumCalculatorError.py,10,39,3,,,3,3,3,,,,69.7,15
BinaryDataProcessorError.py,BinaryDataProcessorError.py,18,61,5,,,,,6,,,,66.0,
BitStatusUtilFail.py,BitStatusUtilFail.py,14,63,4,,,3,3,10,6,,,75.4,16
BlackjackGameError.py,BlackjackGameError.py,24,66,3,,,,,7,7,,,57.1,
BookManagementDBError.py,BookManagementDBError.py,36,94,7,,,,,7,,,,56.1,
BookManagementFail.py,BookManagementFail.py,21,55,5,,,1,1,8,7,,,55.3,5
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,21,61,4,,,3,3,10,5,,,61.8,6
CalculatorPartialSuccess.py,CalculatorPartialSuccess.py,38,72,4,,,,,6,4,,,39.7,
CalendarUtilError.py,CalendarUtilError.py,,63,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,12,100,7,,,1,1,7,,,,84.2,5
ChandrasekharSieveError.py,ChandrasekharSieveError.py,17,47,3,,,1,1,7,6,,,57.5,5
ChatFail.py,ChatFail.py,27,104,5,,,,,10,9,,,68.6,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,17,77,6,,,,,8,2,,,75.0,
ClassroomError.py,ClassroomError.py,19,62,4,,,,,8,5,,,62.0,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,23,85,6,,,5,5,9,3,,,69.3,16
ComplexCalculatorError.py,ComplexCalculatorError.py,12,61,5,,,4,4,5,,,,76.9,20
CookiesUtilError.py,CookiesUtilError.py,21,66,4,,,,,4,1,,,61.1,
CSVProcessorFail.py,CSVProcessorFail.py,23,69,4,,,4,4,4,1,,,59.6,17
CurrencyConverterError.py,CurrencyConverterError.py,24,66,5,,,,,7,2,,,57.1,
DatabaseProcessorError.py,DatabaseProcessorError.py,,72,,,,,,,,,,,
DataStatistics2Fail.py,DataStatistics2Fail.py,23,83,7,,,,,7,,,,68.1,
DataStatistics4Error.py,DataStatistics4Error.py,19,69,4,,,4,4,4,,,,66.7,20
DataStatisticsPartialSuccess.py,DataStatisticsPartialSuccess.py,17,52,3,,,,,5,2,,,61.4,
DecryptionUtilsError.py,DecryptionUtilsError.py,42,84,4,,,1,1,14,23,,,46.2,5
DiscountStrategyError.py,DiscountStrategyError.py,17,93,6,,,6,6,8,2,,,79.8,30
DocFileHandlerError.py,DocFileHandlerError.py,68,115,6,,,3,3,13,20,,,33.3,15
EightPuzzleError.py,EightPuzzleError.py,,96,,,,,,,,,,,
EmailClientError.py,EmailClientError.py,11,81,6,,,,,6,,,,84.9,
EncryptionUtilsError.py,EncryptionUtilsError.py,44,89,4,,,,,16,26,,,44.3,
ExcelProcessorError.py,ExcelProcessorError.py,27,67,4,,,3,3,7,4,,,53.4,12
ExpressionCalculatorError.py,ExpressionCalculatorError.py,37,122,7,,,3,3,13,14,,,63.7,15
FitnessTrackerSuccess.py,FitnessTrackerSuccess.py,46,87,4,,,4,4,9,13,,,39.5,11
GomokuGameError.py,GomokuGameError.py,25,50,4,,,,,13,7,,,40.5,
HotelSuccess.py,HotelSuccess.py,38,96,3,1,,1,2,11,25,,,57.8,6
HRManagementSystemError.py,HRManagementSystemError.py,19,88,6,,,,,9,3,,,76.3,
HtmlUtilError.py,HtmlUtilError.py,32,89,4,,,1,1,7,4,,,61.0,2
ImageProcessorError.py,ImageProcessorError.py,17,70,6,,,,,9,3,,,69.1,
InterpolationPartialSuccess.py,InterpolationPartialSuccess.py,28,59,3,,,3,3,19,38,,,48.1,25
IPAddressError.py,IPAddressError.py,8,47,4,,,,,4,,,,77.8,
IpUtilError.py,IpUtilError.py,20,58,3,,,3,3,3,3,,,61.5,15
JobMarketplaceError.py,JobMarketplaceError.py,,84,,,,,,,,,,,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,27,72,3,,,,,6,5,,,57.8,
KappaCalculatorError.py,KappaCalculatorError.py,13,47,2,,,6,6,5,6,,,69.8,21
LemmatizationError.py,LemmatizationError.py,20,63,4,,,,,7,,,,63.0,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,16,45,3,,,1,1,6,6,,,56.8,5
MahjongConnectError.py,MahjongConnectError.py,31,81,4,,,3,3,20,13,,,53.0,9
ManacherFail.py,ManacherFail.py,21,52,3,,,,,9,8,,,55.3,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,19,54,3,,,2,2,5,6,,,60.4,10
MetricsCalculatorError.py,MetricsCalculatorError.py,25,75,6,,,3,3,22,8,,,61.5,15
MinesweeperGameError.py,MinesweeperGameError.py,26,80,5,,,2,2,10,9,,,62.9,10
MovieBookingSystemError.py,MovieBookingSystemError.py,33,66,4,,,,,11,14,,,43.1,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,28,83,5,,,,,5,,,,54.8,
MusicPlayerError.py,MusicPlayerError.py,,148,,,,,,,,,,,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,12,41,3,,,,,3,,,,66.7,
NLPDataProcessorError.py,NLPDataProcessorError.py,4,34,3,1,,,1,3,,,,85.7,
NumberConverterFail.py,NumberConverterFail.py,13,67,6,,,6,6,6,,,,77.6,30
NumberWordFormatterError.py,NumberWordFormatterError.py,52,106,6,,,,,14,13,,,42.2,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,7,32,3,,,2,2,4,1,,,74.1,10
OrderError.py,OrderError.py,11,50,3,,,,,4,1,,,75.0,
PageUtilError.py,PageUtilError.py,28,81,4,,,,,4,,,,62.7,
PDFHandlerError.py,PDFHandlerError.py,,44,,,,,,,,,,,
PersonRequestSuccess.py,PersonRequestSuccess.py,17,48,4,,,7,7,10,5,,,58.5,26
PushBoxGameError.py,PushBoxGameError.py,23,90,4,,,,,7,8,,,72.6,
RegexUtilsError.py,RegexUtilsError.py,,90,,,,,,,,,,,
RPGCharacterError.py,RPGCharacterError.py,,90,,,,,,,,,,,
ServerError.py,ServerError.py,30,85,6,,,,,10,9,,,60.0,
ShoppingCartError.py,ShoppingCartError.py,,58,,,,,,,,,,,
SignInSystemSuccess.py,SignInSystemSuccess.py,28,107,6,,,,,13,9,,,68.5,
SnakeError.py,SnakeError.py,,73,,,,,,,,,,,
SplitSentenceError.py,SplitSentenceError.py,,11,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,6,44,4,,,,,4,,,,82.9,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,2,22,1,,,1,1,1,,,,84.6,5
Statistics3Error.py,Statistics3Error.py,41,109,6,,,6,6,12,9,,,58.6,30
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,29,97,6,,,,,15,12,,,67.0,
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,8,58,5,,,,,5,,,,84.0,
TextFileProcessorFail.py,TextFileProcessorFail.py,19,76,5,,,,,6,,,,68.3,
ThermostatError.py,ThermostatError.py,39,115,8,,,,,15,13,,,61.0,
TicTacToeFail.py,TicTacToeFail.py,31,48,4,,,1,1,15,17,,,16.2,2
TimeUtilsError.py,TimeUtilsError.py,23,101,8,,,,,8,,,,72.0,
TriCalculatorFail.py,TriCalculatorFail.py,31,80,6,,,2,2,9,3,,,56.3,10
TwentyFourPointGamePartialSuccess.py,TwentyFourPointGamePartialSuccess.py,19,61,5,,,1,1,6,2,,,63.5,5
URLHandlerError.py,URLHandlerError.py,8,60,6,,,,,6,,,,83.7,
UrlPathError.py,UrlPathError.py,17,63,4,,,1,1,6,2,,,66.0,5
UserLoginDBError.py,UserLoginDBError.py,,66,,,,,,,,,,,
VectorUtilError.py,VectorUtilError.py,10,60,4,,,4,4,4,,,,80.8,20
VendingMachineError.py,VendingMachineError.py,23,95,6,,,,,9,6,,,73.3,
WarehouseError.py,WarehouseError.py,,98,,,,,,,,,,,
WeatherSystemError.py,WeatherSystemError.py,,71,,,,,,,,,,,
Words2NumbersError.py,Words2NumbersError.py,26,56,3,,,,,9,7,,,45.8,
XMLProcessorFail.py,XMLProcessorFail.py,22,88,5,,,1,1,7,4,,,68.6,5
ZipFileProcessorError.py,ZipFileProcessorError.py,36,79,5,,,,,7,7,,,50.0,
