file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,19,66,5,,,,,7,3,,,67.2,
AreaCalculatorFail.py,AreaCalculatorFail.py,14,67,6,,,,,6,,,,76.7,
ArgumentParserError.py,ArgumentParserError.py,13,61,5,2,,,2,7,3,,,76.8,
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,14,73,7,,,,,7,,,,78.5,
AssessmentSystemError.py,AssessmentSystemError.py,0,1,0,,,,,0,,,,,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,,51,,,,,,,,,,,
AvgPartitionError.py,AvgPartitionError.py,16,34,3,,,3,3,4,1,,,48.4,15
BalancedBracketsFail.py,BalancedBracketsFail.py,19,37,3,,,,,10,9,,,44.1,
BankAccountFail.py,BankAccountFail.py,23,58,5,,,,,8,5,,,56.6,
BigNumCalculatorError.py,BigNumCalculatorError.py,10,53,5,,,2,2,5,,,,79.6,10
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,8,48,5,,,,,5,,,,81.4,
BitStatusUtilError.py,BitStatusUtilError.py,0,1,0,,,,,0,,,,,
BlackjackGameError.py,BlackjackGameError.py,,62,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,29,76,8,,,6,6,11,3,,,56.7,30
BookManagementError.py,BookManagementError.py,16,47,5,,,,,8,3,,,61.9,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,,65,,,,,,,,,,,
CalculatorError.py,CalculatorError.py,24,63,4,,,,,5,5,,,57.9,
CalendarUtilPartialSuccess.py,CalendarUtilPartialSuccess.py,9,35,4,,,,,4,,,,70.0,
CamelCaseMapError.py,CamelCaseMapError.py,18,98,8,,,,,8,,,,79.1,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,15,35,3,,,,,5,3,,,50.0,
ChatError.py,ChatError.py,8,70,5,,,,,5,,,,87.5,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,,74,,,,,,,,,,,
ClassroomError.py,ClassroomError.py,24,54,5,,,,,13,12,,,51.0,
