file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,10,26,2,,,1,1,6,3,,,47.4,5
AreaCalculatorError.py,AreaCalculatorError.py,13,32,4,,,1,1,4,,,,48.0,15
ArgumentParserError.py,ArgumentParserError.py,33,89,5,1,,1,2,11,13,,,60.2,5
ArrangementCalculatorError.py,ArrangementCalculatorError.py,21,46,3,,,,,7,8,,,41.7,
AssessmentSystemError.py,AssessmentSystemError.py,,86,,,,,,,,,,,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,16,28,2,1,,1,2,3,2,,,36.0,16
AvgPartitionFail.py,AvgPartitionFail.py,14,28,3,,,1,1,3,,,,41.7,5
BalancedBracketsError.py,BalancedBracketsError.py,8,15,2,,,,,2,,,,33.3,
BankAccountFail.py,BankAccountFail.py,23,59,5,,,,,8,5,,,56.6,
BigNumCalculatorError.py,BigNumCalculatorError.py,5,30,2,,,2,2,2,,,,80.0,10
BinaryDataProcessorError.py,BinaryDataProcessorError.py,29,64,5,,,,,9,6,,,50.0,
BitStatusUtilError.py,BitStatusUtilError.py,25,87,4,,,8,8,11,10,,,69.1,58
BlackjackGameError.py,BlackjackGameError.py,,56,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,37,82,7,,,,,8,2,,,50.0,
BookManagementError.py,BookManagementError.py,13,31,3,,,,,8,6,,,51.9,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,,123,,,,,,,,,,,
CalculatorError.py,CalculatorError.py,,52,,,,,,,,,,,
CalendarUtilError.py,CalendarUtilError.py,,76,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,13,55,6,,,,,7,1,,,69.8,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,4,8,1,,,,,1,,,,50.0,
ChatFail.py,ChatFail.py,31,92,5,,,1,1,10,7,,,64.0,5
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,26,60,6,,,1,1,10,5,,,50.9,5
ClassroomError.py,ClassroomError.py,,48,,,,,,,,,,,
CombinationCalculatorError.py,CombinationCalculatorError.py,36,86,6,3,,5,8,14,10,,,53.2,16
ComplexCalculatorError.py,ComplexCalculatorError.py,,40,,,,,,,,,,,
CookiesUtilError.py,CookiesUtilError.py,21,42,4,,,,,6,2,,,43.2,
CSVProcessorError.py,CSVProcessorError.py,34,58,4,,,2,2,10,6,,,33.3,7
CurrencyConverterError.py,CurrencyConverterError.py,32,64,4,,,,,9,6,,,43.9,
DatabaseProcessorError.py,DatabaseProcessorError.py,18,55,5,,,,,6,2,,,62.5,
DataStatistics2Error.py,DataStatistics2Error.py,15,61,6,,,2,2,6,,,,70.0,10
DataStatistics4Error.py,DataStatistics4Error.py,,20,,,,,,,,,,,
DataStatisticsFail.py,DataStatisticsFail.py,12,37,3,,,,,5,2,,,63.6,
DecryptionUtilsError.py,DecryptionUtilsError.py,11,44,3,,,2,2,5,1,,,67.6,10
DiscountStrategyError.py,DiscountStrategyError.py,31,68,5,,,6,6,10,8,,,48.3,30
DocFileHandlerError.py,DocFileHandlerError.py,49,98,6,,,2,2,13,11,,,43.0,10
EightPuzzleError.py,EightPuzzleError.py,45,79,4,,,,,11,22,,,37.5,
EmailClientError.py,EmailClientError.py,38,82,6,,,,,12,9,,,49.3,
EncryptionUtilsError.py,EncryptionUtilsError.py,13,27,2,,,1,1,4,4,,,43.5,5
ExcelProcessorError.py,ExcelProcessorError.py,23,61,4,,,3,3,7,6,,,56.6,12
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,112,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,20,38,3,,,2,2,6,5,,,41.2,7
GomokuGameError.py,GomokuGameError.py,15,26,2,,,,,8,10,,,21.1,
HotelSuccess.py,HotelSuccess.py,50,114,5,,,1,1,18,39,,,52.4,18
HRManagementSystemError.py,HRManagementSystemError.py,,93,,,,,,,,,,,
HtmlUtilFail.py,HtmlUtilFail.py,38,82,4,1,,1,2,7,9,,,49.3,2
ImageProcessorError.py,ImageProcessorError.py,46,91,6,3,,,3,11,8,,,42.5,
InterpolationError.py,InterpolationError.py,,5,,,,,,,,,,,
IPAddressError.py,IPAddressError.py,15,39,4,,,1,1,7,5,,,54.5,5
IpUtilError.py,IpUtilError.py,18,43,2,1,,5,6,3,4,,,51.4,25
JobMarketplaceError.py,JobMarketplaceError.py,36,96,7,1,,,1,13,8,,,59.1,
JSONProcessorError.py,JSONProcessorError.py,26,51,3,,,,,5,7,,,44.7,
KappaCalculatorError.py,KappaCalculatorError.py,,20,,,,,,,,,,,
LemmatizationError.py,LemmatizationError.py,34,60,4,,,,,7,3,,,44.3,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,25,47,3,,,1,1,11,17,,,41.9,5
MahjongConnectError.py,MahjongConnectError.py,32,91,6,,,5,5,17,18,,,61.0,24
ManacherError.py,ManacherError.py,12,28,2,,,,,4,4,,,47.8,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,31,62,3,1,,2,3,9,15,,,44.6,10
MetricsCalculatorError.py,MetricsCalculatorError.py,42,90,5,,,1,1,14,10,,,46.2,5
MinesweeperGameError.py,MinesweeperGameError.py,41,89,5,,,6,6,19,20,,,48.1,30
MovieBookingSystemError.py,MovieBookingSystemError.py,17,47,3,,,,,7,6,,,58.5,
MovieTicketDBError.py,MovieTicketDBError.py,34,79,5,,,,,7,3,,,50.7,
MusicPlayerError.py,MusicPlayerError.py,,137,,,,,,,,,,,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,16,34,2,,,,,3,1,,,44.8,
NLPDataProcessorError.py,NLPDataProcessorError.py,15,27,3,,,,,7,3,,,34.8,
NumberConverterError.py,NumberConverterError.py,14,58,5,,,5,5,7,2,,,71.4,25
NumberWordFormatterError.py,NumberWordFormatterError.py,77,135,5,,,7,7,21,30,,,34.2,35
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,,17,,,,,,,,,,,
OrderError.py,OrderError.py,18,49,3,1,,,1,8,6,,,57.1,
PageUtilError.py,PageUtilError.py,43,70,4,,,,,9,7,,,31.7,
PDFHandlerError.py,PDFHandlerError.py,23,44,3,,,,,7,7,,,42.5,
PersonRequestPartialSuccess.py,PersonRequestPartialSuccess.py,20,47,4,,,8,8,10,7,,,51.2,31
PushBoxGameError.py,PushBoxGameError.py,34,80,3,,,2,2,9,13,,,54.1,4
RegexUtilsError.py,RegexUtilsError.py,28,89,6,3,,,3,9,5,,,62.2,
RPGCharacterError.py,RPGCharacterError.py,19,50,3,,,,,4,2,,,54.8,
ServerError.py,ServerError.py,33,84,6,,,2,2,13,9,,,56.0,40
ShoppingCartError.py,ShoppingCartError.py,12,48,4,,,,,5,2,,,71.4,
SignInSystemError.py,SignInSystemError.py,15,35,3,,,,,6,5,,,44.4,
SnakeError.py,SnakeError.py,41,92,5,,,5,5,8,6,,,51.2,26
SplitSentenceError.py,SplitSentenceError.py,,7,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,22,71,6,,,,,9,3,,,65.6,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,9,47,4,,,4,4,4,,,,77.5,20
Statistics3Error.py,Statistics3Error.py,,66,,,,,,,,,,,
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,40,95,7,1,,,1,13,12,,,52.9,
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,14,56,4,,,,,4,,,,71.4,
TextFileProcessorError.py,TextFileProcessorError.py,23,67,5,,,,,8,4,,,62.3,
ThermostatError.py,ThermostatError.py,30,63,6,,,,,10,8,,,46.4,
TicTacToeError.py,TicTacToeError.py,4,7,1,,,1,1,1,,,,42.9,2
TimeUtilsError.py,TimeUtilsError.py,,83,,,,,,,,,,,
TriCalculatorError.py,TriCalculatorError.py,11,30,3,,,1,1,3,,,,57.7,5
TwentyFourPointGameError.py,TwentyFourPointGameError.py,16,46,4,1,,,1,5,2,,,55.6,
URLHandlerError.py,URLHandlerError.py,18,52,5,,,5,5,8,5,,,59.1,22
UrlPathError.py,UrlPathError.py,13,35,3,,,,,5,2,,,55.2,
UserLoginDBFail.py,UserLoginDBFail.py,37,86,5,,,1,1,8,6,,,53.2,6
VectorUtilError.py,VectorUtilError.py,13,49,3,,,3,3,4,1,,,69.8,15
VendingMachineError.py,VendingMachineError.py,19,52,4,,,,,6,4,,,57.8,
WarehouseError.py,WarehouseError.py,41,116,7,,,,,14,11,,,63.4,
WeatherSystemError.py,WeatherSystemError.py,15,54,4,2,,,2,5,1,,,68.1,
Words2NumbersError.py,Words2NumbersError.py,24,41,2,,,,,7,6,,,31.4,
XMLProcessorError.py,XMLProcessorError.py,17,51,4,,,1,1,6,2,,,61.4,5
ZipFileProcessorError.py,ZipFileProcessorError.py,24,54,4,,,2,2,5,3,,,51.0,10
