file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,19,70,4,,,1,1,10,7,,,67.8,5
AreaCalculatorError.py,AreaCalculatorError.py,15,47,4,,,,,5,1,,,61.5,
ArgumentParserError.py,ArgumentParserError.py,28,80,5,,,,,9,7,,,61.6,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,10,34,2,,,,,3,1,,,54.5,
AssessmentSystemError.py,AssessmentSystemError.py,,65,,,,,,,,,,,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,,44,,,,,,,,,,,
AvgPartitionError.py,AvgPartitionError.py,15,39,3,,,2,2,3,,,,55.9,10
BalancedBracketsError.py,BalancedBracketsError.py,10,25,2,,,,,5,4,,,52.4,
BankAccountError.py,BankAccountError.py,17,45,4,,,,,7,3,93.3,1,56.4,
BankAccountFail.py,BankAccountFail.py,26,65,5,,,,,11,6,64.6,1,55.2,
BigNumCalculatorError.py,BigNumCalculatorError.py,7,41,3,,,9,9,3,,,,80.6,45
BinaryDataProcessorError.py,BinaryDataProcessorError.py,13,43,4,,,,,6,1,93.0,1,64.9,
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,15,49,5,,,,,7,1,81.6,1,64.3,
BitStatusUtilError.py,BitStatusUtilError.py,35,74,4,,,14,14,10,14,,,48.5,134
BlackjackGameError.py,BlackjackGameError.py,,61,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,36,84,7,,,1,1,8,1,,,51.4,5
BookManagementError.py,BookManagementError.py,13,35,3,,,,,6,5,,,56.7,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,4,13,1,,,2,2,1,,,,66.7,4
CalculatorError.py,CalculatorError.py,,51,,,,,,,,,,,
CalendarUtilError.py,CalendarUtilError.py,,87,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,,76,,,,,,,,,,,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,4,12,1,,,,,1,,,,63.6,
ChatError.py,ChatError.py,26,61,5,,,,,11,9,,,51.9,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,39,82,6,,,2,2,12,12,,,47.3,10
ClassroomError.py,ClassroomError.py,,66,,,,,,,,,,,
CombinationCalculatorError.py,CombinationCalculatorError.py,18,54,5,,,2,2,6,2,,,60.9,10
ComplexCalculatorError.py,ComplexCalculatorError.py,11,49,4,,,3,3,4,,,,72.5,15
CookiesUtilError.py,CookiesUtilError.py,19,48,4,,,,,6,2,,,54.8,
CSVProcessorError.py,CSVProcessorError.py,34,71,4,1,,2,3,9,8,,,47.7,7
CurrencyConverterError.py,CurrencyConverterError.py,22,47,4,,,,,5,1,97.9,1,46.3,
CurrencyConverterFail.py,CurrencyConverterFail.py,28,60,5,,,1,1,8,3,76.7,1,47.2,1
DatabaseProcessorError.py,DatabaseProcessorError.py,21,65,5,,,,,8,5,,,63.2,
DataStatistics2Error.py,DataStatistics2Error.py,10,43,4,,,,,4,,,,71.4,
