file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,26,63,5,,,1,1,9,8,,,51.9,5
AreaCalculatorFail.py,AreaCalculatorFail.py,17,68,6,,,,,6,,,,70.2,
ArgumentParserError.py,ArgumentParserError.py,39,98,5,,,,,12,17,,,55.7,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,,84,,,,,,,,,,,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,44,83,7,,,,,17,19,,,35.3,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,17,37,3,,,,,7,6,,,46.9,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,14,33,3,,,1,1,4,1,,,46.2,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,23,39,3,,,,,10,14,,,32.4,
BankAccountPartialSuccess.py,BankAccountPartialSuccess.py,24,44,5,,,,,9,5,,,31.4,
BigNumCalculatorError.py,BigNumCalculatorError.py,12,36,3,,,,,3,,,,60.0,
BinaryDataProcessorError.py,BinaryDataProcessorError.py,24,53,5,,,,,6,1,,,44.2,
BitStatusUtilError.py,BitStatusUtilError.py,20,57,4,,,,,11,9,,,58.3,
BlackjackGamePartialSuccess.py,BlackjackGamePartialSuccess.py,44,89,4,,,,,13,18,,,44.3,
BookManagementDBError.py,BookManagementDBError.py,34,78,7,,,,,7,,,,47.7,
BookManagementFail.py,BookManagementFail.py,24,56,5,,,,,9,9,,,48.9,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,31,71,4,,,3,3,12,15,,,45.6,6
CalculatorSuccess.py,CalculatorSuccess.py,46,64,4,,,,,11,14,,,14.8,
CalendarUtilError.py,CalendarUtilError.py,,73,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,25,60,8,,,,,8,,,,44.4,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,18,38,3,,,,,8,9,,,40.0,
ChatFail.py,ChatFail.py,28,62,5,,,,,10,9,,,47.2,
ClassRegistrationSystemSuccess.py,ClassRegistrationSystemSuccess.py,37,73,6,,,,,16,17,,,38.3,
ClassroomPartialSuccess.py,ClassroomPartialSuccess.py,25,51,5,,,,,14,11,,,40.5,
CombinationCalculatorError.py,CombinationCalculatorError.py,,84,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,20,53,5,,,1,1,5,,,,54.5,5
CookiesUtilError.py,CookiesUtilError.py,20,46,4,,,,,4,1,,,48.7,
CSVProcessorFail.py,CSVProcessorFail.py,20,41,3,,,1,1,3,1,,,44.4,5
CurrencyConverterFail.py,CurrencyConverterFail.py,33,70,5,,,,,10,7,,,44.1,
DatabaseProcessorSuccess.py,DatabaseProcessorSuccess.py,39,98,5,,,,,7,3,,,50.6,
DataStatistics2Error.py,DataStatistics2Error.py,16,75,7,,,,,7,,,,74.2,
DataStatistics4Fail.py,DataStatistics4Fail.py,34,71,4,,,,,5,1,,,44.3,
DataStatisticsSuccess.py,DataStatisticsSuccess.py,20,51,3,,,,,5,2,,,54.5,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,39,80,4,,,,,13,19,,,41.8,
DiscountStrategyFail.py,DiscountStrategyFail.py,43,89,6,,,4,4,12,10,,,46.9,20
DocFileHandlerError.py,DocFileHandlerError.py,59,101,6,,,,,10,11,,,35.9,
EightPuzzlePartialSuccess.py,EightPuzzlePartialSuccess.py,52,110,5,,,,,18,25,,,46.4,
EmailClientError.py,EmailClientError.py,40,74,6,,,,,12,8,,,35.5,
EncryptionUtilsFail.py,EncryptionUtilsFail.py,43,74,4,,,,,15,21,,,31.7,
ExcelProcessorError.py,ExcelProcessorError.py,30,74,4,,,2,2,7,4,,,50.8,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,54,107,6,,,,,14,19,,,41.9,
FitnessTrackerPartialSuccess.py,FitnessTrackerPartialSuccess.py,36,69,4,,,2,2,7,8,,,40.0,7
GomokuGameFail.py,GomokuGameFail.py,41,83,4,,,,,21,24,,,39.7,
HotelSuccess.py,HotelSuccess.py,35,60,5,,,,,13,16,,,32.7,
HRManagementSystemFail.py,HRManagementSystemFail.py,36,79,6,,,,,11,9,,,47.1,
HtmlUtilError.py,HtmlUtilError.py,27,37,3,,,,,4,1,,,10.0,
ImageProcessorError.py,ImageProcessorError.py,25,67,6,,,,,10,7,,,55.4,
InterpolationError.py,InterpolationError.py,49,74,3,,,2,2,21,39,,,24.6,21
IPAddressSuccess.py,IPAddressSuccess.py,23,47,4,,,,,11,9,,,41.0,
IpUtilError.py,IpUtilError.py,,53,,,,,,,,,,,
JobMarketplaceError.py,JobMarketplaceError.py,26,74,7,,,,,11,6,,,57.4,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,31,62,3,,,1,1,6,5,,,38.0,5
KappaCalculatorError.py,KappaCalculatorError.py,,55,,,,,,,,,,,
LemmatizationError.py,LemmatizationError.py,38,79,4,,,,,8,10,,,36.7,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,16,39,3,,,,,6,6,,,46.7,
MahjongConnectError.py,MahjongConnectError.py,41,89,6,,,2,2,22,16,,,46.8,4
ManacherFail.py,ManacherFail.py,18,36,3,,,,,8,5,,,37.9,
MetricsCalculator2Fail.py,MetricsCalculator2Fail.py,,69,,,,,,,,,,,
MetricsCalculatorPartialSuccess.py,MetricsCalculatorPartialSuccess.py,54,109,6,,,,,25,28,,,37.9,
MinesweeperGameError.py,MinesweeperGameError.py,40,75,5,,,2,2,18,24,,,33.3,11
MovieBookingSystemError.py,MovieBookingSystemError.py,32,55,4,,,,,11,15,,,33.3,
MovieTicketDBError.py,MovieTicketDBError.py,28,64,5,,,,,5,,,,48.1,
MusicPlayerFail.py,MusicPlayerFail.py,53,115,9,,,,,18,18,,,45.9,
NLPDataProcessor2PartialSuccess.py,NLPDataProcessor2PartialSuccess.py,16,29,2,,,,,3,1,,,27.3,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,19,44,3,,,,,7,2,,,50.0,
