file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,30,81,5,,,1,1,12,13,,,55.2,5
AreaCalculatorFail.py,AreaCalculatorFail.py,21,78,6,,,,,6,,,,68.2,
ArgumentParserError.py,ArgumentParserError.py,52,105,5,,,,,14,23,,,42.9,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,,89,,,,,,,,,,,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,43,96,7,,,,,19,20,,,46.3,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,14,38,3,,,,,5,2,,,56.3,
AvgPartitionPartialSuccess.py,AvgPartitionPartialSuccess.py,16,37,3,,,1,1,4,1,,,48.4,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,24,44,3,,,,,10,14,,,44.2,
BankAccountSuccess.py,BankAccountSuccess.py,24,53,5,,,1,1,10,5,,,44.2,6
BigNumCalculatorError.py,BigNumCalculatorError.py,,38,,,,,,,,,,,
BinaryDataProcessorError.py,BinaryDataProcessorError.py,30,65,5,,,,,6,1,,,42.3,
BitStatusUtilError.py,BitStatusUtilError.py,,55,,,,,,,,,,,
BlackjackGamePartialSuccess.py,BlackjackGamePartialSuccess.py,44,98,4,,,,,13,18,,,48.8,
BookManagementDBError.py,BookManagementDBError.py,31,78,7,,,,,7,,,,51.6,
BookManagementFail.py,BookManagementFail.py,23,59,5,,,,,9,9,,,53.1,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,29,55,4,,,4,4,11,14,,,38.3,8
CalculatorFail.py,CalculatorFail.py,40,71,4,,,,,7,9,,,31.0,
CalendarUtilError.py,CalendarUtilError.py,,78,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,22,78,8,,,,,8,,,,64.5,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,18,42,3,,,,,8,9,,,45.5,
ChatFail.py,ChatFail.py,35,73,5,,,,,12,13,,,44.4,
ClassRegistrationSystemSuccess.py,ClassRegistrationSystemSuccess.py,46,103,6,,,1,1,20,30,,,45.9,9
ClassroomSuccess.py,ClassroomSuccess.py,23,58,5,,,,,11,7,,,52.1,
CombinationCalculatorError.py,CombinationCalculatorError.py,,89,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,19,56,5,,,1,1,5,,,,58.7,5
CookiesUtilError.py,CookiesUtilError.py,21,52,4,,,,,4,1,,,52.3,
CSVProcessorSuccess.py,CSVProcessorSuccess.py,30,70,4,,,2,2,4,2,,,48.3,7
CurrencyConverterFail.py,CurrencyConverterFail.py,32,71,5,,,,,8,6,,,47.5,
DatabaseProcessorSuccess.py,DatabaseProcessorSuccess.py,39,85,5,,,,,7,3,,,47.3,
DataStatistics2Success.py,DataStatistics2Success.py,18,63,7,,,,,7,,,,63.3,
DataStatistics4Fail.py,DataStatistics4Fail.py,,78,,,,,,,,,,,
DataStatisticsError.py,DataStatisticsError.py,22,56,3,,,,,6,4,,,55.1,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,37,84,4,,,,,13,18,,,47.9,
DiscountStrategyError.py,DiscountStrategyError.py,44,96,6,,,3,3,13,10,,,45.0,15
DocFileHandlerError.py,DocFileHandlerError.py,56,102,6,,,3,3,10,14,,,34.1,15
EightPuzzleSuccess.py,EightPuzzleSuccess.py,49,117,5,,,,,17,22,,,46.2,
EmailClientError.py,EmailClientError.py,39,83,6,,,,,11,8,,,45.1,
EncryptionUtilsError.py,EncryptionUtilsError.py,36,74,4,,,,,14,18,,,42.9,
ExcelProcessorError.py,ExcelProcessorError.py,36,66,4,,,2,2,8,8,,,37.9,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,134,,,,,,,,,,,
FitnessTrackerSuccess.py,FitnessTrackerSuccess.py,43,72,4,,,3,3,8,12,,,29.5,9
GomokuGameSuccess.py,GomokuGameSuccess.py,54,101,4,,,1,1,20,51,,,36.5,26
HotelSuccess.py,HotelSuccess.py,38,68,5,,,,,14,16,,,34.5,
HRManagementSystemFail.py,HRManagementSystemFail.py,31,78,6,,,,,11,9,,,53.0,
HtmlUtilError.py,HtmlUtilError.py,,75,,,,,,,,,,,
ImageProcessorError.py,ImageProcessorError.py,27,79,6,,,1,1,10,8,,,59.7,8
InterpolationError.py,InterpolationError.py,,68,,,,,,,,,,,
IPAddressSuccess.py,IPAddressSuccess.py,23,51,4,,,,,11,9,,,45.2,
IpUtilError.py,IpUtilError.py,,61,,,,,,,,,,,
JobMarketplaceError.py,JobMarketplaceError.py,20,71,7,,,,,9,,,,64.9,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,28,67,3,,,2,2,7,7,,,51.7,10
KappaCalculatorError.py,KappaCalculatorError.py,,57,,,,,,,,,,,
LemmatizationError.py,LemmatizationError.py,33,68,4,,,,,6,7,,,41.1,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,16,43,3,,,,,6,6,,,51.5,
MahjongConnectError.py,MahjongConnectError.py,40,106,6,,,2,2,23,17,,,53.5,4
ManacherFail.py,ManacherFail.py,35,74,3,,,,,12,12,,,41.7,
MetricsCalculator2Fail.py,MetricsCalculator2Fail.py,,67,,,,,,,,,,,
MetricsCalculatorFail.py,MetricsCalculatorFail.py,41,90,6,,,,,15,16,,,46.8,
MinesweeperGameError.py,MinesweeperGameError.py,41,86,5,,,2,2,18,24,,,41.4,11
MovieBookingSystemFail.py,MovieBookingSystemFail.py,30,70,4,,,,,11,15,,,51.6,
MovieTicketDBFail.py,MovieTicketDBFail.py,24,64,5,,,,,5,,,,54.7,
MusicPlayerFail.py,MusicPlayerFail.py,53,151,9,,,,,17,14,,,58.9,
NLPDataProcessor2Success.py,NLPDataProcessor2Success.py,21,59,3,,,,,4,1,,,59.6,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,14,45,3,,,,,5,1,,,63.2,
NumberConverterSuccess.py,NumberConverterSuccess.py,,83,,,,,,,,,,,
NumberWordFormatterError.py,NumberWordFormatterError.py,52,104,6,,,,,14,13,,,38.1,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,8,32,3,,,1,1,4,1,,,69.2,5
OrderFail.py,OrderFail.py,25,46,4,,,,,9,10,,,32.4,
PageUtilFail.py,PageUtilFail.py,35,70,4,,,,,5,,,,39.7,
PDFHandlerError.py,PDFHandlerError.py,21,52,3,,,,,6,4,,,50.0,
PersonRequestSuccess.py,PersonRequestSuccess.py,17,49,4,,,7,7,10,5,,,58.5,26
PushBoxGameSuccess.py,PushBoxGameSuccess.py,64,105,4,,,1,1,15,29,,,31.9,8
RegexUtilsError.py,RegexUtilsError.py,20,112,8,,,,,8,,,,78.0,
RPGCharacterFail.py,RPGCharacterFail.py,33,76,6,,,,,9,4,,,50.0,
ServerFail.py,ServerFail.py,33,79,6,,,,,10,9,,,48.4,
ShoppingCartSuccess.py,ShoppingCartSuccess.py,19,57,5,,,,,8,4,,,58.7,
SignInSystemSuccess.py,SignInSystemSuccess.py,27,69,6,,,,,12,9,,,52.6,
SnakeFail.py,SnakeFail.py,38,95,5,,,3,3,8,6,,,53.1,6
SplitSentencePartialSuccess.py,SplitSentencePartialSuccess.py,,11,,,,,,,,,,,
SQLGeneratorSuccess.py,SQLGeneratorSuccess.py,40,132,7,,,1,1,9,3,,,59.6,6
