file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,27,56,5,,,,,8,5,,,46.0,
AreaCalculatorSuccess.py,AreaCalculatorSuccess.py,14,51,6,,,,,6,,,,68.9,
ArgumentParserFail.py,ArgumentParserFail.py,40,44,5,,,1,1,12,18,,,7.0,6
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,23,64,6,,,,,9,4,,,59.6,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,19,25,7,,,,,13,4,,,0.0,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,15,36,3,,,,,7,3,,,54.5,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,15,33,3,,,1,1,4,1,,,50.0,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,19,36,3,,,,,8,10,,,42.4,
BankAccountSuccess.py,BankAccountSuccess.py,20,50,5,,,,,8,3,,,55.6,
BigNumCalculatorSuccess.py,BigNumCalculatorSuccess.py,10,34,3,,,,,3,,,,67.7,
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,17,40,5,,,,,6,,,,51.4,
BitStatusUtilSuccess.py,BitStatusUtilSuccess.py,21,28,4,,,,,8,6,,,12.5,
BlackjackGameFail.py,BlackjackGameFail.py,40,43,4,,,,,12,16,,,0.0,
BookManagementDBError.py,BookManagementDBError.py,42,52,7,,,,,7,,,,6.7,
BookManagementPartialSuccess.py,BookManagementPartialSuccess.py,25,56,5,,,,,10,12,,,51.0,
BoyerMooreSearchPartialSuccess.py,BoyerMooreSearchPartialSuccess.py,24,31,4,,,5,5,10,10,,,11.1,10
CalculatorSuccess.py,CalculatorSuccess.py,40,68,4,,,,,14,16,,,35.5,
CalendarUtilPartialSuccess.py,CalendarUtilPartialSuccess.py,31,75,7,,,,,20,17,,,53.7,
CamelCaseMapSuccess.py,CamelCaseMapSuccess.py,19,65,8,,,,,8,,,,66.7,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,15,33,3,,,,,7,6,,,51.6,
ChatError.py,ChatError.py,28,62,5,,,,,10,9,,,50.0,
ClassRegistrationSystemFail.py,ClassRegistrationSystemFail.py,26,31,6,,,1,1,11,7,,,0.0,5
ClassroomFail.py,ClassroomFail.py,25,56,5,,,,,12,8,,,50.0,
CombinationCalculatorError.py,CombinationCalculatorError.py,19,51,5,,,,,6,1,,,57.8,
ComplexCalculatorSuccess.py,ComplexCalculatorSuccess.py,15,47,5,,,1,1,5,,,,64.3,5
CookiesUtilError.py,CookiesUtilError.py,23,47,4,,,,,4,2,,,45.2,
CSVProcessorSuccess.py,CSVProcessorSuccess.py,24,32,4,,,3,3,4,1,,,11.1,12
CurrencyConverterSuccess.py,CurrencyConverterSuccess.py,25,59,5,,,,,9,4,,,53.7,
DatabaseProcessorError.py,DatabaseProcessorError.py,19,43,5,,,,,7,2,,,50.0,
DataStatistics2Error.py,DataStatistics2Error.py,16,55,7,,,,,7,,,,66.0,
DataStatistics4Fail.py,DataStatistics4Fail.py,16,47,4,,,,,4,,,,61.9,
DataStatisticsSuccess.py,DataStatisticsSuccess.py,15,46,3,,,,,5,2,,,64.3,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,42,70,4,,,,,14,19,,,36.4,
DiscountStrategySuccess.py,DiscountStrategySuccess.py,31,40,6,,,3,3,11,7,,,8.8,15
DocFileHandlerError.py,DocFileHandlerError.py,34,74,6,,,,,9,7,,,50.0,
EightPuzzleError.py,EightPuzzleError.py,44,48,5,,,,,16,19,,,0.0,
EmailClientPartialSuccess.py,EmailClientPartialSuccess.py,28,34,6,,,,,11,8,,,0.0,
EncryptionUtilsPartialSuccess.py,EncryptionUtilsPartialSuccess.py,37,66,4,,,,,14,20,,,38.3,
ExcelProcessorError.py,ExcelProcessorError.py,31,56,4,,,2,2,7,4,,,39.2,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,55,62,7,,,,,16,23,,,0.0,
FitnessTrackerSuccess.py,FitnessTrackerSuccess.py,32,55,4,,,2,2,7,8,,,36.0,7
GomokuGameError.py,GomokuGameError.py,29,37,4,,,,,14,21,,,12.1,
HotelSuccess.py,HotelSuccess.py,42,46,5,,,,,15,27,,,0.0,
HRManagementSystemFail.py,HRManagementSystemFail.py,28,40,6,,,,,10,8,,,17.6,
HtmlUtilError.py,HtmlUtilError.py,22,47,4,,,,,5,1,,,48.8,
ImageProcessorError.py,ImageProcessorError.py,19,53,6,,,,,10,4,,,58.7,
InterpolationError.py,InterpolationError.py,12,35,3,,,1,1,3,,,,61.3,5
IPAddressSuccess.py,IPAddressSuccess.py,21,47,4,,,,,10,9,,,47.5,
IpUtilError.py,IpUtilError.py,29,52,3,,,,,3,6,,,42.0,
JobMarketplaceError.py,JobMarketplaceError.py,18,29,8,,,,,10,,,,14.3,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,31,47,3,,,,,7,7,,,27.9,
KappaCalculatorError.py,KappaCalculatorError.py,16,43,2,,,4,4,2,,,,60.0,8
LemmatizationError.py,LemmatizationError.py,25,29,5,,,,,6,5,,,0.0,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,17,40,3,,,,,7,5,,,48.5,
MahjongConnectError.py,MahjongConnectError.py,36,43,6,,,6,6,18,16,,,2.7,24
ManacherFail.py,ManacherFail.py,19,43,3,,,,,9,7,,,48.6,
MetricsCalculator2Fail.py,MetricsCalculator2Fail.py,26,33,3,,,2,2,10,13,,,10.3,10
MetricsCalculatorError.py,MetricsCalculatorError.py,28,67,6,,,,,10,12,,,50.0,
MinesweeperGameError.py,MinesweeperGameError.py,37,42,5,,,2,2,17,23,,,0.0,10
MovieBookingSystemSuccess.py,MovieBookingSystemSuccess.py,26,29,4,,,,,11,15,,,0.0,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,32,67,5,,,,,5,,,,47.5,
MusicPlayerSuccess.py,MusicPlayerSuccess.py,54,103,9,,,,,18,19,,,41.9,
NLPDataProcessor2Success.py,NLPDataProcessor2Success.py,18,40,3,,,,,5,2,,,50.0,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,8,29,3,,,,,4,,,,69.2,
NumberConverterSuccess.py,NumberConverterSuccess.py,19,70,6,,,,,6,,,,70.3,
NumberWordFormatterFail.py,NumberWordFormatterFail.py,29,66,6,,,,,9,6,,,51.7,
NumericEntityUnescaperSuccess.py,NumericEntityUnescaperSuccess.py,10,27,3,,,1,1,3,,,,56.5,5
OrderSuccess.py,OrderSuccess.py,25,28,4,,,1,1,9,9,,,3.8,5
PageUtilPartialSuccess.py,PageUtilPartialSuccess.py,33,60,4,,,,,5,,,,41.1,
PDFHandlerError.py,PDFHandlerError.py,23,44,3,,,,,7,6,,,42.5,
PersonRequestSuccess.py,PersonRequestSuccess.py,17,47,4,,,7,7,10,5,,,58.5,26
PushBoxGameError.py,PushBoxGameError.py,37,42,3,,,,,13,20,,,0.0,
RegexUtilsSuccess.py,RegexUtilsSuccess.py,25,39,10,,,,,10,,,,10.7,
RPGCharacterSuccess.py,RPGCharacterSuccess.py,32,37,6,,,,,10,4,,,0.0,
ServerPartialSuccess.py,ServerPartialSuccess.py,32,69,6,,,,,10,9,,,49.2,
ShoppingCartSuccess.py,ShoppingCartSuccess.py,21,57,5,,,,,9,7,,,56.3,
SignInSystemSuccess.py,SignInSystemSuccess.py,21,57,6,,,,,9,4,,,58.8,
SnakeError.py,SnakeError.py,37,41,5,,,3,3,11,10,,,0.0,6
SplitSentenceFail.py,SplitSentenceFail.py,,10,,,,,,,,,,,
SQLGeneratorSuccess.py,SQLGeneratorSuccess.py,31,37,7,,,,,9,3,,,0.0,
SQLQueryBuilderSuccess.py,SQLQueryBuilderSuccess.py,26,33,4,,,2,2,7,3,,,10.3,12
Statistics3Fail.py,Statistics3Fail.py,34,45,7,,,,,8,,,,8.1,
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,40,47,8,,,1,1,16,14,,,0.0,5
StudentDatabaseProcessorSuccess.py,StudentDatabaseProcessorSuccess.py,44,76,5,,,,,5,,,,37.1,
TextFileProcessorError.py,TextFileProcessorError.py,23,53,5,,,,,5,,,,51.1,
ThermostatError.py,ThermostatError.py,40,52,8,,,,,16,13,,,7.0,
TicTacToeSuccess.py,TicTacToeSuccess.py,27,30,4,,,1,1,13,14,,,0.0,2
TimeUtilsFail.py,TimeUtilsFail.py,22,29,8,,,,,8,,,,0.0,
TriCalculatorFail.py,TriCalculatorFail.py,29,65,6,,,3,3,9,4,,,51.7,15
TwentyFourPointGamePartialSuccess.py,TwentyFourPointGamePartialSuccess.py,15,45,5,,,1,1,5,1,,,57.1,5
URLHandlerFail.py,URLHandlerFail.py,14,47,6,,,,,6,,,,65.0,
UrlPathFail.py,UrlPathFail.py,14,39,4,,,,,4,,,,58.8,
UserLoginDBError.py,UserLoginDBError.py,19,57,6,,,,,6,,,,62.7,
VectorUtilSuccess.py,VectorUtilSuccess.py,20,28,4,,,,,4,,,,13.0,
VendingMachinePartialSuccess.py,VendingMachinePartialSuccess.py,27,32,6,,,,,11,7,,,0.0,
WarehouseSuccess.py,WarehouseSuccess.py,33,39,7,,,,,14,12,,,5.7,
WeatherSystemPartialSuccess.py,WeatherSystemPartialSuccess.py,19,49,5,,,,,6,1,,,56.8,
Words2NumbersError.py,Words2NumbersError.py,35,58,3,,,1,1,12,12,,,31.4,20
XMLProcessorFail.py,XMLProcessorFail.py,23,57,5,,,,,6,2,,,54.0,
ZipFileProcessorSuccess.py,ZipFileProcessorSuccess.py,35,69,5,,,,,6,5,,,44.4,
