file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,29,64,5,,,1,1,9,8,,,49.1,5
AreaCalculatorSuccess.py,AreaCalculatorSuccess.py,14,45,6,,,,,6,,,,66.7,
ArgumentParserError.py,ArgumentParserError.py,41,93,5,,,,,11,15,,,55.9,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,31,63,6,,,,,13,9,,,46.6,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,45,81,7,,,,,19,20,,,43.0,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,16,35,3,,,,,8,4,,,48.4,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,20,34,3,,,1,1,5,4,,,37.5,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,20,34,3,,,,,9,11,,,35.5,
BankAccountSuccess.py,BankAccountSuccess.py,28,54,5,,,1,1,8,8,,,46.2,6
BigNumCalculatorError.py,BigNumCalculatorError.py,9,39,3,,,,,3,,,,76.3,
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,23,46,5,,,,,6,,,,39.5,
BitStatusUtilError.py,BitStatusUtilError.py,25,65,4,,,1,1,14,13,,,60.3,6
BlackjackGamePartialSuccess.py,BlackjackGamePartialSuccess.py,43,82,4,1,,1,2,12,19,,,43.4,6
BookManagementDBError.py,BookManagementDBError.py,50,84,7,,,,,7,,,,36.7,
BookManagementSuccess.py,BookManagementSuccess.py,25,50,5,,,,,10,12,,,47.9,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,26,49,4,,,6,6,11,13,,,44.7,12
CalculatorFail.py,CalculatorFail.py,41,70,4,,,,,8,11,,,38.8,
CalendarUtilError.py,CalendarUtilError.py,,88,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,24,65,8,,,,,9,1,,,60.7,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,14,29,3,,,,,7,6,,,48.1,
ChatFail.py,ChatFail.py,32,60,5,,,,,11,11,,,43.9,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,38,67,6,,,,,15,13,,,41.5,
ClassroomPartialSuccess.py,ClassroomPartialSuccess.py,28,49,5,,,,,14,10,,,37.8,
CombinationCalculatorError.py,CombinationCalculatorError.py,44,141,11,,,6,6,15,4,,,65.4,21
ComplexCalculatorError.py,ComplexCalculatorError.py,12,51,5,,,4,4,5,,,,75.0,20
CookiesUtilError.py,CookiesUtilError.py,21,39,4,,,,,4,1,,,43.2,
CSVProcessorSuccess.py,CSVProcessorSuccess.py,30,51,4,,,2,2,4,2,,,38.8,7
CurrencyConverterSuccess.py,CurrencyConverterSuccess.py,33,68,5,,,,,11,8,,,45.9,
DatabaseProcessorError.py,DatabaseProcessorError.py,43,85,5,,,,,7,3,,,41.1,
DataStatistics2Error.py,DataStatistics2Error.py,16,49,7,,,,,7,,,,63.6,
DataStatistics4Error.py,DataStatistics4Error.py,22,57,4,,,,,4,,,,58.5,
DataStatisticsError.py,DataStatisticsError.py,16,41,3,,,,,5,2,,,60.0,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,48,75,4,,,2,2,17,28,,,30.4,10
DiscountStrategySuccess.py,DiscountStrategySuccess.py,32,84,6,,,4,4,11,8,,,59.5,20
DocFileHandlerError.py,DocFileHandlerError.py,,98,,,,,,,,,,,
EightPuzzleError.py,EightPuzzleError.py,50,84,5,,,1,1,21,30,,,32.4,5
EmailClientPartialSuccess.py,EmailClientPartialSuccess.py,33,71,6,,,,,10,6,,,51.5,
EncryptionUtilsFail.py,EncryptionUtilsFail.py,38,63,4,,,,,12,15,,,35.6,
ExcelProcessorError.py,ExcelProcessorError.py,30,55,4,,,2,2,8,6,,,40.0,7
