file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilter.py,AccessGatewayFilter.py,36,104,5,,,3,3,11,9,,,61.7,15
AreaCalculator.py,AreaCalculator.py,14,86,6,,,,,6,,,,81.3,
ArgumentParser.py,ArgumentParser.py,36,118,5,,,,,12,16,,,66.7,
ArrangementCalculator.py,ArrangementCalculator.py,34,119,6,,,,,13,8,,,68.5,
AssessmentSystem.py,AssessmentSystem.py,40,127,7,,,,,20,21,,,65.8,
AutomaticGuitarSimulator.py,AutomaticGuitarSimulator.py,24,68,3,,,,,8,14,,,60.7,
AvgPartition.py,AvgPartition.py,15,52,3,,,1,1,4,1,,,68.8,5
BalancedBrackets.py,BalancedBrackets.py,27,64,3,,,6,6,14,27,,,55.7,35
BankAccount.py,BankAccount.py,20,68,5,,,,,8,3,,,67.7,
BigNumCalculator.py,BigNumCalculator.py,62,123,3,,,1,1,16,20,,,41.0,10
BinaryDataProcessor.py,BinaryDataProcessor.py,31,91,5,,,,,7,2,,,60.8,
BitStatusUtil.py,BitStatusUtil.py,22,85,4,,,,,8,6,,,71.8,
BlackjackGame.py,BlackjackGame.py,48,110,4,,,2,2,14,21,,,53.8,12
BookManagement.py,BookManagement.py,20,76,5,1,,,1,10,6,,,70.1,
BookManagementDB.py,BookManagementDB.py,43,121,7,,,,,7,,,,61.3,
BoyerMooreSearch.py,BoyerMooreSearch.py,24,73,4,,,3,3,10,10,,,65.2,6
Calculator.py,Calculator.py,61,126,4,1,,1,2,18,28,,,46.0,16
CalendarUtil.py,CalendarUtil.py,39,136,7,,,,,18,16,,,68.8,
CamelCaseMap.py,CamelCaseMap.py,21,128,8,,,,,9,1,,,81.9,
ChandrasekharSieve.py,ChandrasekharSieve.py,22,66,3,,,,,9,10,,,60.0,
Chat.py,Chat.py,33,110,5,,,,,10,7,,,68.0,
ClassRegistrationSystem.py,ClassRegistrationSystem.py,35,110,6,,,,,14,13,,,65.3,
Classroom.py,Classroom.py,30,98,5,,,,,14,12,,,65.1,
CombinationCalculator.py,CombinationCalculator.py,33,114,6,,,5,5,14,8,,,68.3,10
ComplexCalculator.py,ComplexCalculator.py,25,91,5,,,1,1,5,,,,70.6,5
CookiesUtil.py,CookiesUtil.py,24,77,5,,,1,1,5,2,,,66.2,5
CSVProcessor.py,CSVProcessor.py,26,81,4,,,3,3,5,2,,,64.4,12
CurrencyConverter.py,CurrencyConverter.py,30,104,5,,,,,10,5,,,68.1,
DatabaseProcessor.py,DatabaseProcessor.py,37,114,5,,,,,7,3,,,61.1,
DataStatistics.py,DataStatistics.py,18,60,3,,,,,5,2,,,66.7,
DataStatistics2.py,DataStatistics2.py,16,96,7,,,,,7,,,,80.7,
DataStatistics4.py,DataStatistics4.py,33,103,4,,,,,7,3,,,62.1,
DecryptionUtils.py,DecryptionUtils.py,54,110,4,,,,,19,29,,,46.0,
DiscountStrategy.py,DiscountStrategy.py,28,129,6,,,3,3,11,7,,,76.5,15
DocFileHandler.py,DocFileHandler.py,51,115,6,,,3,3,9,7,,,51.0,15
EightPuzzle.py,EightPuzzle.py,46,115,5,,,,,17,22,,,54.5,
EmailClient.py,EmailClient.py,46,134,6,,,,,15,11,,,63.8,
EncryptionUtils.py,EncryptionUtils.py,44,98,4,,,,,16,25,,,50.6,
ExcelProcessor.py,ExcelProcessor.py,41,98,4,,,4,4,10,10,,,53.9,17
ExpressionCalculator.py,ExpressionCalculator.py,92,203,7,,,1,1,31,51,,,48.9,14
FitnessTracker.py,FitnessTracker.py,36,92,4,,,3,3,8,10,,,59.6,9
GomokuGame.py,GomokuGame.py,33,99,4,,,,,15,24,,,64.1,
Hotel.py,Hotel.py,35,139,5,,,,,12,14,,,73.3,
HRManagementSystem.py,HRManagementSystem.py,46,134,6,,,,,16,21,,,64.1,
HtmlUtil.py,HtmlUtil.py,64,151,4,,,1,1,19,26,,,53.3,12
ImageProcessor.py,ImageProcessor.py,19,86,6,,,,,10,4,,,75.3,
Interpolation.py,Interpolation.py,33,74,3,,,1,1,11,21,,,52.9,5
IPAddress.py,IPAddress.py,24,71,4,,,,,12,11,,,63.1,
IpUtil.py,IpUtil.py,23,82,3,,,,,3,3,,,68.5,
JobMarketplace.py,JobMarketplace.py,32,131,8,,,,,15,10,,,74.0,
JSONProcessor.py,JSONProcessor.py,29,81,3,,,2,2,7,7,,,61.3,10
KappaCalculator.py,KappaCalculator.py,36,82,2,,,10,10,6,5,,,52.6,26
Lemmatization.py,Lemmatization.py,36,97,4,,,,,7,7,,,60.0,
LongestWord.py,LongestWord.py,16,55,3,,,,,6,4,,,66.7,
MahjongConnect.py,MahjongConnect.py,50,171,6,,,3,3,23,24,,,67.1,10
Manacher.py,Manacher.py,24,69,3,,,,,11,9,,,58.6,
MetricsCalculator.py,MetricsCalculator.py,39,120,6,1,,,1,16,14,,,65.2,
MetricsCalculator2.py,MetricsCalculator2.py,82,147,3,,,13,13,27,62,,,34.9,103
MinesweeperGame.py,MinesweeperGame.py,57,130,5,,,7,7,52,76,,,52.9,85
MovieBookingSystem.py,MovieBookingSystem.py,32,103,4,,,,,11,15,,,66.0,
MovieTicketDB.py,MovieTicketDB.py,34,96,5,,,,,5,,,,60.5,
MusicPlayer.py,MusicPlayer.py,55,170,9,,,,,20,22,,,65.8,
NLPDataProcessor.py,NLPDataProcessor.py,17,55,3,,,,,6,6,,,65.3,
NLPDataProcessor2.py,NLPDataProcessor2.py,21,66,3,,,,,5,2,,,64.4,
NumberConverter.py,NumberConverter.py,25,99,6,,,,,6,,,,72.5,
NumberWordFormatter.py,NumberWordFormatter.py,53,137,6,,,1,1,14,18,,,57.3,5
NumericEntityUnescaper.py,NumericEntityUnescaper.py,34,81,3,,,3,3,15,28,,,48.5,27
Order.py,Order.py,26,96,4,,,,,9,9,,,70.5,
PageUtil.py,PageUtil.py,39,115,4,,,,,9,4,,,62.1,
PDFHandler.py,PDFHandler.py,21,68,3,,,,,7,6,,,64.4,
PersonRequest.py,PersonRequest.py,21,68,4,,,9,9,10,6,,,65.0,36
PushBoxGame.py,PushBoxGame.py,53,139,4,,,,,14,23,,,58.6,
RegexUtils.py,RegexUtils.py,32,156,10,,,,,11,2,,,77.5,
RPGCharacter.py,RPGCharacter.py,34,115,6,,,,,10,6,,,67.9,
Server.py,Server.py,38,112,6,,,,,16,13,,,63.1,
ShoppingCart.py,ShoppingCart.py,17,85,5,1,,1,2,7,4,,,77.6,5
SignInSystem.py,SignInSystem.py,34,113,6,,,,,13,14,,,67.6,
Snake.py,Snake.py,38,116,5,,,3,3,10,7,,,63.8,6
SplitSentence.py,SplitSentence.py,17,60,3,,,1,1,5,3,,,67.3,5
SQLGenerator.py,SQLGenerator.py,30,109,7,,,,,9,3,,,70.0,
SQLQueryBuilder.py,SQLQueryBuilder.py,27,83,4,,,2,2,8,4,,,64.9,12
Statistics3.py,Statistics3.py,60,159,7,,,,,17,11,,,60.3,
StockPortfolioTracker.py,StockPortfolioTracker.py,44,151,8,,,,,18,15,,,68.8,
StudentDatabaseProcessor.py,StudentDatabaseProcessor.py,45,119,5,,,,,5,,,,54.5,
