file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,19,66,5,,,2,2,7,5,,,65.5,10
AreaCalculatorFail.py,AreaCalculatorFail.py,14,69,6,,,,,6,,,,75.0,
ArgumentParserError.py,ArgumentParserError.py,124,188,5,,,3,3,45,48,,,30.7,30
ArrangementCalculatorError.py,ArrangementCalculatorError.py,19,78,6,,,4,4,8,2,,,71.6,20
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,18,87,7,,,,,8,2,,,75.7,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,12,1656,3,,,1,1,5,3,,,65.7,5
AvgPartitionFail.py,AvgPartitionFail.py,16,43,3,,,1,1,5,3,,,55.6,5
BalancedBracketsError.py,BalancedBracketsError.py,,135,,,,,,,,,,,
BankAccountFail.py,BankAccountFail.py,19,59,5,,,,,8,3,,,58.7,
BigNumCalculatorError.py,BigNumCalculatorError.py,7,45,3,,,3,3,3,,,,81.1,15
BinaryDataProcessorError.py,BinaryDataProcessorError.py,12,55,5,,,,,5,,,,72.7,
BitStatusUtilError.py,BitStatusUtilError.py,25,73,4,,,6,6,12,8,,,61.5,30
BlackjackGameFail.py,BlackjackGameFail.py,31,77,4,,,1,1,8,11,,,55.7,5
BookManagementDBError.py,BookManagementDBError.py,27,83,7,,,,,8,1,,,61.4,
BookManagementError.py,BookManagementError.py,70,111,5,,,,,8,3,44.1,2,31.4,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,,242,,,,,,,,,,,
CalculatorError.py,CalculatorError.py,32,73,4,,,,,11,8,,,48.4,
CalendarUtilError.py,CalendarUtilError.py,,96,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,21,104,8,,,1,1,9,2,,,76.4,5
ChandrasekharSieveFail.py,ChandrasekharSieveFail.py,11,38,3,,,,,4,1,,,64.5,
ChatError.py,ChatError.py,25,87,5,,,1,1,10,5,,,67.9,5
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,18,77,6,,,,,7,1,,,72.7,
ClassroomError.py,ClassroomError.py,25,71,5,,,1,1,7,5,,,59.7,5
CombinationCalculatorError.py,CombinationCalculatorError.py,,107,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,12,61,5,,,4,4,5,,,,76.9,20
CookiesUtilError.py,CookiesUtilError.py,27,64,4,,,,,9,7,,,52.6,
CSVProcessorError.py,CSVProcessorError.py,10,48,4,,,2,2,4,,,,75.6,7
CurrencyConverterError.py,CurrencyConverterError.py,19,68,5,,,1,1,5,,,,66.7,5
DatabaseProcessorFail.py,DatabaseProcessorFail.py,13,59,5,,,,,5,,,,72.9,
DataStatistics2Fail.py,DataStatistics2Fail.py,16,75,7,,,,,7,,,,74.2,
DataStatistics4Fail.py,DataStatistics4Fail.py,10,53,4,,,4,4,4,,,,77.8,20
DataStatisticsFail.py,DataStatisticsFail.py,8,39,3,,,,,3,,,,75.0,
DecryptionUtilsError.py,DecryptionUtilsError.py,9,49,4,1,,,1,4,,,,78.6,
DiscountStrategyError.py,DiscountStrategyError.py,22,96,6,,,6,6,8,2,,,74.1,30
DocFileHandlerError.py,DocFileHandlerError.py,21,63,6,,,,,7,3,,,59.6,
EightPuzzleError.py,EightPuzzleError.py,37,87,5,,,1,1,13,20,,,51.3,1
EmailClientError.py,EmailClientError.py,24,95,6,,,,,8,3,,,71.4,
EncryptionUtilsError.py,EncryptionUtilsError.py,21,140,10,13,,,13,10,,,,83.6,
ExcelProcessorError.py,ExcelProcessorError.py,10,45,4,,,2,2,4,,,,73.7,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,299,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,100,1660,4,,,3,3,45,42,4.6,2,21.3,37
GomokuGameFail.py,GomokuGameFail.py,27,77,4,,,,,9,11,,,61.4,
HotelSuccess.py,HotelSuccess.py,37,116,5,,,1,1,14,13,,,65.4,5
HRManagementSystemError.py,HRManagementSystemError.py,,89,,,,,,,,,,,
HtmlUtilFail.py,HtmlUtilFail.py,40,93,4,,,1,1,4,,,,53.5,2
ImageProcessorError.py,ImageProcessorError.py,14,66,6,,,,,6,,,,73.6,
InterpolationError.py,InterpolationError.py,,114,,,,,,,,,,,
IPAddressFail.py,IPAddressFail.py,9,42,4,,,,,4,,,,73.5,
IpUtilPartialSuccess.py,IpUtilPartialSuccess.py,16,53,3,,,5,5,3,2,,,64.4,25
JobMarketplaceError.py,JobMarketplaceError.py,16,96,7,,,,,7,,,,80.7,
JSONProcessorError.py,JSONProcessorError.py,22,65,3,,,,,4,2,,,60.0,
KappaCalculatorError.py,KappaCalculatorError.py,29,62,2,,,6,6,12,10,,,48.2,21
LemmatizationError.py,LemmatizationError.py,117,155,4,1,,,1,6,3,,,20.9,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,18,43,3,,,1,1,7,5,,,50.0,2
MahjongConnectFail.py,MahjongConnectFail.py,20,103,6,,,6,6,8,3,,,78.3,24
ManacherFail.py,ManacherFail.py,104,131,3,,,1,1,52,49,,,18.1,39
MetricsCalculator2Error.py,MetricsCalculator2Error.py,19,50,3,,,2,2,5,6,,,57.8,10
MetricsCalculatorError.py,MetricsCalculatorError.py,30,93,6,,,5,5,6,,,,61.5,25
MinesweeperGameError.py,MinesweeperGameError.py,,140,,,,,,,,,,,
MovieBookingSystemFail.py,MovieBookingSystemFail.py,11,63,4,,,2,2,4,,,,80.4,10
MovieTicketDBError.py,MovieTicketDBError.py,,54,,,,,,,,,,,
MusicPlayerFail.py,MusicPlayerFail.py,29,129,9,,,,,11,3,,,73.6,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,20,1699,3,,,,,6,5,,,51.2,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,13,44,3,,,,,6,4,,,61.8,
NumberConverterFail.py,NumberConverterFail.py,13,67,6,,,6,6,6,,,,76.4,30
NumberWordFormatterError.py,NumberWordFormatterError.py,,218,,,,,,,,,,,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,7,31,3,,,2,2,4,1,,,70.8,10
OrderFail.py,OrderFail.py,17,69,4,,,,,5,2,,,71.2,
PageUtilError.py,PageUtilError.py,27,78,4,,,1,1,4,,,,62.0,5
PDFHandlerError.py,PDFHandlerError.py,17,43,3,,,,,8,9,,,54.1,
PersonRequestFail.py,PersonRequestFail.py,22,55,4,,,7,7,7,6,,,48.8,26
PushBoxGameError.py,PushBoxGameError.py,,140,,,,,,,,,,,
RegexUtilsError.py,RegexUtilsError.py,,217,,,,,,,,,,,
RPGCharacterError.py,RPGCharacterError.py,,150,,,,,,,,,,,
ServerFail.py,ServerFail.py,33,92,6,,,2,2,11,9,,,56.0,3
ShoppingCartError.py,ShoppingCartError.py,,63,,,,,,,,,,,
SignInSystemFail.py,SignInSystemFail.py,21,86,6,,,1,1,8,4,,,72.0,2
SnakeError.py,SnakeError.py,30,83,5,1,,3,4,6,2,,,57.1,6
SplitSentenceFail.py,SplitSentenceFail.py,,7,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,,82,,,,,,,,,,,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,9,52,4,1,,4,5,4,,,,78.6,20
Statistics3Error.py,Statistics3Error.py,16,94,7,,,7,7,7,,,,80.0,35
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,18,112,8,,,1,1,8,,,,80.6,5
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,12,58,5,,,,,5,,,,75.5,
TextFileProcessorError.py,TextFileProcessorError.py,120,169,5,,,,,6,1,,,24.1,
ThermostatFail.py,ThermostatFail.py,26,96,8,,,,,9,2,,,67.9,
TicTacToeFail.py,TicTacToeFail.py,17,53,4,,,1,1,6,3,,,63.0,2
