file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,,78,,,,,,,,,,,
AreaCalculatorFail.py,AreaCalculatorFail.py,14,85,6,,,,,6,,,,76.3,
ArgumentParserError.py,ArgumentParserError.py,30,107,5,,,1,1,10,8,,,67.4,5
ArrangementCalculatorError.py,ArrangementCalculatorError.py,134,155,2,,,1,1,66,64,,,11.3,54
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,21,112,7,,,,,9,4,,,73.8,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,14,48,3,,,,,5,4,,,65.0,
AvgPartitionFail.py,AvgPartitionFail.py,17,48,3,,,1,1,6,3,,,57.5,5
BalancedBracketsError.py,BalancedBracketsError.py,,134,,,,,,,,,,,
BankAccountFail.py,BankAccountFail.py,24,73,5,,,2,2,10,5,,,55.6,11
BigNumCalculatorError.py,BigNumCalculatorError.py,7,48,3,2,,3,5,3,,,,82.5,15
BinaryDataProcessorError.py,BinaryDataProcessorError.py,12,60,5,4,,,4,5,,,,74.5,
BitStatusUtilError.py,BitStatusUtilError.py,16,70,4,,,4,4,8,4,,,72.9,20
BlackjackGameError.py,BlackjackGameError.py,29,82,4,,,1,1,10,8,,,59.2,5
BookManagementDBError.py,BookManagementDBError.py,22,93,7,,,,,8,1,,,67.6,
BookManagementFail.py,BookManagementFail.py,20,70,5,,,,,9,4,,,63.6,
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,26,71,4,,,3,3,8,8,,,56.7,6
CalculatorError.py,CalculatorError.py,33,79,4,,,,,16,13,,,50.0,
CalendarUtilError.py,CalendarUtilError.py,,102,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,17,125,8,,,1,1,8,,,,80.7,5
ChandrasekharSieveFail.py,ChandrasekharSieveFail.py,11,41,3,,,,,4,1,,,67.6,
ChatFail.py,ChatFail.py,27,98,5,,,,,11,6,,,67.5,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,21,92,6,,,,,8,2,,,70.8,
ClassroomFail.py,ClassroomFail.py,26,81,5,,,,,11,11,,,60.6,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,,83,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,12,67,5,,,4,4,5,,,,78.2,20
CookiesUtilError.py,CookiesUtilError.py,20,64,4,,,,,7,3,,,62.3,
CSVProcessorError.py,CSVProcessorError.py,23,86,4,,,2,2,4,,,,68.5,7
CurrencyConverterFail.py,CurrencyConverterFail.py,43,101,5,,,,,15,12,,,48.8,
DatabaseProcessorError.py,DatabaseProcessorError.py,13,68,5,,,,,5,,,,74.5,
DataStatistics2Fail.py,DataStatistics2Fail.py,16,91,7,,,,,7,,,,75.4,
DataStatistics4Error.py,DataStatistics4Error.py,10,59,4,,,4,4,4,,,,79.2,20
DataStatisticsFail.py,DataStatisticsFail.py,8,43,3,,,,,3,,,,77.1,
DecryptionUtilsError.py,DecryptionUtilsError.py,9,56,4,,,,,4,,,,80.0,
DiscountStrategyError.py,DiscountStrategyError.py,31,119,6,,,6,6,11,5,,,68.0,30
DocFileHandlerError.py,DocFileHandlerError.py,30,86,6,,,1,1,7,4,,,53.1,5
EightPuzzleError.py,EightPuzzleError.py,,115,,,,,,,,,,,
EmailClientError.py,EmailClientError.py,35,120,6,,,,,15,9,,,64.3,
EncryptionUtilsError.py,EncryptionUtilsError.py,9,57,4,,,,,4,,,,79.5,
ExcelProcessorError.py,ExcelProcessorError.py,,127,,,,,,,,,,,
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,120,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,17,35,2,,,3,3,2,,,,45.2,9
GomokuGameError.py,GomokuGameError.py,,116,,,,,,,,,,,
HotelError.py,HotelError.py,,112,,,,,,,,,,,
HRManagementSystemError.py,HRManagementSystemError.py,,128,,,,,,,,,,,
HtmlUtilFail.py,HtmlUtilFail.py,22,80,4,,,2,2,4,,,,69.0,4
ImageProcessorError.py,ImageProcessorError.py,24,88,6,,,,,10,4,,,63.6,
InterpolationError.py,InterpolationError.py,,56,,,,,,,,,,,
IPAddressFail.py,IPAddressFail.py,9,49,4,,,,,4,,,,75.7,
IpUtilError.py,IpUtilError.py,20,60,3,,,6,6,3,3,,,61.5,30
JobMarketplaceError.py,JobMarketplaceError.py,16,112,7,,,2,2,7,,,,81.4,10
JSONProcessorError.py,JSONProcessorError.py,18,62,3,,,,,4,1,,,66.7,
KappaCalculatorFail.py,KappaCalculatorFail.py,12,49,2,,,6,6,4,4,,,71.4,21
LemmatizationError.py,LemmatizationError.py,25,72,4,,,,,8,8,,,57.6,
