file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,,17,,,,,,,,,,,
AreaCalculatorError.py,AreaCalculatorError.py,14,67,6,,,,,6,,,,76.7,
ArgumentParserError.py,ArgumentParserError.py,,57,,,,,,,,,,,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,,90,,,,,,,,,,,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,,88,,,,,,,,,,,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,,69,,,,,,,,,,,
AvgPartitionError.py,AvgPartitionError.py,18,44,3,,,1,1,5,4,,,56.1,5
BalancedBracketsFail.py,BalancedBracketsFail.py,15,41,3,,,,,6,4,,,60.5,
BankAccountError.py,BankAccountError.py,,70,,,,,,,,,,,
BigNumCalculatorError.py,BigNumCalculatorError.py,38,74,3,1,,2,3,12,15,,,46.5,10
BinaryDataProcessorError.py,BinaryDataProcessorError.py,,62,,,,,,,,,,,
BitStatusUtilError.py,BitStatusUtilError.py,23,70,4,,,5,5,19,15,,,65.2,27
BlackjackGameError.py,BlackjackGameError.py,,60,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,25,79,7,,,1,1,7,,,,65.3,5
BookManagementError.py,BookManagementError.py,,64,,,,,,,,,,,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,30,68,4,,,3,3,13,15,,,53.1,6
CalculatorError.py,CalculatorError.py,66,103,4,,,3,3,14,28,,,33.3,24
CalendarUtilError.py,CalendarUtilError.py,,19,,,,,,,,,,,
CamelCaseMapFail.py,CamelCaseMapFail.py,18,97,8,,,,,10,2,,,79.8,
ChandrasekharSieveFail.py,ChandrasekharSieveFail.py,17,43,3,,,,,7,8,,,57.5,
ChatFail.py,ChatFail.py,38,114,6,,,,,12,6,,,62.7,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,,88,,,,,,,,,,,
ClassroomError.py,ClassroomError.py,,64,,,,,,,,,,,
CombinationCalculatorError.py,CombinationCalculatorError.py,,90,,,,,,,,,,,
ComplexCalculatorFail.py,ComplexCalculatorFail.py,15,63,5,,,1,1,5,,,,74.1,5
CookiesUtilFail.py,CookiesUtilFail.py,21,58,4,,,,,6,4,,,61.1,
CSVProcessorFail.py,CSVProcessorFail.py,36,74,4,,,3,3,6,5,,,48.6,12
CurrencyConverterFail.py,CurrencyConverterFail.py,29,87,5,,,,,10,5,,,58.6,
DatabaseProcessorError.py,DatabaseProcessorError.py,,110,,,,,,,,,,,
DataStatistics2Error.py,DataStatistics2Error.py,,51,,,,,,,,,,,
DataStatistics4Error.py,DataStatistics4Error.py,,53,,,,,,,,,,,
DataStatisticsError.py,DataStatisticsError.py,8,39,3,,,,,3,,,,77.1,
DecryptionUtilsError.py,DecryptionUtilsError.py,40,80,4,,,1,1,13,19,,,47.4,5
DiscountStrategyError.py,DiscountStrategyError.py,,26,,,,,,,,,,,
DocFileHandlerError.py,DocFileHandlerError.py,56,97,6,,,4,4,10,12,,,37.8,20
EightPuzzleError.py,EightPuzzleError.py,23,58,4,,,,,10,13,,,57.4,
EmailClientError.py,EmailClientError.py,0,1,0,,,,,0,,,,,
EncryptionUtilsError.py,EncryptionUtilsError.py,39,78,4,,,2,2,12,17,,,47.3,10
ExcelProcessorError.py,ExcelProcessorError.py,9,47,4,,,2,2,4,,,,79.1,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,65,91,3,,,1,1,7,18,,,26.1,1
FitnessTrackerError.py,FitnessTrackerError.py,29,63,4,,,2,2,9,10,,,50.8,7
GomokuGameError.py,GomokuGameError.py,,71,,,,,,,,,,,
HotelSuccess.py,HotelSuccess.py,,75,,,,,,,,,,,
HRManagementSystemError.py,HRManagementSystemError.py,,75,,,,,,,,,,,
HtmlUtilError.py,HtmlUtilError.py,,92,,,,,,,,,,,
ImageProcessorError.py,ImageProcessorError.py,22,73,6,1,,,1,7,1,,,65.6,
