file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,22,51,3,,,2,2,6,5,,,51.1,10
AreaCalculatorError.py,AreaCalculatorError.py,18,62,5,,,,,5,,98.4,1,67.3,
AreaCalculatorFail.py,AreaCalculatorFail.py,23,80,6,,,,,6,,76.3,1,68.1,
ArgumentParserError.py,ArgumentParserError.py,20,87,5,,,,,8,5,,,74.7,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,27,59,6,,,5,5,11,6,,,47.1,35
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,40,85,6,1,,1,2,19,32,,,46.7,5
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,20,52,3,,,2,2,8,8,,,57.4,10
AvgPartitionError.py,AvgPartitionError.py,8,18,2,,,1,1,2,,,,42.9,5
AvgPartitionFail.py,AvgPartitionFail.py,13,24,3,,,2,2,3,,,,31.6,10
BalancedBracketsError.py,BalancedBracketsError.py,16,27,2,,,,,5,6,96.3,1,30.4,
BalancedBracketsFail.py,BalancedBracketsFail.py,25,37,3,,,,,12,12,70.3,1,21.9,
BankAccountError.py,BankAccountError.py,24,42,5,,,,,8,6,,,31.4,
BigNumCalculatorError.py,BigNumCalculatorError.py,7,49,3,,,3,3,3,,,,83.7,15
BinaryDataProcessorError.py,BinaryDataProcessorError.py,30,52,5,,,3,3,9,6,,,33.3,15
BitStatusUtilError.py,BitStatusUtilError.py,23,68,4,,,5,5,13,8,,,62.9,26
BlackjackGameError.py,BlackjackGameError.py,39,71,4,,,1,1,13,23,,,39.1,5
BookManagementDBError.py,BookManagementDBError.py,36,62,7,,,1,1,7,,,,32.1,5
BookManagementError.py,BookManagementError.py,22,41,3,,,,,8,13,,,35.3,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,34,53,4,,,9,9,11,14,,,27.7,27
CalculatorError.py,CalculatorError.py,35,56,3,,,1,1,6,8,,,28.6,5
CalendarUtilError.py,CalendarUtilError.py,,70,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,,83,,,,,,,,,,,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,15,34,2,,,,,6,8,,,50.0,
ChandrasekharSieveFail.py,ChandrasekharSieveFail.py,17,41,3,,,,,7,8,,,52.8,
ChatError.py,ChatError.py,20,45,4,,,1,1,8,4,97.8,1,47.4,5
ChatFail.py,ChatFail.py,27,53,5,,,1,1,12,10,83.0,1,40.0,5
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,37,53,6,,,,,14,11,,,17.8,
ClassroomError.py,ClassroomError.py,28,42,5,,,,,13,11,,,20.0,
CombinationCalculatorError.py,CombinationCalculatorError.py,26,72,5,1,,4,5,9,4,,,60.0,20
ComplexCalculatorError.py,ComplexCalculatorError.py,28,79,5,,,4,4,5,,,,61.1,20
CookiesUtilError.py,CookiesUtilError.py,13,27,3,,,,,3,,,,35.0,
CSVProcessorError.py,CSVProcessorError.py,25,48,3,,,3,3,4,3,,,41.9,15
CurrencyConverterError.py,CurrencyConverterError.py,30,83,5,1,,1,2,7,3,,,58.3,5
DatabaseProcessorError.py,DatabaseProcessorError.py,35,54,4,,,2,2,5,4,,,25.5,10
DataStatistics2Error.py,DataStatistics2Error.py,17,75,7,,,,,7,,,,74.2,
DataStatistics4Error.py,DataStatistics4Error.py,15,76,4,1,,2,3,5,2,,,77.6,10
DataStatisticsError.py,DataStatisticsError.py,18,41,2,,,,,7,6,97.6,1,51.4,
DataStatisticsFail.py,DataStatisticsFail.py,30,62,3,,,2,2,12,11,64.5,1,47.4,14
DecryptionUtilsError.py,DecryptionUtilsError.py,28,58,4,,,1,1,11,13,,,46.2,5
DiscountStrategyError.py,DiscountStrategyError.py,17,59,3,,,2,2,5,4,,,66.7,10
DocFileHandlerError.py,DocFileHandlerError.py,33,57,6,,,3,3,9,6,,,32.7,15
EightPuzzleError.py,EightPuzzleError.py,51,66,5,2,,1,3,15,21,,,13.6,5
EmailClientError.py,EmailClientError.py,32,71,5,,,,,10,5,,,46.7,
EncryptionUtilsError.py,EncryptionUtilsError.py,30,97,4,1,,1,2,7,3,,,59.5,5
ExcelProcessorError.py,ExcelProcessorError.py,28,55,4,,,6,6,6,4,,,42.9,27
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,146,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,32,52,4,,,3,3,10,12,,,28.9,9
GomokuGameError.py,GomokuGameError.py,28,42,3,,,1,1,14,36,,,20.0,19
HotelSuccess.py,HotelSuccess.py,43,83,5,,,1,1,11,12,,,43.4,6
HRManagementSystemError.py,HRManagementSystemError.py,,43,,,,,,,,,,,
HtmlUtilError.py,HtmlUtilError.py,49,134,3,1,,4,5,5,9,,,55.5,21
ImageProcessorError.py,ImageProcessorError.py,,61,,,,,,,,,,,
InterpolationError.py,InterpolationError.py,,34,,,,,,,,,,,
IPAddressError.py,IPAddressError.py,10,31,3,,,,,4,2,,,60.0,
IPAddressFail.py,IPAddressFail.py,15,44,4,,,,,6,4,,,59.5,
IpUtilError.py,IpUtilError.py,14,43,2,,,2,2,2,2,,,64.1,10
IpUtilFail.py,IpUtilFail.py,27,67,3,,,3,3,4,8,,,56.5,15
JobMarketplaceError.py,JobMarketplaceError.py,,64,,,,,,,,,,,
JSONProcessorError.py,JSONProcessorError.py,16,34,2,,,1,1,2,2,,,46.7,5
KappaCalculatorError.py,KappaCalculatorError.py,4,19,1,,,2,2,1,,,,75.0,7
KappaCalculatorFail.py,KappaCalculatorFail.py,6,31,2,,,5,5,2,,,,77.8,16
LemmatizationError.py,LemmatizationError.py,53,77,4,,,1,1,10,18,64.9,5,25.4,15
LongestWordError.py,LongestWordError.py,10,24,2,,,1,1,3,1,,,50.0,2
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,17,37,3,,,1,1,6,4,,,46.9,2
MahjongConnectError.py,MahjongConnectError.py,,106,,,,,,,,,,,
ManacherError.py,ManacherError.py,,31,,,,,,,,,,,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,,27,,,,,,,,,,,
MetricsCalculatorError.py,MetricsCalculatorError.py,27,63,4,,,,,4,,,,47.1,
MinesweeperGameError.py,MinesweeperGameError.py,,86,,,,,,,,,,,
MovieBookingSystemError.py,MovieBookingSystemError.py,23,39,3,,,1,1,11,20,97.4,1,32.4,10
MovieBookingSystemFail.py,MovieBookingSystemFail.py,29,46,4,,,1,1,14,23,82.6,1,27.5,10
MovieTicketDBError.py,MovieTicketDBError.py,27,57,5,,,2,2,5,,,,44.9,10
MusicPlayerError.py,MusicPlayerError.py,,89,,,,,,,,,,,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,24,47,3,,,,,6,,,,42.9,
NLPDataProcessorError.py,NLPDataProcessorError.py,13,20,2,,,1,1,4,1,,,18.8,5
