file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,25,56,5,,,4,4,11,9,,,50.0,10
AreaCalculatorError.py,AreaCalculatorError.py,9,61,6,,,,,6,,,,83.3,
ArgumentParserError.py,ArgumentParserError.py,9,72,5,,,,,5,,,,86.6,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,25,66,6,,,,,10,6,,,57.6,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,41,85,7,,,,,18,18,,,47.4,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,5,35,3,,,,,3,,,,83.9,
AvgPartitionSuccess.py,AvgPartitionSuccess.py,13,31,3,,,1,1,4,1,,,53.6,5
BalancedBracketsSuccess.py,BalancedBracketsSuccess.py,19,43,3,,,,,7,10,,,52.5,
BankAccountSuccess.py,BankAccountSuccess.py,,71,,,,,,,,,,,
BigNumCalculatorError.py,BigNumCalculatorError.py,7,46,3,,,,,3,,,,83.7,
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,15,38,5,,,,,5,,,,54.5,
BitStatusUtilError.py,BitStatusUtilError.py,12,42,4,,,,,7,4,,,68.4,
BlackjackGameError.py,BlackjackGameError.py,9,55,4,,,,,4,,,,82.4,
BookManagementDBError.py,BookManagementDBError.py,12,68,7,,,,,7,,,,79.3,
BookManagementError.py,BookManagementError.py,7,47,5,,,,,5,,,,83.3,
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,7,19,1,,,,,3,3,,,41.7,
CalculatorError.py,CalculatorError.py,53,90,4,,,1,1,15,24,,,38.4,9
CalendarUtilError.py,CalendarUtilError.py,,78,,,,,,,,,,,
CamelCaseMapFail.py,CamelCaseMapFail.py,18,66,8,,,,,8,,,,69.0,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,6,32,3,,,,,3,,,,79.3,
ChatError.py,ChatError.py,8,70,5,,,,,5,,,,87.5,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,,66,,,,,,,,,,,
ClassroomError.py,ClassroomError.py,35,70,5,,,,,14,12,,,43.5,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,24,83,6,,,3,3,8,4,,,68.4,6
ComplexCalculatorFail.py,ComplexCalculatorFail.py,11,60,5,,,1,1,5,,,,79.6,5
CookiesUtilError.py,CookiesUtilError.py,20,45,4,,,,,5,1,,,50.0,
CSVProcessorError.py,CSVProcessorError.py,7,47,4,,,2,2,4,,,,82.9,7
CurrencyConverterFail.py,CurrencyConverterFail.py,26,72,5,,,,,9,4,,,61.2,
DatabaseProcessorError.py,DatabaseProcessorError.py,9,58,5,,,,,5,,,,80.9,
DataStatistics2Error.py,DataStatistics2Error.py,23,66,7,,,,,7,,,,61.0,
DataStatistics4Fail.py,DataStatistics4Fail.py,46,103,8,,,1,1,9,1,,,45.2,5
DataStatisticsSuccess.py,DataStatisticsSuccess.py,15,39,3,,,,,5,2,,,57.1,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,16,56,4,,,,,7,8,,,69.2,
DiscountStrategyError.py,DiscountStrategyError.py,35,73,6,,,4,4,12,7,,,47.8,20
DocFileHandlerError.py,DocFileHandlerError.py,56,111,6,,,2,2,10,10,,,41.1,10
EightPuzzleError.py,EightPuzzleError.py,8,55,5,,,,,5,,,,84.0,
EmailClientError.py,EmailClientError.py,11,81,6,,,,,6,,,,85.1,
EncryptionUtilsSuccess.py,EncryptionUtilsSuccess.py,53,80,4,,,1,1,18,42,,,30.3,16
ExcelProcessorError.py,ExcelProcessorError.py,7,46,4,,,2,2,4,,,,81.6,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,167,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,13,47,4,,,2,2,4,,,,69.8,7
GomokuGameError.py,GomokuGameError.py,8,58,4,,,,,4,,,,85.2,
HotelError.py,HotelError.py,9,87,5,,,,,5,,,,89.0,
HRManagementSystemError.py,HRManagementSystemError.py,,80,,,,,,,,,,,
HtmlUtilFail.py,HtmlUtilFail.py,37,63,4,,,,,9,8,,,36.2,
ImageProcessorError.py,ImageProcessorError.py,9,58,6,,,,,6,,,,82.4,
InterpolationFail.py,InterpolationFail.py,,36,,,,,,,,,,,
IPAddressError.py,IPAddressError.py,6,41,4,,,,,4,,,,82.4,
IpUtilError.py,IpUtilError.py,24,47,3,,,,,3,3,,,42.9,
JobMarketplaceError.py,JobMarketplaceError.py,10,87,7,,,,,7,,,,87.5,
JSONProcessorPartialSuccess.py,JSONProcessorPartialSuccess.py,37,65,3,,,,,6,7,,,39.3,
KappaCalculatorFail.py,KappaCalculatorFail.py,,49,,,,,,,,,,,
LemmatizationError.py,LemmatizationError.py,34,75,4,,,,,6,7,,,50.0,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,16,39,3,,,,,6,6,,,54.3,
MahjongConnectError.py,MahjongConnectError.py,,74,,,,,,,,,,,
ManacherError.py,ManacherError.py,22,43,3,,,,,10,8,,,45.0,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,50,90,4,,,3,3,11,17,,,41.2,15
MetricsCalculatorError.py,MetricsCalculatorError.py,34,81,6,,,6,6,10,8,,,51.4,30
MinesweeperGameError.py,MinesweeperGameError.py,,114,,,,,,,,,,,
MovieBookingSystemError.py,MovieBookingSystemError.py,8,61,4,,,,,4,,,,85.7,
MovieTicketDBError.py,MovieTicketDBError.py,10,51,5,,,,,5,,,,77.3,
MusicPlayerError.py,MusicPlayerError.py,13,106,9,,,,,9,,,,86.6,
NLPDataProcessor2Success.py,NLPDataProcessor2Success.py,,62,,,,,,,,,,,
NLPDataProcessorError.py,NLPDataProcessorError.py,4,30,3,,,,,3,,,,85.7,
NumberConverterError.py,NumberConverterError.py,13,65,6,,,,,6,,,,77.6,
NumberWordFormatterError.py,NumberWordFormatterError.py,14,69,6,,,,,6,,,,76.7,
NumericEntityUnescaperFail.py,NumericEntityUnescaperFail.py,42,65,3,,,2,2,19,43,,,32.3,35
OrderFail.py,OrderFail.py,26,61,4,,,1,1,10,13,,,50.9,5
PageUtilError.py,PageUtilError.py,,49,,,,,,,,,,,
PDFHandlerError.py,PDFHandlerError.py,7,34,3,,,,,3,,,,76.7,
PersonRequestSuccess.py,PersonRequestSuccess.py,17,45,4,,,7,7,10,5,,,58.5,26
PushBoxGameError.py,PushBoxGameError.py,13,75,4,,,,,4,,,,81.4,
RegexUtilsError.py,RegexUtilsError.py,12,109,10,,,,,10,,,,87.6,
RPGCharacterError.py,RPGCharacterError.py,13,72,6,,,,,6,,,,80.3,
ServerError.py,ServerError.py,10,64,6,,,,,6,,,,81.8,
ShoppingCartError.py,ShoppingCartError.py,7,58,5,,,,,5,,,,85.7,
SignInSystemError.py,SignInSystemError.py,8,71,6,,,,,6,,,,87.7,
SnakeError.py,SnakeError.py,14,67,5,,,3,3,5,,,,75.4,6
SplitSentenceFail.py,SplitSentenceFail.py,,10,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,9,70,7,,,,,7,,,,85.5,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,9,50,4,,,,,4,,,,80.0,
Statistics3Error.py,Statistics3Error.py,60,108,7,,,2,2,14,12,,,39.4,10
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,49,96,8,,,1,1,20,20,,,44.3,5
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,8,54,5,,,,,5,,,,83.3,
TextFileProcessorError.py,TextFileProcessorError.py,8,55,5,,,,,5,,,,83.7,
ThermostatError.py,ThermostatError.py,13,80,8,,,,,8,,,,81.7,
TicTacToeFail.py,TicTacToeFail.py,19,48,4,,,1,1,10,5,,,51.3,2
TimeUtilsSuccess.py,TimeUtilsSuccess.py,32,88,8,,,,,8,,,,60.5,
TriCalculatorError.py,TriCalculatorError.py,9,58,6,,,1,1,6,,,,81.6,5
TwentyFourPointGamePartialSuccess.py,TwentyFourPointGamePartialSuccess.py,21,51,5,,,2,2,5,2,,,48.8,10
URLHandlerFail.py,URLHandlerFail.py,20,53,6,,,,,6,,,,56.5,
UrlPathFail.py,UrlPathFail.py,16,41,4,,,,,5,1,,,55.6,
UserLoginDBFail.py,UserLoginDBFail.py,21,61,6,,,,,6,,,,61.1,
VectorUtilError.py,VectorUtilError.py,12,62,4,,,,,4,,,,77.8,
VendingMachineFail.py,VendingMachineFail.py,33,72,6,,,,,11,11,,,50.0,
WarehouseError.py,WarehouseError.py,10,90,7,,,,,7,,,,88.2,
WeatherSystemFail.py,WeatherSystemFail.py,23,53,5,,,,,7,5,,,52.1,
Words2NumbersError.py,Words2NumbersError.py,42,72,3,,,2,2,16,24,,,34.4,26
XMLProcessorFail.py,XMLProcessorFail.py,35,68,5,,,2,2,8,6,,,42.6,10
ZipFileProcessorError.py,ZipFileProcessorError.py,8,51,5,,,,,5,,,,81.8,
