file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,38,71,5,1,,2,3,11,8,,,41.5,5
AreaCalculatorFail.py,AreaCalculatorFail.py,16,53,6,,,,,6,,,,63.6,
ArgumentParserError.py,ArgumentParserError.py,12,48,3,,,,,4,1,,,71.4,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,14,45,4,,,1,1,5,2,,,61.1,5
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,41,86,7,,,,,18,18,,,47.4,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,3,7,1,,,,,1,,,,57.1,
AvgPartitionFail.py,AvgPartitionFail.py,16,32,3,,,1,1,5,2,,,42.9,5
BalancedBracketsError.py,BalancedBracketsError.py,8,22,2,,,,,2,,,,57.9,
BankAccountPartialSuccess.py,BankAccountPartialSuccess.py,22,50,5,,,,,10,5,,,50.0,
BigNumCalculatorError.py,BigNumCalculatorError.py,45,78,3,,,3,3,14,15,,,39.2,15
BinaryDataProcessorFail.py,BinaryDataProcessorFail.py,18,39,5,,,,,6,1,,,45.5,
BitStatusUtilError.py,BitStatusUtilError.py,21,54,4,,,5,5,16,13,,,57.1,26
BlackjackGamePartialSuccess.py,BlackjackGamePartialSuccess.py,49,74,4,,,,,11,15,,,29.0,
BookManagementDBError.py,BookManagementDBError.py,26,64,7,,,,,7,,,,53.6,
BookManagementFail.py,BookManagementFail.py,25,54,5,,,,,9,6,,,47.9,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,38,65,4,,,5,5,14,22,,,33.3,14
CalculatorSuccess.py,CalculatorSuccess.py,60,80,4,,,2,2,21,39,,,18.9,28
CalendarUtilError.py,CalendarUtilError.py,,77,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,17,64,7,,,,,7,,,,69.6,
ChandrasekharSieveSuccess.py,ChandrasekharSieveSuccess.py,14,30,3,,,,,7,6,,,46.2,
ChatFail.py,ChatFail.py,27,58,5,,,,,10,8,,,48.1,
ClassRegistrationSystemFail.py,ClassRegistrationSystemFail.py,40,74,6,,,1,1,16,20,,,40.3,5
ClassroomError.py,ClassroomError.py,18,42,4,,,,,9,6,,,48.6,
CombinationCalculatorError.py,CombinationCalculatorError.py,19,41,4,,,4,4,6,2,,,40.6,11
ComplexCalculatorError.py,ComplexCalculatorError.py,14,50,5,,,4,4,5,,,,68.2,20
CookiesUtilError.py,CookiesUtilError.py,20,45,4,,,,,4,1,,,50.0,
CSVProcessorError.py,CSVProcessorError.py,22,35,4,,,3,3,5,1,,,26.7,12
CurrencyConverterFail.py,CurrencyConverterFail.py,31,73,5,,,,,8,4,,,50.8,
DatabaseProcessorFail.py,DatabaseProcessorFail.py,35,77,5,,,,,7,3,,,47.0,
DataStatistics2Fail.py,DataStatistics2Fail.py,26,66,7,,,,,9,5,,,54.4,
DataStatistics4Fail.py,DataStatistics4Fail.py,31,64,4,,,5,5,6,2,,,46.6,25
DataStatisticsError.py,DataStatisticsError.py,21,40,3,,,,,7,4,,,41.7,
DecryptionUtilsFail.py,DecryptionUtilsFail.py,44,72,4,,,,,16,28,,,30.2,
DiscountStrategyError.py,DiscountStrategyError.py,11,34,2,,,2,2,3,2,,,59.3,10
DocFileHandlerError.py,DocFileHandlerError.py,50,93,6,,,1,1,10,10,,,41.9,5
EightPuzzlePartialSuccess.py,EightPuzzlePartialSuccess.py,54,89,5,,,,,22,26,,,34.9,
EmailClientError.py,EmailClientError.py,23,54,5,,,,,9,5,,,48.9,
EncryptionUtilsFail.py,EncryptionUtilsFail.py,40,68,4,,,,,14,21,,,36.5,
ExcelProcessorError.py,ExcelProcessorError.py,27,50,4,,,2,2,7,4,,,38.6,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,49,86,5,2,,2,4,20,27,,,38.8,14
FitnessTrackerFail.py,FitnessTrackerFail.py,42,62,4,,,2,2,9,15,,,26.3,7
GomokuGameFail.py,GomokuGameFail.py,48,69,4,,,1,1,24,37,,,25.0,8
HotelSuccess.py,HotelSuccess.py,28,68,4,,,,,11,8,,,54.1,
HRManagementSystemError.py,HRManagementSystemError.py,22,56,5,,,,,8,6,,,54.2,
HtmlUtilFail.py,HtmlUtilFail.py,51,86,4,,,,,12,7,,,37.0,
ImageProcessorError.py,ImageProcessorError.py,15,43,5,,,,,7,2,,,57.1,
InterpolationError.py,InterpolationError.py,29,52,3,,,6,6,8,9,,,39.6,130
IPAddressError.py,IPAddressError.py,26,48,4,,,,,13,11,,,38.1,
IpUtilError.py,IpUtilError.py,20,47,3,,,3,3,3,3,,,53.5,15
JobMarketplaceError.py,JobMarketplaceError.py,16,38,3,,,,,7,6,,,38.5,
JSONProcessorError.py,JSONProcessorError.py,30,53,3,,,,,6,5,,,38.8,
KappaCalculatorFail.py,KappaCalculatorFail.py,20,43,2,,,5,5,6,6,,,50.0,16
LemmatizationError.py,LemmatizationError.py,31,55,4,,,1,1,6,7,,,38.0,5
LongestWordFail.py,LongestWordFail.py,17,40,3,,,,,6,4,,,52.8,
MahjongConnectFail.py,MahjongConnectFail.py,69,140,6,,,3,3,37,49,,,48.1,11
ManacherError.py,ManacherError.py,45,83,3,,,6,6,22,20,,,42.3,58
MetricsCalculator2Error.py,MetricsCalculator2Error.py,18,29,2,,,2,2,4,4,,,30.8,10
MetricsCalculatorPartialSuccess.py,MetricsCalculatorPartialSuccess.py,47,91,6,,,,,22,24,,,41.3,
MinesweeperGameError.py,MinesweeperGameError.py,48,77,5,,,5,5,22,39,,,32.4,27
MovieBookingSystemFail.py,MovieBookingSystemFail.py,31,58,4,,,,,11,15,,,40.4,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,28,61,5,,,,,5,,,,48.1,
MusicPlayerSuccess.py,MusicPlayerSuccess.py,61,107,9,,,,,20,19,,,37.1,
NLPDataProcessor2Fail.py,NLPDataProcessor2Fail.py,25,54,3,,,,,5,2,,,50.0,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,14,33,3,,,,,5,1,,,51.7,
NumberConverterSuccess.py,NumberConverterSuccess.py,36,85,6,,,6,6,13,7,,,53.8,30
NumberWordFormatterError.py,NumberWordFormatterError.py,58,93,6,,,,,15,19,,,31.0,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,42,52,2,,,2,2,15,41,,,14.3,36
OrderFail.py,OrderFail.py,30,60,4,,,,,10,15,,,44.4,
PageUtilPartialSuccess.py,PageUtilPartialSuccess.py,37,62,4,,,,,6,3,,,35.1,
PDFHandlerError.py,PDFHandlerError.py,18,36,3,,,,,6,4,,,43.8,
PersonRequestSuccess.py,PersonRequestSuccess.py,19,46,4,,,8,8,10,6,,,52.5,31
PushBoxGameError.py,PushBoxGameError.py,54,87,4,,,1,1,25,37,,,33.3,17
RegexUtilsError.py,RegexUtilsError.py,21,63,8,,,1,1,8,,,,58.0,5
RPGCharacterError.py,RPGCharacterError.py,32,62,4,,,,,7,5,,,39.6,
ServerError.py,ServerError.py,32,65,5,,,,,11,10,,,41.8,
ShoppingCartSuccess.py,ShoppingCartSuccess.py,20,45,4,,,,,8,9,,,45.9,
SignInSystemError.py,SignInSystemError.py,26,64,6,,,,,12,8,,,54.4,
SnakeError.py,SnakeError.py,33,59,4,,,3,3,8,7,,,37.7,6
SplitSentenceFail.py,SplitSentenceFail.py,,7,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,14,51,5,,,,,5,,,,65.9,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,9,21,1,,,1,1,3,3,,,40.0,5
Statistics3Error.py,Statistics3Error.py,41,79,5,,,7,7,11,8,,,40.6,35
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,45,95,8,,,,,18,15,,,47.7,
StudentDatabaseProcessorFail.py,StudentDatabaseProcessorFail.py,29,59,5,,,,,5,,,,45.3,
TextFileProcessorError.py,TextFileProcessorError.py,16,41,4,,,,,4,,,,52.9,
ThermostatError.py,ThermostatError.py,42,89,8,,,1,1,15,13,,,47.5,10
TicTacToeError.py,TicTacToeError.py,33,62,4,,,1,1,16,18,,,42.1,2
TimeUtilsSuccess.py,TimeUtilsSuccess.py,24,73,8,,,,,8,,,,62.5,
TriCalculatorError.py,TriCalculatorError.py,,274,,,,,,,,,,,
TwentyFourPointGameError.py,TwentyFourPointGameError.py,40,66,5,,,2,2,12,21,,,32.2,13
URLHandlerError.py,URLHandlerError.py,20,53,5,,,1,1,7,2,,,55.6,5
UrlPathFail.py,UrlPathFail.py,15,41,4,1,,1,2,5,1,,,58.3,5
UserLoginDBFail.py,UserLoginDBFail.py,18,46,4,,,,,5,2,,,53.8,
VectorUtilError.py,VectorUtilError.py,19,48,4,,,4,4,5,1,,,55.8,20
VendingMachineFail.py,VendingMachineFail.py,35,72,6,,,,,12,12,,,46.2,
WarehouseError.py,WarehouseError.py,36,75,6,,,,,13,12,,,48.6,
WeatherSystemError.py,WeatherSystemError.py,20,48,4,,,,,6,4,,,51.2,
