file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,9,56,5,,,1,1,5,,,,81.3,5
AreaCalculatorError.py,AreaCalculatorError.py,9,61,6,,,,,6,,,,83.3,
ArgumentParserError.py,ArgumentParserError.py,9,72,5,,,,,5,,,,86.6,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,12,73,6,,,,,6,,,,81.0,
AssessmentSystemError.py,AssessmentSystemError.py,23,91,7,,,,,12,5,,,72.0,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,5,35,3,,,,,3,,,,83.9,
AvgPartitionError.py,AvgPartitionError.py,6,33,3,,,1,1,3,,,,79.3,5
BalancedBracketsError.py,BalancedBracketsError.py,22,48,3,,,,,7,9,,,51.1,
BankAccountError.py,BankAccountError.py,21,56,5,,,,,8,3,,,58.8,
BigNumCalculatorError.py,BigNumCalculatorError.py,7,43,3,,,,,3,,,,82.5,
BinaryDataProcessorError.py,BinaryDataProcessorError.py,8,48,5,,,,,5,,,,81.4,
BitStatusUtilError.py,BitStatusUtilError.py,34,84,4,,,2,2,23,21,,,55.8,16
BlackjackGameError.py,BlackjackGameError.py,9,55,4,,,,,4,,,,82.4,
BookManagementDBError.py,BookManagementDBError.py,12,68,7,,,,,7,,,,79.3,
BookManagementError.py,BookManagementError.py,21,61,5,,,,,9,5,,,62.5,
BoyerMooreSearchError.py,BoyerMooreSearchError.py,7,45,4,,,3,3,4,,,,82.9,6
CalculatorError.py,CalculatorError.py,46,83,4,,,1,1,16,29,,,41.8,15
CalendarUtilError.py,CalendarUtilError.py,,78,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,11,94,8,1,,,1,8,,,,86.6,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,14,40,3,,,,,6,6,,,62.2,
ChatError.py,ChatError.py,25,88,5,,,,,11,6,,,69.1,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,,36,,,,,,,,,,,
ClassroomError.py,ClassroomError.py,34,81,5,,,3,3,16,16,,,54.1,30
CombinationCalculatorError.py,CombinationCalculatorError.py,13,74,6,,,3,3,7,1,,,80.0,6
ComplexCalculatorError.py,ComplexCalculatorError.py,11,60,5,,,1,1,5,,,,79.6,5
CookiesUtilError.py,CookiesUtilError.py,8,46,4,,,,,4,,,,80.5,
CSVProcessorError.py,CSVProcessorError.py,22,62,4,,,2,2,5,1,,,60.7,7
CurrencyConverterError.py,CurrencyConverterError.py,15,64,5,,,,,5,,,,73.2,
DatabaseProcessorError.py,DatabaseProcessorError.py,9,58,5,,,,,5,,,,80.9,
