file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,13,72,6,,,2,2,6,,,,78.3,10
AreaCalculatorFail.py,AreaCalculatorFail.py,18,70,6,,,,,6,,,,71.4,
ArgumentParserError.py,ArgumentParserError.py,40,116,6,,,1,1,15,16,,,63.3,15
ArrangementCalculatorError.py,ArrangementCalculatorError.py,,108,,,,,,,,,,,
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,57,124,7,,,,,22,23,,,50.9,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,14,44,3,,,,,6,4,,,65.0,
AvgPartitionFail.py,AvgPartitionFail.py,15,42,3,,,2,2,4,1,,,60.5,10
BalancedBracketsFail.py,BalancedBracketsFail.py,40,69,3,,,1,1,13,21,,,36.5,8
BankAccountFail.py,BankAccountFail.py,23,60,5,,,,,8,3,,,56.6,
BigNumCalculatorError.py,BigNumCalculatorError.py,23,60,3,,,4,4,11,13,,,58.9,20
BinaryDataProcessorError.py,BinaryDataProcessorError.py,222,263,5,2,,,2,5,,77.6,2,13.6,
BitStatusUtilError.py,BitStatusUtilError.py,22,70,4,,,5,5,13,9,,,66.2,28
BlackjackGameError.py,BlackjackGameError.py,,287,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,84,174,11,,,,,11,,,,48.1,
BookManagementError.py,BookManagementError.py,26,67,5,,,2,2,9,8,,,57.4,10
BoyerMooreSearchError.py,BoyerMooreSearchError.py,65,159,9,,,23,23,31,21,,,53.9,46
CalculatorError.py,CalculatorError.py,223,261,4,1,,1,2,4,,72.0,2,12.9,5
CalendarUtilError.py,CalendarUtilError.py,,157,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,,154,,,,,,,,,,,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,62,91,3,,,,,7,6,61.5,2,27.1,
ChatError.py,ChatError.py,43,131,7,,,,,14,13,,,65.0,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,37,96,6,,,,,14,11,,,58.4,
ClassroomError.py,ClassroomError.py,22,68,5,,,,,9,6,,,64.5,
CombinationCalculatorError.py,CombinationCalculatorError.py,,107,,,,,,,,,,,
ComplexCalculatorError.py,ComplexCalculatorError.py,,80,,,,,,,,,,,
CookiesUtilError.py,CookiesUtilError.py,18,56,4,,,,,4,,,,64.7,
CSVProcessorError.py,CSVProcessorError.py,31,72,4,,,4,4,5,1,,,52.3,18
CurrencyConverterError.py,CurrencyConverterError.py,32,79,5,,,,,7,2,,,56.2,
DatabaseProcessorError.py,DatabaseProcessorError.py,16,61,5,,,,,5,,,,70.4,
DataStatistics2Error.py,DataStatistics2Error.py,60,141,10,,,10,10,17,7,25.5,2,53.8,60
DataStatistics4Fail.py,DataStatistics4Fail.py,13,99,8,,,3,3,8,,,,85.2,15
DataStatisticsError.py,DataStatisticsError.py,20,51,3,,,1,1,6,5,,,57.4,5
DecryptionUtilsError.py,DecryptionUtilsError.py,18,59,4,,,,,7,3,,,66.7,
