file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterError.py,AccessGatewayFilterError.py,,202,,,,,,,,,,,
AreaCalculatorError.py,AreaCalculatorError.py,9,61,6,,,,,6,,,,83.3,
ArgumentParserError.py,ArgumentParserError.py,,232,,,,,,,,,,,
ArrangementCalculatorError.py,ArrangementCalculatorError.py,,242,,,,,,,,,,,
AssessmentSystemError.py,AssessmentSystemError.py,,161,,,,,,,,,,,
AutomaticGuitarSimulatorFail.py,AutomaticGuitarSimulatorFail.py,5,35,3,,,,,3,,,,83.9,
AvgPartitionError.py,AvgPartitionError.py,15,53,4,,,1,1,5,1,,,67.4,5
BalancedBracketsFail.py,BalancedBracketsFail.py,22,51,3,,,1,1,8,10,,,51.1,10
BankAccountError.py,BankAccountError.py,27,85,9,,,,,10,1,,,62.5,
BigNumCalculatorError.py,BigNumCalculatorError.py,9,56,4,,,,,4,,,,82.7,
BinaryDataProcessorError.py,BinaryDataProcessorError.py,,168,,,,,,,,,,,
BitStatusUtilError.py,BitStatusUtilError.py,,195,,,,,,,,,,,
BlackjackGameError.py,BlackjackGameError.py,,144,,,,,,,,,,,
BookManagementDBError.py,BookManagementDBError.py,13,78,8,,,,,8,,,,80.6,
BookManagementFail.py,BookManagementFail.py,8,61,6,,,,,6,,,,85.5,
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,12,70,6,,,3,3,7,1,,,80.6,6
CalculatorFail.py,CalculatorFail.py,16,67,5,,,,,6,1,,,71.9,
CalendarUtilError.py,CalendarUtilError.py,,97,,,,,,,,,,,
CamelCaseMapError.py,CamelCaseMapError.py,,276,,,,,,,,,,,
ChandrasekharSieveError.py,ChandrasekharSieveError.py,,125,,,,,,,,,,,
ChatError.py,ChatError.py,,138,,,,,,,,,,,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,,66,,,,,,,,,,,
ClassroomError.py,ClassroomError.py,,137,,,,,,,,,,,
CombinationCalculatorError.py,CombinationCalculatorError.py,,165,,,,,,,,,,,
