file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
AccessGatewayFilterFail.py,AccessGatewayFilterFail.py,13,69,5,,,6,6,5,,,,76.8,10
AreaCalculatorFail.py,AreaCalculatorFail.py,14,77,6,,,,,6,,,,76.3,
ArgumentParserError.py,ArgumentParserError.py,28,105,5,1,,,1,11,12,,,67.4,
ArrangementCalculatorFail.py,ArrangementCalculatorFail.py,21,88,6,,,2,2,9,3,,,70.8,10
AssessmentSystemSuccess.py,AssessmentSystemSuccess.py,41,131,7,,,,,16,18,,,59.0,
AutomaticGuitarSimulatorError.py,AutomaticGuitarSimulatorError.py,4,244,2,,,220,220,2,,,,80.0,
AvgPartitionError.py,AvgPartitionError.py,19,48,3,,,1,1,5,4,,,54.8,5
BalancedBracketsFail.py,BalancedBracketsFail.py,19,48,3,,,1,1,6,8,,,54.8,10
BankAccountSuccess.py,BankAccountSuccess.py,25,74,5,,,1,1,10,5,,,54.5,6
BigNumCalculatorError.py,BigNumCalculatorError.py,16,57,3,,,4,4,9,9,,,67.3,21
BinaryDataProcessorError.py,BinaryDataProcessorError.py,,105,,,,,,,,,,,
BitStatusUtilError.py,BitStatusUtilError.py,27,81,4,,,5,5,18,17,,,61.4,30
BlackjackGameFail.py,BlackjackGameFail.py,34,85,4,,,1,1,15,20,,,55.3,5
BookManagementDBError.py,BookManagementDBError.py,34,104,7,,,,,7,,,,57.5,
BookManagementFail.py,BookManagementFail.py,23,77,5,,,,,9,9,,,60.3,
BoyerMooreSearchFail.py,BoyerMooreSearchFail.py,19,64,4,,,3,3,9,7,,,64.2,6
CalculatorFail.py,CalculatorFail.py,51,92,4,,,1,1,12,28,,,39.3,7
CalendarUtilError.py,CalendarUtilError.py,,114,,,,,,,,,,,
CamelCaseMapFail.py,CamelCaseMapFail.py,17,124,8,,,1,1,8,,,,80.7,5
ChandrasekharSieveError.py,ChandrasekharSieveError.py,12,41,3,,,,,5,3,,,65.7,
ChatFail.py,ChatFail.py,27,96,5,,,,,10,9,,,67.5,
ClassRegistrationSystemError.py,ClassRegistrationSystemError.py,23,92,6,,,,,9,4,,,68.9,
ClassroomError.py,ClassroomError.py,26,79,5,,,,,12,10,,,60.6,
CombinationCalculatorFail.py,CombinationCalculatorFail.py,35,103,6,,,5,5,14,9,,,59.8,16
ComplexCalculatorError.py,ComplexCalculatorError.py,12,67,5,,,4,4,5,,,,78.2,20
CookiesUtilError.py,CookiesUtilError.py,17,59,4,,,,,4,,,,66.0,
CSVProcessorError.py,CSVProcessorError.py,20,63,4,,,3,3,4,,,,63.0,12
CurrencyConverterFail.py,CurrencyConverterFail.py,29,86,5,,,,,9,4,,,58.6,
DatabaseProcessorFail.py,DatabaseProcessorFail.py,30,82,5,,,,,5,,,,55.9,
DataStatistics2Error.py,DataStatistics2Error.py,16,87,7,,,,,7,,,,75.4,
DataStatistics4Fail.py,DataStatistics4Fail.py,39,89,4,,,5,5,13,18,,,49.4,26
DataStatisticsPartialSuccess.py,DataStatisticsPartialSuccess.py,13,48,3,,,,,5,2,,,67.5,
DecryptionUtilsError.py,DecryptionUtilsError.py,27,84,4,,,,,7,3,,,64.0,
DiscountStrategyFail.py,DiscountStrategyFail.py,31,115,6,,,6,6,11,9,,,68.0,30
DocFileHandlerError.py,DocFileHandlerError.py,,122,,,,,,,,,,,
EightPuzzleError.py,EightPuzzleError.py,,139,,,,,,,,,,,
EmailClientError.py,EmailClientError.py,29,110,6,,,,,10,7,,,68.5,
EncryptionUtilsFail.py,EncryptionUtilsFail.py,27,75,4,,,,,10,12,,,56.5,
ExcelProcessorError.py,ExcelProcessorError.py,26,66,4,,,3,3,7,3,,,54.4,12
ExpressionCalculatorError.py,ExpressionCalculatorError.py,,157,,,,,,,,,,,
FitnessTrackerError.py,FitnessTrackerError.py,31,72,4,,,2,2,6,6,,,49.2,7
GomokuGameFail.py,GomokuGameFail.py,35,92,4,,,,,18,20,,,56.8,
HotelSuccess.py,HotelSuccess.py,32,118,5,,,,,11,13,,,69.5,
HRManagementSystemError.py,HRManagementSystemError.py,,115,,,,,,,,,,,
HtmlUtilFail.py,HtmlUtilFail.py,29,87,4,,,1,1,6,2,,,62.8,2
ImageProcessorError.py,ImageProcessorError.py,19,78,6,,,,,10,4,,,68.9,
InterpolationError.py,InterpolationError.py,,44,,,,,,,,,,,
IPAddressFail.py,IPAddressFail.py,22,60,4,,,,,12,10,,,56.0,
IpUtilFail.py,IpUtilFail.py,19,59,3,,,3,3,3,3,,,62.7,15
JobMarketplaceError.py,JobMarketplaceError.py,16,108,7,,,,,9,,,,81.4,
JSONProcessorFail.py,JSONProcessorFail.py,28,72,3,,,,,7,9,,,56.3,
KappaCalculatorFail.py,KappaCalculatorFail.py,30,75,2,,,5,5,12,18,,,57.1,16
LemmatizationError.py,LemmatizationError.py,26,69,4,,,,,5,1,,,56.7,
LongestWordFail.py,LongestWordFail.py,128,157,3,,,1,1,3,,,,14.1,1
MahjongConnectFail.py,MahjongConnectFail.py,60,151,6,,,3,3,46,31,17.2,2,55.6,9
ManacherError.py,ManacherError.py,28,62,3,,,,,8,14,,,48.1,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,15,50,3,,,2,2,5,4,,,65.9,10
MetricsCalculatorError.py,MetricsCalculatorError.py,26,96,6,,,6,6,10,12,,,66.2,30
MinesweeperGameError.py,MinesweeperGameError.py,42,101,5,,,1,1,21,24,,,52.3,5
MovieBookingSystemError.py,MovieBookingSystemError.py,20,77,4,,,,,10,10,,,70.6,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,24,72,5,,,,,5,,,,58.6,
MusicPlayerSuccess.py,MusicPlayerSuccess.py,54,173,9,,,,,18,19,,,60.9,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,19,51,3,,,,,4,1,,,55.8,
NLPDataProcessorPartialSuccess.py,NLPDataProcessorPartialSuccess.py,20,52,3,,,,,6,6,,,54.5,
NumberConverterFail.py,NumberConverterFail.py,34,103,6,,,6,6,12,6,,,57.0,30
NumberWordFormatterError.py,NumberWordFormatterError.py,,70,,,,,,,,,,,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,7,33,3,,,2,2,13,1,,,74.1,10
OrderFail.py,OrderFail.py,25,80,4,,,,,8,6,,,64.3,
PageUtilError.py,PageUtilError.py,37,97,4,,,,,10,7,,,56.0,
PDFHandlerError.py,PDFHandlerError.py,17,47,3,,,,,5,2,,,57.5,
PersonRequestFail.py,PersonRequestFail.py,20,54,4,,,7,7,7,6,,,54.5,26
PushBoxGameError.py,PushBoxGameError.py,50,116,4,,,,,17,21,,,53.3,
RegexUtilsSuccess.py,RegexUtilsSuccess.py,22,153,10,,,,,10,,,,79.4,
RPGCharacterError.py,RPGCharacterError.py,,104,,,,,,,,,,,
ServerFail.py,ServerFail.py,36,102,6,,,,,11,11,,,55.6,
ShoppingCartSuccess.py,ShoppingCartSuccess.py,15,70,5,,,,,7,2,,,73.7,
SignInSystemSuccess.py,SignInSystemSuccess.py,24,106,6,,,,,12,6,,,70.4,
SnakeFail.py,SnakeFail.py,39,97,5,,,3,3,7,7,,,52.4,6
SplitSentenceFail.py,SplitSentenceFail.py,,11,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,19,97,7,,,,,9,2,,,73.6,
SQLQueryBuilderFail.py,SQLQueryBuilderFail.py,30,78,4,,,5,5,10,7,,,54.5,26
Statistics3Error.py,Statistics3Error.py,54,145,7,,,13,13,12,6,,,55.4,65
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,35,142,8,,,,,11,6,,,69.0,
StudentDatabaseProcessorSuccess.py,StudentDatabaseProcessorSuccess.py,29,82,5,,,,,5,,,,58.0,
TextFileProcessorError.py,TextFileProcessorError.py,19,73,5,,,,,5,,,,68.3,
ThermostatError.py,ThermostatError.py,32,115,8,,,,,12,6,,,64.4,
TicTacToeFail.py,TicTacToeFail.py,27,75,4,,,1,1,18,18,,,56.5,2
TimeUtilsFail.py,TimeUtilsFail.py,22,108,8,,,,,8,,,,72.5,
TriCalculatorError.py,TriCalculatorError.py,14,70,6,1,,1,2,6,,,,74.1,5
TwentyFourPointGameFail.py,TwentyFourPointGameFail.py,21,66,5,,,1,1,10,7,,,61.1,5
