project,ncloc,lines,files,classes,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,coverage,line_coverage,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_rating,reliability_rating,security_rating,sqale_index
ChatGLM_100_c_t0,1431,5878,100,72,376,22,0,53,75,495,182,,,0.0,0,65.7,1.0,5.0,1.0,224
ChatGLM_100_m_dire,2029,5922,100,83,339,20,0,112,132,652,523,,,0.0,0,52.9,1.0,5.0,1.0,601
ChatGLM_100_m_iter,2552,7306,113,96,405,18,0,152,170,807,706,,,21.1,30,52.0,1.0,5.0,1.0,835
codegeex2-6b_class_H_greedy,1328,6379,100,87,422,1,0,39,40,587,251,,,0.0,0,73.1,1.0,5.0,1.0,168
codegeex2-6b_method_C_greedy,211,5293,100,9,34,0,0,14,14,74,56,,,0.0,0,11.0,1.0,1.0,1.0,58
codegeex2-6b_method_I_greedy,120,5556,100,5,17,0,0,3,3,35,26,,,0.0,0,20.0,1.0,1.0,1.0,30
GPT-3.5-Turbo_class_H_greedy,2786,7522,100,95,468,0,0,69,69,898,777,,,0.0,0,59.1,1.0,1.0,1.0,269
GPT-3.5-Turbo_method_C_greedy,2852,6791,100,91,450,0,0,42,42,900,787,,,0.0,0,45.4,1.0,1.0,1.0,186
GPT-3.5-Turbo_method_I_greedy,2593,7454,100,83,416,0,0,46,46,807,730,,,0.0,0,49.7,1.0,1.0,1.0,213
GPT-4-Turbo_class_H_greedy,2585,4723,100,98,493,0,0,55,55,875,653,,,0.0,0,38.1,1.0,1.0,1.0,230
GPT-4-Turbo_method_C_greedy,3122,6179,100,98,487,2,0,69,71,1008,905,,,0.0,0,44.8,1.0,5.0,1.0,306
GPT-4-Turbo_method_I_greedy,3073,6331,100,98,485,2,0,74,76,976,899,,,0.3,2,46.3,1.0,5.0,1.0,334
GroundTruth,3484,10493,100,100,497,4,0,113,117,1165,1182,,,0.0,0,63.4,1.0,5.0,1.0,629
incoder_100_c_t0,3579,11646,100,82,468,7,0,124,131,907,673,,,8.0,15,53.2,1.0,3.0,1.0,657
incoder_100_m_dire,4850,19524,100,88,429,158,0,124,282,971,967,,,6.4,59,42.0,1.0,5.0,1.0,1013
incoder_100_m_iter,5725,13906,200,185,623,10,0,606,616,1180,805,,,25.5,46,48.3,1.0,3.0,1.0,3017
instruct-codegen-16B_class_H_greedy,875,5638,100,79,401,1,0,26,27,419,25,,,0.0,0,79.2,1.0,5.0,1.0,91
instruct-codegen-16B_method_C_greedy,2288,5741,100,88,348,6,0,99,105,749,718,,,1.7,2,48.9,1.0,5.0,1.0,510
instruct-codegen-16B_method_I_greedy,2242,6287,100,86,387,1,0,100,101,766,661,,,0.0,0,52.8,1.0,3.0,1.0,477
PolyCoder-2.7B_class_H_greedy,97,12768,100,3,29,1,0,2,3,49,23,,,0.0,0,74.5,1.0,5.0,1.0,10
PolyCoder-2.7B_method_C_greedy,2263,13461,100,84,415,19,0,120,139,699,374,,,1.7,8,60.2,1.0,5.0,1.0,609
PolyCoder-2.7B_method_I_greedy,2002,8520,100,83,397,8,0,104,112,679,396,,,0.9,2,63.4,1.0,5.0,1.0,648
santacoder-1.1B_class_H_greedy,1040,13070,100,54,311,1,0,32,33,387,54,,,0.4,2,70.7,1.0,3.0,1.0,127
santacoder-1.1B_method_C_greedy,2705,9097,100,88,437,12,0,249,261,799,582,,,2.8,4,57.7,1.0,5.0,1.0,651
santacoder-1.1B_method_I_greedy,2585,9246,100,89,435,3,0,349,352,910,693,,,1.7,4,60.0,1.0,5.0,1.0,634
starcoder-instruct-15B_class_H_greedy,1279,6429,100,87,429,2,0,34,36,515,129,,,0.0,0,74.4,1.0,5.0,1.0,122
starcoder-instruct-15B_method_C_greedy,2087,6332,100,93,406,5,0,96,101,720,551,,,0.0,0,60.3,1.0,5.0,1.0,449
starcoder-instruct-15B_method_I_greedy,1958,7178,100,86,396,2,0,110,112,705,499,,,0.0,0,62.9,1.0,5.0,1.0,499
Vicuna_100_c_t0,1389,6214,100,58,259,9,0,71,80,444,315,,,0.0,0,59.8,1.0,5.0,1.0,314
Vicuna_100_m_dire,1951,12066,100,72,324,10,0,87,97,626,533,,,0.0,0,45.1,1.0,5.0,1.0,412
Vicuna_100_m_iter,2387,6709,115,95,382,8,0,145,153,718,631,,,11.8,21,47.3,1.0,5.0,1.0,707
WizardCoder-15B-V1.0_class_H_greedy,1699,6388,100,88,441,0,0,57,57,637,377,,,0.0,0,65.7,1.0,1.0,1.0,292
WizardCoder-15B-V1.0_method_C_greedy,2880,6156,100,97,433,4,0,119,123,979,947,,,0.0,0,44.2,1.0,5.0,1.0,730
WizardCoder-15B-V1.0_method_I_greedy,2038,4673,100,98,313,2,0,72,74,632,579,,,0.0,0,48.1,1.0,3.0,1.0,336
